strain,strain_name,segment,date,host,country,subtype,virus,G_duplication
KP258712,RSVB/Homo_sapiens/USA/79E_159_01/1979-XX-XX,,1979-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KP258745,RSVB/Homo_sapiens/USA/92P_337_01/1992-XX-XX,,1992-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KP258724,RSVB/Homo_sapiens/USA/97E_017_01/1997-XX-XX,,1997-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KP258698,RSVB/Homo_sapiens/USA/91P_029_01/1991-XX-XX,,1991-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KJ723460,RSVB/Homo_sapiens/USA/91I_144A_01/1991-XX-XX,,1991-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KJ723480,RSVB/Homo_sapiens/USA/91I_020A_01/1991-XX-XX,,1991-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KP258705,RSVB/Homo_sapiens/USA/95I_100A_01/1995-XX-XX,,1995-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU950577,RSVB/Homo_sapiens/USA/TH_10615/2013,,2013-11-19,Human,USA,B,Human_orthopneumovirus,True
KP258721,RSVB/Homo_sapiens/USA/81E_119_01/1981-XX-XX,,1981-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KP258702,RSVB/Homo_sapiens/USA/94E_551_01/1994-XX-XX,,1994-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU950510,RSVB/Homo_sapiens/USA/TH_10370/2013,,2013-09-25,Human,USA,B,Human_orthopneumovirus,True
KU950619,RSVB/Homo_sapiens/USA/TH_10090/2012,,2012-08-27,Human,USA,B,Human_orthopneumovirus,True
KU950588,RSVB/Homo_sapiens/USA/TH_10502/2014,,2014-01-22,Human,USA,B,Human_orthopneumovirus,True
KJ723477,RSVB/Homo_sapiens/USA/91I_043A_01/1991-XX-XX,,1991-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316147,RSVB/Homo_sapiens/USA/79I_058A_01_01/1979-XX-XX,,1979-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KJ672473,RSVB/Homo_sapiens/USA/LA2_24/2012,,2012-12-04,Human,USA,B,Human_orthopneumovirus,True
KJ939924,VN_174_10/09,,2009-10-23,Human,Viet_Nam,B,Human_orthopneumovirus,True
KJ672476,RSVB/Homo_sapiens/USA/LA2_42/2013,,2013-01-04,Human,USA,B,Human_orthopneumovirus,True
KJ723485,RSVB/Homo_sapiens/USA/84I_250A_01/1984-XX-XX,,1984-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KJ672425,RSVB/Homo_sapiens/USA/LA2_25/2013,,2013-01-28,Human,USA,B,Human_orthopneumovirus,True
KJ723482,RSVB/Homo_sapiens/USA/89I_132A_01/1989-XX-XX,,1989-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KP258708,RSVB/Homo_sapiens/USA/96E_113_01/1996-XX-XX,,1996-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KJ672481,RSVB/Homo_sapiens/USA/LA2_82/2013,,2013-02-26,Human,USA,B,Human_orthopneumovirus,True
KP258736,RSVB/Homo_sapiens/USA/82G_002_01/1982-XX-XX,,1982-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316116,RSVB/Homo_sapiens/USA/81G_027_01/1977-XX-XX,,1977-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316097,RSVB/Homo_sapiens/USA/78G_099_01/1978-XX-XX,,1978-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KJ672438,RSVB/Homo_sapiens/USA/LA2_50/2013,,2013-01-21,Human,USA,B,Human_orthopneumovirus,True
KP258714,RSVB/Homo_sapiens/USA/86E_435_01/1986-XX-XX,,1986-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KP258742,RSVB/Homo_sapiens/USA/94I_104A_01/1994-XX-XX,,1994-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KJ723479,RSVB/Homo_sapiens/USA/83I_100A_01/1983-XX-XX,,1983-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KJ723469,RSVB/Homo_sapiens/USA/87I_042A_01/1987-XX-XX,,1987-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KP258738,RSVB/Homo_sapiens/USA/80E_188_01/1980-XX-XX,,1980-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KJ723470,RSVB/Homo_sapiens/USA/91I_116A_01/1991-XX-XX,,1991-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KP258718,RSVB/Homo_sapiens/USA/83E_198_01/1983-XX-XX,,1983-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KP258720,RSVB/Homo_sapiens/USA/90E_181_01/1990-XX-XX,,1990-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KJ939927,VN_342_5/10,,2010-05-27,Human,Viet_Nam,B,Human_orthopneumovirus,True
KU316181,RSVB/Homo_sapiens/USA/90E_158_01/1990-XX-XX,,1990-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316136,RSVB/Homo_sapiens/USA/87E_012_01/1987-XX-XX,,1987-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KJ723484,RSVB/Homo_sapiens/USA/93I_159A_01/1993-XX-XX,,1993-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316182,RSVB/Homo_sapiens/USA/90I_148A_01_01/1990-XX-XX,,1990-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KJ939926,VN_338_5/10,,2010-05-05,Human,Viet_Nam,B,Human_orthopneumovirus,True
KU316132,RSVB/Homo_sapiens/USA/91I_110A_01_01/1991-XX-XX,,1991-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316156,RSVB/Homo_sapiens/USA/89P_004_01/1989-XX-XX,,1989-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KJ723481,RSVB/Homo_sapiens/USA/85I_063A_01/1985-XX-XX,,1985-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316113,RSVB/Homo_sapiens/USA/89I_102A_01_01/1989-XX-XX,,1989-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KM517573,B/GZ/13_730,,2013-07-30,Human,China,B,Human_orthopneumovirus,True
KU316102,RSVB/Homo_sapiens/USA/82E_087_01/1982-XX-XX,,1982-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316117,RSVB/Homo_sapiens/USA/95I_016A_01_01/1995-XX-XX,,1995-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316101,RSVB/Homo_sapiens/USA/82E_005_01/1982-XX-XX,,1982-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316122,RSVB/Homo_sapiens/USA/80E_025_01/1980-XX-XX,,1980-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KM042393,RSVB/Homo_sapiens/USA/LA2_16/2012,,2012-11-26,Human,USA,B,Human_orthopneumovirus,True
KU950663,RSVB/Homo_sapiens/USA/TH_10619/2013,,2013-10-08,Human,USA,B,Human_orthopneumovirus,True
KU316094,RSVB/Homo_sapiens/USA/89I_051A_01_01/1989-XX-XX,,1989-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU950656,RSVB/Homo_sapiens/USA/TH_10634/2013,,2013-09-16,Human,USA,B,Human_orthopneumovirus,True
KU950488,RSVB/Homo_sapiens/USA/TH_10585/2014,,2014-01-25,Human,USA,B,Human_orthopneumovirus,True
KU316114,RSVB/Homo_sapiens/USA/93I_084A_01_01/1993-XX-XX,,1993-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316111,RSVB/Homo_sapiens/USA/92E_135_01/1992-XX-XX,,1992-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU950553,RSVB/Homo_sapiens/USA/TH_10471/2013,,2013-08-12,Human,USA,B,Human_orthopneumovirus,True
KU950530,RSVB/Homo_sapiens/USA/TH_10584/2014,,2014-01-21,Human,USA,B,Human_orthopneumovirus,True
KU316163,RSVB/Homo_sapiens/USA/93E_049_01/1993-XX-XX,,1993-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316144,RSVB/Homo_sapiens/USA/91E_086_01/1991-XX-XX,,1991-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316095,RSVB/Homo_sapiens/USA/79I_010A_01_01/1979-XX-XX,,1979-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316130,RSVB/Homo_sapiens/USA/85I_031A_01_01/1985-XX-XX,,1985-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316173,RSVB/Homo_sapiens/USA/85I_013A_01_01/1984-XX-XX,,1984-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316115,RSVB/Homo_sapiens/USA/80I_058A_01_01/1980-XX-XX,,1980-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316175,RSVB/Homo_sapiens/USA/85I_049A_01_01/1985-XX-XX,,1985-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316127,RSVB/Homo_sapiens/USA/91I_167A_01_01/1991-XX-XX,,1991-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU950688,RSVB/Homo_sapiens/USA/TH_10382/2013,,2013-08-28,Human,USA,B,Human_orthopneumovirus,True
KU950611,RSVB/Homo_sapiens/USA/TH_10400/2013,,2013-10-14,Human,USA,B,Human_orthopneumovirus,True
KU950503,RSVB/Homo_sapiens/USA/TH_10459/2013,,2013-11-15,Human,USA,B,Human_orthopneumovirus,True
KU950681,RSVB/Homo_sapiens/USA/TH_10501/2013,,2013-12-05,Human,USA,B,Human_orthopneumovirus,True
KU950516,RSVB/Homo_sapiens/USA/TH_10304/2013,,2013-08-15,Human,USA,B,Human_orthopneumovirus,True
KU950603,RSVB/Homo_sapiens/USA/TH_10557/2013,,2013-09-19,Human,USA,B,Human_orthopneumovirus,True
KU950533,RSVB/Homo_sapiens/USA/TH_10524/2014,,2014-01-10,Human,USA,B,Human_orthopneumovirus,True
KU839632,RSVB/Homo_sapiens/USA/TH_62/2013,,2013-12-17,Human,USA,B,Human_orthopneumovirus,True
KU950659,RSVB/Homo_sapiens/USA/TH_10556/2013,,2013-11-20,Human,USA,B,Human_orthopneumovirus,True
KU950606,RSVB/Homo_sapiens/USA/TH_10490/2013,,2013-12-13,Human,USA,B,Human_orthopneumovirus,True
KU950543,RSVB/Homo_sapiens/USA/TH_10485/2013,,2013-10-16,Human,USA,B,Human_orthopneumovirus,True
KU950599,RSVB/Homo_sapiens/USA/TH_10548/2013,,2013-10-29,Human,USA,B,Human_orthopneumovirus,True
KU950665,RSVB/Homo_sapiens/USA/TH_10542/2013,,2013-11-22,Human,USA,B,Human_orthopneumovirus,True
KU950675,RSVB/Homo_sapiens/USA/TH_10417/2013,,2013-06-21,Human,USA,B,Human_orthopneumovirus,True
KU950489,RSVB/Homo_sapiens/USA/TH_10599/2013,,2013-06-24,Human,USA,B,Human_orthopneumovirus,True
KU316179,RSVB/Homo_sapiens/USA/94I_157A_01_01/1994-XX-XX,,1994-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU950584,RSVB/Homo_sapiens/USA/TH_10591/2013,,2013-10-31,Human,USA,B,Human_orthopneumovirus,True
KU950630,RSVB/Homo_sapiens/USA/TH_10528/2013,,2013-07-05,Human,USA,B,Human_orthopneumovirus,True
KU950695,RSVB/Homo_sapiens/USA/TH_10396/2013,,2013-07-30,Human,USA,B,Human_orthopneumovirus,True
KU950625,RSVB/Homo_sapiens/USA/TH_10243/2014,,2014-01-14,Human,USA,B,Human_orthopneumovirus,True
KU950467,RSVB/Homo_sapiens/USA/TH_10526/2014,,2014-01-15,Human,USA,B,Human_orthopneumovirus,True
KU950693,RSVB/Homo_sapiens/USA/TH_10290/2012,,2012-10-16,Human,USA,B,Human_orthopneumovirus,True
KU950602,RSVB/Homo_sapiens/USA/TH_10570/2013,,2013-11-27,Human,USA,B,Human_orthopneumovirus,True
KR350475,1856,,2014-11-21,Human,Mexico,B,Human_orthopneumovirus,True
KU950586,RSVB/Homo_sapiens/USA/TH_10181/2013,,2013-01-09,Human,USA,B,Human_orthopneumovirus,True
KU950476,RSVB/Homo_sapiens/USA/TH_10565/2013,,2013-10-08,Human,USA,B,Human_orthopneumovirus,True
KU950462,RSVB/Homo_sapiens/USA/TH_10520/2013,,2013-08-26,Human,USA,B,Human_orthopneumovirus,True
KU950601,RSVB/Homo_sapiens/USA/TH_10499/2013,,2013-10-23,Human,USA,B,Human_orthopneumovirus,True
KU950558,RSVB/Homo_sapiens/USA/TH_10572/2014,,2014-01-08,Human,USA,B,Human_orthopneumovirus,True
KU950525,RSVB/Homo_sapiens/USA/TH_10300/2014,,2014-03-20,Human,USA,B,Human_orthopneumovirus,True
KU950539,RSVB/Homo_sapiens/USA/TH_10576/2013,,2013-09-25,Human,USA,B,Human_orthopneumovirus,True
KU839627,RSVB/Homo_sapiens/USA/TH_33/2014,,2014-01-29,Human,USA,B,Human_orthopneumovirus,True
KU839623,RSVB/Homo_sapiens/USA/TH_23/2013,,2013-11-18,Human,USA,B,Human_orthopneumovirus,True
KU950477,RSVB/Homo_sapiens/USA/TH_10566/2014,,2014-01-27,Human,USA,B,Human_orthopneumovirus,True
KU839635,RSVB/Homo_sapiens/USA/TH_30/2013,,2013-12-02,Human,USA,B,Human_orthopneumovirus,True
KU950562,RSVB/Homo_sapiens/USA/TH_10439/2013,,2013-09-23,Human,USA,B,Human_orthopneumovirus,True
KU950535,RSVB/Homo_sapiens/USA/TH_10616/2013,,2013-06-25,Human,USA,B,Human_orthopneumovirus,True
KU950676,RSVB/Homo_sapiens/USA/TH_10553/2014,,2014-01-09,Human,USA,B,Human_orthopneumovirus,True
KU950669,RSVB/Homo_sapiens/USA/TH_10385/2013,,2013-07-09,Human,USA,B,Human_orthopneumovirus,True
KU950548,RSVB/Homo_sapiens/USA/TH_10530/2014,,2014-01-24,Human,USA,B,Human_orthopneumovirus,True
KU950621,RSVB/Homo_sapiens/USA/TH_10586/2014,,2014-02-05,Human,USA,B,Human_orthopneumovirus,True
KU950635,RSVB/Homo_sapiens/USA/TH_10662/2013,,2013-11-18,Human,USA,B,Human_orthopneumovirus,True
KU950574,RSVB/Homo_sapiens/USA/TH_10670/2005,,2005-12-03,Human,USA,B,Human_orthopneumovirus,True
KU839634,RSVB/Homo_sapiens/USA/TH_37/2013,,2013-11-15,Human,USA,B,Human_orthopneumovirus,True
KU950461,RSVB/Homo_sapiens/USA/TH_10423/2013,,2013-12-17,Human,USA,B,Human_orthopneumovirus,True
KU316128,RSVB/Homo_sapiens/USA/93E_654_01/1995-XX-XX,,1995-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316177,RSVB/Homo_sapiens/USA/82I_117A_01_01/1982-XX-XX,,1982-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU316134,RSVB/Homo_sapiens/USA/94P_048_01/1994-XX-XX,,1994-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KU839636,RSVB/Homo_sapiens/USA/TH_29/2013,,2013-12-27,Human,USA,B,Human_orthopneumovirus,True
KU950687,RSVB/Homo_sapiens/USA/TH_10611/2013,,2013-10-23,Human,USA,B,Human_orthopneumovirus,True
KU950481,RSVB/Homo_sapiens/USA/TH_10628/2013,,2013-10-01,Human,USA,B,Human_orthopneumovirus,True
KU950495,RSVB/Homo_sapiens/USA/TH_10560/2013,,2013-07-15,Human,USA,B,Human_orthopneumovirus,True
KU950512,RSVB/Homo_sapiens/USA/TH_10598/2013,,2013-07-10,Human,USA,B,Human_orthopneumovirus,True
KU950691,RSVB/Homo_sapiens/USA/TH_10467/2013,,2013-06-19,Human,USA,B,Human_orthopneumovirus,True
KU950571,RSVB/Homo_sapiens/USA/TH_10278/2012,,2012-12-19,Human,USA,B,Human_orthopneumovirus,True
KU950613,RSVB/Homo_sapiens/USA/TH_10646/2013,,2013-09-27,Human,USA,B,Human_orthopneumovirus,True
KU839641,RSVB/Homo_sapiens/USA/TH_36/2014,,2014-01-20,Human,USA,B,Human_orthopneumovirus,True
KU950534,RSVB/Homo_sapiens/USA/TH_10514/2014,,2014-01-15,Human,USA,B,Human_orthopneumovirus,True
KU839628,RSVB/Homo_sapiens/USA/TH_25/2013,,2013-11-27,Human,USA,B,Human_orthopneumovirus,True
KU839633,RSVB/Homo_sapiens/USA/TH_34/2014,,2014-01-13,Human,USA,B,Human_orthopneumovirus,True
KU950618,RSVB/Homo_sapiens/USA/TH_10246/2012,,2012-10-17,Human,USA,B,Human_orthopneumovirus,True
KU950689,RSVB/Homo_sapiens/USA/TH_10489/2013,,2013-10-31,Human,USA,B,Human_orthopneumovirus,True
