strain,strain_name,segment,date,host,country,subtype,virus,G_duplication
KJ627346,RSVA/Homo_sapiens/PER/FLE8269/2010,,2010-02-28,Human,Peru,A,Human_orthopneumovirus,False
KJ627266,RSVA/Homo_sapiens/PER/FLA6730/2009,,2009-04-13,Human,Peru,A,Human_orthopneumovirus,False
KJ627322,RSVA/Homo_sapiens/PER/FLA6536/2009,,2009-04-03,Human,Peru,A,Human_orthopneumovirus,False
KJ627300,RSVA/Homo_sapiens/PER/FLA7447/2009,,2009-05-13,Human,Peru,A,Human_orthopneumovirus,False
KJ627369,RSVA/Homo_sapiens/PER/FLA6353/2009,,2009-03-18,Human,Peru,A,Human_orthopneumovirus,False
KJ627289,RSVA/Homo_sapiens/PER/FLA7440/2009,,2009-05-11,Human,Peru,A,Human_orthopneumovirus,False
KJ627352,RSVA/Homo_sapiens/PER/FLU5725/2007,,2007-03-17,Human,Peru,A,Human_orthopneumovirus,False
KJ627291,RSVA/Homo_sapiens/PER/FLA7422/2009,,2009-05-02,Human,Peru,A,Human_orthopneumovirus,False
KJ627344,RSVA/Homo_sapiens/PER/FLA6900/2009,,2009-04-23,Human,Peru,A,Human_orthopneumovirus,False
KJ627253,RSVA/Homo_sapiens/PER/FLE3832/2009,,2009-09-25,Human,Peru,A,Human_orthopneumovirus,False
KJ627358,RSVA/Homo_sapiens/PER/FLE8435/2010,,2010-03-05,Human,Peru,A,Human_orthopneumovirus,False
KJ627261,RSVA/Homo_sapiens/PER/FLI1325/2010,,2010-04-21,Human,Peru,A,Human_orthopneumovirus,False
KJ627298,RSVA/Homo_sapiens/PER/FLE9214/2010,,2010-04-14,Human,Peru,A,Human_orthopneumovirus,False
KJ627275,RSVA/Homo_sapiens/PER/FLE9863/2010,,2010-05-24,Human,Peru,A,Human_orthopneumovirus,False
KJ627282,RSVA/Homo_sapiens/PER/FLA6623/2009,,2009-04-08,Human,Peru,A,Human_orthopneumovirus,False
KJ627276,RSVA/Homo_sapiens/PER/FLA6891/2009,,2009-04-29,Human,Peru,A,Human_orthopneumovirus,False
KJ627371,RSVA/Homo_sapiens/PER/FLE9518/2010,,2010-05-01,Human,Peru,A,Human_orthopneumovirus,False
KJ627367,RSVA/Homo_sapiens/PER/FLE9951/2010,,2010-05-06,Human,Peru,A,Human_orthopneumovirus,False
KJ627315,RSVA/Homo_sapiens/PER/FLA7756/2009,,2009-05-22,Human,Peru,A,Human_orthopneumovirus,False
KJ627343,RSVA/Homo_sapiens/PER/CFI0295/2010,,2010-03-30,Human,Peru,A,Human_orthopneumovirus,False
KJ627309,RSVA/Homo_sapiens/PER/FLE9263/2010,,2010-04-15,Human,Peru,A,Human_orthopneumovirus,False
KJ627314,RSVA/Homo_sapiens/PER/FLA7464/2009,,2009-05-18,Human,Peru,A,Human_orthopneumovirus,False
KJ627353,RSVA/Homo_sapiens/PER/FLA0489/2008,,2008-03-18,Human,Peru,A,Human_orthopneumovirus,False
KJ627321,RSVA/Homo_sapiens/PER/FLA6743/2009,,2009-04-17,Human,Peru,A,Human_orthopneumovirus,False
KJ627333,RSVA/Homo_sapiens/PER/FLE8485/2010,,2010-03-11,Human,Peru,A,Human_orthopneumovirus,False
KJ627250,RSVA/Homo_sapiens/PER/FLI1381/2010,,2010-06-08,Human,Peru,A,Human_orthopneumovirus,False
KJ627295,RSVA/Homo_sapiens/PER/FLE8150/2010,,2010-02-24,Human,Peru,A,Human_orthopneumovirus,False
KJ627283,RSVA/Homo_sapiens/PER/FLE9981/2010,,2010-05-15,Human,Peru,A,Human_orthopneumovirus,False
KJ627258,RSVA/Homo_sapiens/PER/FLE9486/2010,,2010-04-24,Human,Peru,A,Human_orthopneumovirus,False
KJ627248,RSVA/Homo_sapiens/PER/FLA6927/2009,,2009-04-30,Human,Peru,A,Human_orthopneumovirus,False
KJ627260,RSVA/Homo_sapiens/PER/FLA0756/2008,,2008-03-17,Human,Peru,A,Human_orthopneumovirus,False
KJ627307,RSVA/Homo_sapiens/PER/FLE9867/2010,,2010-05-25,Human,Peru,A,Human_orthopneumovirus,False
KJ627263,RSVA/Homo_sapiens/PER/FLI2219/2010,,2010-08-01,Human,Peru,A,Human_orthopneumovirus,False
KJ627355,RSVA/Homo_sapiens/PER/FLE8228/2010,,2010-02-17,Human,Peru,A,Human_orthopneumovirus,False
KJ627290,RSVA/Homo_sapiens/PER/FLA6366/2009,,2009-03-23,Human,Peru,A,Human_orthopneumovirus,False
KJ627297,RSVA/Homo_sapiens/PER/FLE9956/2010,,2010-05-07,Human,Peru,A,Human_orthopneumovirus,False
KJ627354,RSVA/Homo_sapiens/PER/FLA6683/2009,,2009-03-25,Human,Peru,A,Human_orthopneumovirus,False
KJ627246,RSVA/Homo_sapiens/PER/FLA6790/2009,,2009-04-23,Human,Peru,A,Human_orthopneumovirus,False
KJ627308,RSVA/Homo_sapiens/PER/FLE8972/2010,,2010-04-13,Human,Peru,A,Human_orthopneumovirus,False
KJ627281,RSVA/Homo_sapiens/PER/FLA6737/2009,,2009-04-14,Human,Peru,A,Human_orthopneumovirus,False
KJ627271,RSVA/Homo_sapiens/PER/FLE0433/2009,,2009-05-29,Human,Peru,A,Human_orthopneumovirus,False
KJ627311,RSVA/Homo_sapiens/PER/FLA2268/2008,,2008-06-06,Human,Peru,A,Human_orthopneumovirus,False
KJ627336,RSVA/Homo_sapiens/PER/FLA0535/2008,,2008-02-29,Human,Peru,A,Human_orthopneumovirus,False
KJ627279,RSVA/Homo_sapiens/PER/FLE9753/2010,,2010-05-18,Human,Peru,A,Human_orthopneumovirus,False
KJ627328,RSVA/Homo_sapiens/PER/FLI1310/2010,,2010-05-20,Human,Peru,A,Human_orthopneumovirus,False
KJ627255,RSVA/Homo_sapiens/PER/FLA6533/2009,,2009-04-01,Human,Peru,A,Human_orthopneumovirus,False
KJ627360,RSVA/Homo_sapiens/PER/FLA7449/2009,,2009-05-14,Human,Peru,A,Human_orthopneumovirus,False
KJ627320,RSVA/Homo_sapiens/PER/FLE9490/2010,,2010-04-24,Human,Peru,A,Human_orthopneumovirus,False
KJ627286,RSVA/Homo_sapiens/PER/FLA6646/2009,,2009-04-18,Human,Peru,A,Human_orthopneumovirus,False
KJ627257,RSVA/Homo_sapiens/PER/FLA5809/2009,,2009-02-09,Human,Peru,A,Human_orthopneumovirus,False
KJ627345,RSVA/Homo_sapiens/PER/FLE8509/2010,,2010-03-19,Human,Peru,A,Human_orthopneumovirus,False
KJ627273,RSVA/Homo_sapiens/PER/FLE8490/2010,,2010-03-16,Human,Peru,A,Human_orthopneumovirus,False
KP258711,RSVA/Homo_sapiens/USA/92E_119_01/1992-XX-XX,,1992-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KP258740,RSVA/Homo_sapiens/USA/93E_065_01/1993-XX-XX,,1993-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KP258723,RSVA/Homo_sapiens/USA/86E_007_01/1986-XX-XX,,1986-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KM578843,A/GZ/12_110,,2012-01-10,Human,China,A,Human_orthopneumovirus,False
KP258700,RSVA/Homo_sapiens/USA/85E_107_01/1985-XX-XX,,1985-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KJ672478,RSVA/Homo_sapiens/USA/LA2_29/2013,,2013-01-10,Human,USA,A,Human_orthopneumovirus,False
KM042391,RSVA/Homo_sapiens/USA/LA2_83/2013,,2013-03-15,Human,USA,A,Human_orthopneumovirus,True
KP258697,RSVA/Homo_sapiens/USA/94I_153A_01/1994-XX-XX,,1994-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KP258709,RSVA/Homo_sapiens/USA/81E_020_01/1981-XX-XX,,1981-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KJ723483,RSVA/Homo_sapiens/USA/84I_215A_01/1984-XX-XX,,1984-XX-XX,Human,USA,A,Human_orthopneumovirus,False
JF920047,A/WI/629_23/08,,2008-01-17,Human,USA,A,Human_orthopneumovirus,False
KF973331,RSV_A/US/BID_V7348/2002-XX-XX,,2002-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KF973325,RSV_A/US/BID_V7342/2002-XX-XX,,2002-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KF973333,RSV_A/US/BID_V7350/2002-XX-XX,,2002-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KF973319,RSV_A/US/BID_V7335/2002-XX-XX,,2002-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KF973329,RSV_A/US/BID_V7346/2002-XX-XX,,2002-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KF973336,RSV_A/US/BID_V7355/2002-XX-XX,,2002-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KF973334,RSV_A/US/BID_V7351/2002-XX-XX,,2002-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KF973340,RSV_A/US/BID_V7359/2002-XX-XX,,2002-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KU316180,RSVA/Homo_sapiens/USA/98E_415_01/1998-XX-XX,,1998-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KU316150,RSVA/Homo_sapiens/USA/78G_168_01/1978-XX-XX,,1978-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KJ627716,RSV_A/US/BID_V8508/2003-XX-XX,,2003-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KJ939940,VN_217_12/09,,2009-12-01,Human,Viet_Nam,A,Human_orthopneumovirus,False
KP258725,RSVA/Homo_sapiens/USA/80G_664_01/1980-XX-XX,,1980-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KP258696,RSVA/Homo_sapiens/USA/86E_155_01/1986-XX-XX,,1986-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KJ627662,RSV_A/US/BID_V8372/2003-XX-XX,,2003-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KP258707,RSVA/Homo_sapiens/USA/95P_047_01/1995-XX-XX,,1995-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KJ723487,RSVA/Homo_sapiens/USA/93I_045A_01/1993-XX-XX,,1993-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KM042386,RSVA/Homo_sapiens/USA/LA2_49/2013,,2013-01-14,Human,USA,A,Human_orthopneumovirus,True
KJ723464,RSVA/Homo_sapiens/USA/89I_150A_01/1989-XX-XX,,1989-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KP258710,RSVA/Homo_sapiens/USA/91E_611_01/1991-XX-XX,,1991-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KF973339,RSV_A/US/BID_V7358/2002-XX-XX,,2002-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KJ672465,RSVA/Homo_sapiens/USA/LA2_13/2012,,2012-12-31,Human,USA,A,Human_orthopneumovirus,True
KJ627720,RSV_A/US/BID_V8521/2004-XX-XX,,2004-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KJ672441,RSVA/Homo_sapiens/USA/LA2_87/2013,,2013-03-21,Human,USA,A,Human_orthopneumovirus,True
KJ723490,RSVA/Homo_sapiens/USA/92I_048A_01/1992-XX-XX,,1992-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KU950505,RSVA/Homo_sapiens/USA/TH_10651/2013,,2013-11-07,Human,USA,A,Human_orthopneumovirus,True
KC978856,A/Chongqing/13_73/11.or,,2011-12-11,Human,China,A,Human_orthopneumovirus,False
KJ939950,VN_587_7/10,,2010-07-02,Human,Viet_Nam,A,Human_orthopneumovirus,False
KJ939964,VN_816_8/10,,2010-08-12,Human,Viet_Nam,A,Human_orthopneumovirus,False
KU950594,RSVA/Homo_sapiens/USA/TH_10538/2013,,2013-12-20,Human,USA,A,Human_orthopneumovirus,False
KU316121,RSVA/Homo_sapiens/USA/92E_015_01/1992-XX-XX,,1992-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KU316157,RSVA/Homo_sapiens/USA/79I_050A_01_01/1979-XX-XX,,1979-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KJ939938,VN_150_9/09,,2009-09-11,Human,Viet_Nam,A,Human_orthopneumovirus,False
KJ723488,RSVA/Homo_sapiens/USA/81I_123A_01/1981-XX-XX,,1981-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KU950531,RSVA/Homo_sapiens/USA/TH_10523/2013,,2013-08-19,Human,USA,A,Human_orthopneumovirus,True
KU316148,RSVA/Homo_sapiens/USA/84E_072_01/1984-XX-XX,,1984-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KJ627693,RSV_A/US/BID_V8466/2001-XX-XX,,2001-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KJ627690,RSV_A/US/BID_V8456/2001-XX-XX,,2001-XX-XX,Human,USA,A,Human_orthopneumovirus,False
JX015486,05_000417,,2005-01-05,Human,Netherlands,A,Human_orthopneumovirus,False
KJ627703,RSV_A/US/BID_V8482/2001-XX-XX,,2001-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KP258743,RSVA/Homo_sapiens/USA/98E_027_01/1998-XX-XX,,1998-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KJ939963,VN_808_8/10,,2010-08-09,Human,Viet_Nam,A,Human_orthopneumovirus,False
