strain	strain_name	segment	date	host	country	subtype	virus
KJ672457	RSVA/Homo_sapiens/USA/LA2_100/2013	NA	2013-01-07	Human	USA	A	Human_orthopneumovirus
KJ672468	RSVA/Homo_sapiens/USA/LA2_07/2012	NA	2012-11-19	Human	USA	A	Human_orthopneumovirus
KM042383	RSVA/Homo_sapiens/USA/LA2_90/2012	NA	2012-12-31	Human	USA	A	Human_orthopneumovirus
KJ672480	RSVA/Homo_sapiens/USA/LA2_62/2013	NA	2013-01-23	Human	USA	A	Human_orthopneumovirus
KM042392	RSVA/Homo_sapiens/USA/LA2_56/2013	NA	2013-02-22	Human	USA	A	Human_orthopneumovirus
KM042385	RSVA/Homo_sapiens/USA/LA2_39/2013	NA	2013-01-07	Human	USA	A	Human_orthopneumovirus
KU950567	RSVA/Homo_sapiens/USA/TH_10324/2012	NA	2012-12-03	Human	USA	A	Human_orthopneumovirus
KU839637	RSVA/Homo_sapiens/USA/TH_24/2014	NA	2014-02-03	Human	USA	A	Human_orthopneumovirus
KM042389	RSVA/Homo_sapiens/USA/LA2_10/2012	NA	2012-12-13	Human	USA	A	Human_orthopneumovirus
KU950628	RSVA/Homo_sapiens/USA/TH_10364/2013	NA	2013-10-02	Human	USA	A	Human_orthopneumovirus
KU950683	RSVA/Homo_sapiens/USA/TH_10414/2013	NA	2013-09-27	Human	USA	A	Human_orthopneumovirus
KU950644	RSVA/Homo_sapiens/USA/TH_10546/2013	NA	2013-11-25	Human	USA	A	Human_orthopneumovirus
KU950590	RSVA/Homo_sapiens/USA/TH_10387/2013	NA	2013-07-24	Human	USA	A	Human_orthopneumovirus
KU950524	RSVA/Homo_sapiens/USA/TH_10094/2012	NA	2012-11-23	Human	USA	A	Human_orthopneumovirus
KU950557	RSVA/Homo_sapiens/USA/TH_10109/2012	NA	2012-08-08	Human	USA	A	Human_orthopneumovirus
KU950506	RSVA/Homo_sapiens/USA/TH_10532/2013	NA	2013-10-10	Human	USA	A	Human_orthopneumovirus
KU950643	RSVA/Homo_sapiens/USA/TH_10268/2012	NA	2012-10-02	Human	USA	A	Human_orthopneumovirus
KU839631	RSVA/Homo_sapiens/USA/TH_31/2013	NA	2013-11-26	Human	USA	A	Human_orthopneumovirus
KU950654	RSVA/Homo_sapiens/USA/TH_10065/2012	NA	2012-09-11	Human	USA	A	Human_orthopneumovirus
KU950513	RSVA/Homo_sapiens/USA/TH_10173/2012	NA	2012-11-09	Human	USA	A	Human_orthopneumovirus
KU950485	RSVA/Homo_sapiens/USA/TH_10210/2012	NA	2012-12-27	Human	USA	A	Human_orthopneumovirus
KU950491	RSVA/Homo_sapiens/USA/TH_10518/2013	NA	2013-09-04	Human	USA	A	Human_orthopneumovirus
KU950636	RSVA/Homo_sapiens/USA/TH_10358/2012	NA	2012-11-01	Human	USA	A	Human_orthopneumovirus
KU950698	RSVA/Homo_sapiens/USA/TH_10454/2013	NA	2013-11-20	Human	USA	A	Human_orthopneumovirus
KU950475	RSVA/Homo_sapiens/USA/TH_10085/2012	NA	2012-09-21	Human	USA	A	Human_orthopneumovirus
KU950472	RSVA/Homo_sapiens/USA/TH_10482/2013	NA	2013-07-18	Human	USA	A	Human_orthopneumovirus
KU950642	RSVA/Homo_sapiens/USA/TH_10128/2012	NA	2012-10-10	Human	USA	A	Human_orthopneumovirus
KU839630	RSVA/Homo_sapiens/USA/TH_28/2014	NA	2014-01-07	Human	USA	A	Human_orthopneumovirus
KU950464	RSVA/Homo_sapiens/USA/TH_10654/2014	NA	2014-02-19	Human	USA	A	Human_orthopneumovirus
KU950511	RSVA/Homo_sapiens/USA/TH_10218/2012	NA	2012-09-27	Human	USA	A	Human_orthopneumovirus
KU950696	RSVA/Homo_sapiens/USA/TH_10283/2012	NA	2012-12-19	Human	USA	A	Human_orthopneumovirus
KU950519	RSVA/Homo_sapiens/USA/TH_10629/2013	NA	2013-10-29	Human	USA	A	Human_orthopneumovirus
KU950474	RSVA/Homo_sapiens/USA/TH_10098/2012	NA	2012-10-16	Human	USA	A	Human_orthopneumovirus
KU950518	RSVA/Homo_sapiens/USA/TH_10536/2013	NA	2013-10-09	Human	USA	A	Human_orthopneumovirus
KU950655	RSVA/Homo_sapiens/USA/TH_10293/2012	NA	2012-12-27	Human	USA	A	Human_orthopneumovirus
KU950483	RSVA/Homo_sapiens/USA/TH_10534/2013	NA	2013-08-20	Human	USA	A	Human_orthopneumovirus
KU950677	RSVA/Homo_sapiens/USA/TH_10148/2012	NA	2012-09-11	Human	USA	A	Human_orthopneumovirus
KU950456	RSVA/Homo_sapiens/USA/TH_10594/2013	NA	2013-08-07	Human	USA	A	Human_orthopneumovirus
KU950615	RSVA/Homo_sapiens/USA/TH_10150/2012	NA	2012-12-17	Human	USA	A	Human_orthopneumovirus
KU950480	RSVA/Homo_sapiens/USA/TH_10272/2012	NA	2012-12-10	Human	USA	A	Human_orthopneumovirus
KU950680	RSVA/Homo_sapiens/USA/TH_10195/2012	NA	2012-11-29	Human	USA	A	Human_orthopneumovirus
KU950666	RSVA/Homo_sapiens/USA/TH_10657/2013	NA	2013-11-04	Human	USA	A	Human_orthopneumovirus
KU950617	RSVA/Homo_sapiens/USA/TH_10229/2012	NA	2012-12-19	Human	USA	A	Human_orthopneumovirus
KU950540	RSVA/Homo_sapiens/USA/TH_10323/2013	NA	2013-11-26	Human	USA	A	Human_orthopneumovirus
KU839639	RSVA/Homo_sapiens/USA/TH_61/2013	NA	2013-12-17	Human	USA	A	Human_orthopneumovirus
KU950493	RSVA/Homo_sapiens/USA/TH_10126/2012	NA	2012-09-12	Human	USA	A	Human_orthopneumovirus
KU950499	RSVA/Homo_sapiens/USA/TH_10470/2013	NA	2013-10-04	Human	USA	A	Human_orthopneumovirus
KU950671	RSVA/Homo_sapiens/USA/TH_10344/2012	NA	2012-11-08	Human	USA	A	Human_orthopneumovirus
KU950627	RSVA/Homo_sapiens/USA/TH_10569/2013	NA	2013-10-25	Human	USA	A	Human_orthopneumovirus
KU950639	RSVA/Homo_sapiens/USA/TH_10398/2013	NA	2013-10-17	Human	USA	A	Human_orthopneumovirus
KU950651	RSVA/Homo_sapiens/USA/TH_10147/2012	NA	2012-11-12	Human	USA	A	Human_orthopneumovirus
KU950585	RSVB/Homo_sapiens/USA/TH_10613/2013	NA	2013-06-20	Human	USA	A	Human_orthopneumovirus
KU950523	RSVA/Homo_sapiens/USA/TH_10656/2014	NA	2014-03-26	Human	USA	A	Human_orthopneumovirus
KU950521	RSVA/Homo_sapiens/USA/TH_10149/2012	NA	2012-08-15	Human	USA	A	Human_orthopneumovirus
KU950670	RSVA/Homo_sapiens/USA/TH_10220/2012	NA	2012-11-19	Human	USA	A	Human_orthopneumovirus
KU950694	RSVA/Homo_sapiens/USA/TH_10233/2012	NA	2012-10-22	Human	USA	A	Human_orthopneumovirus
KU950455	RSVA/Homo_sapiens/USA/TH_10477/2013	NA	2013-09-24	Human	USA	A	Human_orthopneumovirus
KU839624	RSVA/Homo_sapiens/USA/TH_27/2013	NA	2013-11-11	Human	USA	A	Human_orthopneumovirus
KU950664	RSVA/Homo_sapiens/USA/TH_10110/2012	NA	2012-10-29	Human	USA	A	Human_orthopneumovirus
KU950560	RSVA/Homo_sapiens/USA/TH_10631/2013	NA	2013-11-05	Human	USA	A	Human_orthopneumovirus
KU950509	RSVA/Homo_sapiens/USA/TH_10221/2012	NA	2012-12-11	Human	USA	A	Human_orthopneumovirus
KU950486	RSVA/Homo_sapiens/USA/TH_10280/2012	NA	2012-11-20	Human	USA	A	Human_orthopneumovirus
KU950685	RSVA/Homo_sapiens/USA/TH_10509/2013	NA	2013-09-27	Human	USA	A	Human_orthopneumovirus
KU950544	RSVA/Homo_sapiens/USA/TH_10438/2013	NA	2013-12-17	Human	USA	A	Human_orthopneumovirus
KU950556	RSVA/Homo_sapiens/USA/TH_10305/2012	NA	2012-12-04	Human	USA	A	Human_orthopneumovirus
KU950623	RSVA/Homo_sapiens/USA/TH_10606/2013	NA	2013-08-14	Human	USA	A	Human_orthopneumovirus
KU950608	RSVA/Homo_sapiens/USA/TH_10508/2013	NA	2013-10-15	Human	USA	A	Human_orthopneumovirus
KU950537	RSVA/Homo_sapiens/USA/TH_10505/2014	NA	2014-01-08	Human	USA	A	Human_orthopneumovirus
KU950520	RSVA/Homo_sapiens/USA/TH_10531/2013	NA	2013-06-20	Human	USA	A	Human_orthopneumovirus
KU950686	RSVA/Homo_sapiens/USA/TH_10506/2014	NA	2014-01-10	Human	USA	A	Human_orthopneumovirus
KU950673	RSVA/Homo_sapiens/USA/TH_10236/2012	NA	2012-09-12	Human	USA	A	Human_orthopneumovirus
KU950502	RSVA/Homo_sapiens/USA/TH_10155/2012	NA	2012-09-24	Human	USA	A	Human_orthopneumovirus
KU950692	RSVA/Homo_sapiens/USA/TH_10327/2012	NA	2012-09-26	Human	USA	A	Human_orthopneumovirus
KU950610	RSVA/Homo_sapiens/USA/TH_10260/2013	NA	2013-01-07	Human	USA	A	Human_orthopneumovirus
KU950631	RSVA/Homo_sapiens/USA/TH_10093/2012	NA	2012-09-21	Human	USA	A	Human_orthopneumovirus
KU950598	RSVA/Homo_sapiens/USA/TH_10618/2013	NA	2013-10-07	Human	USA	A	Human_orthopneumovirus
KU950550	RSVA/Homo_sapiens/USA/TH_10287/2012	NA	2012-10-02	Human	USA	A	Human_orthopneumovirus
KU839626	RSVA/Homo_sapiens/USA/TH_32/2013	NA	2013-11-05	Human	USA	A	Human_orthopneumovirus
KU950583	RSVA/Homo_sapiens/USA/TH_10507/2013	NA	2013-07-12	Human	USA	A	Human_orthopneumovirus
KU950549	RSVA/Homo_sapiens/USA/TH_10630/2013	NA	2013-11-05	Human	USA	A	Human_orthopneumovirus
KU950674	RSVA/Homo_sapiens/USA/TH_10311/2012	NA	2012-10-31	Human	USA	A	Human_orthopneumovirus
KU950470	RSVA/Homo_sapiens/USA/TH_10464/2013	NA	2013-10-09	Human	USA	A	Human_orthopneumovirus
KU950527	RSVA/Homo_sapiens/USA/TH_10533/2013	NA	2013-08-26	Human	USA	A	Human_orthopneumovirus
KU950596	RSVA/Homo_sapiens/USA/TH_10603/2013	NA	2013-11-25	Human	USA	A	Human_orthopneumovirus
KU950638	RSVA/Homo_sapiens/USA/TH_10552/2013	NA	2013-11-26	Human	USA	A	Human_orthopneumovirus
KU950459	RSVA/Homo_sapiens/USA/TH_10487/2013	NA	2013-12-19	Human	USA	A	Human_orthopneumovirus
KU950650	RSVA/Homo_sapiens/USA/TH_10367/2013	NA	2013-09-23	Human	USA	A	Human_orthopneumovirus
KU950581	RSVA/Homo_sapiens/USA/TH_10159/2012	NA	2012-11-08	Human	USA	A	Human_orthopneumovirus
MN306045	SC0850	NA	2019-XX-XX	Human	USA	A	Human_orthopneumovirus
MN306048	SC0885	NA	2019-XX-XX	Human	USA	A	Human_orthopneumovirus
MN306017	SC0135	NA	2018-XX-XX	Human	USA	A	Human_orthopneumovirus
MN306021	SC0237	NA	2018-XX-XX	Human	USA	A	Human_orthopneumovirus
MN306029	SC0398	NA	2019-XX-XX	Human	USA	A	Human_orthopneumovirus
MN306030	SC0410	NA	2019-XX-XX	Human	USA	A	Human_orthopneumovirus
MN306031	SC0460	NA	2019-XX-XX	Human	USA	A	Human_orthopneumovirus
KX655626	RSVA/Homo_sapiens/JOR/D3721/2013	NA	2013-02-17	Human	Jordan	A	Human_orthopneumovirus
KX655640	RSVA/Homo_sapiens/JOR/D3681/2013	NA	2013-01-16	Human	Jordan	A	Human_orthopneumovirus
KX655644	RSVA/Homo_sapiens/JOR/A0614/2012	NA	2012-10-23	Human	Jordan	A	Human_orthopneumovirus
KX655675	RSVA/Homo_sapiens/JOR/D3431/2012	NA	2012-03-06	Human	Jordan	A	Human_orthopneumovirus
KX655694	RSVA/Homo_sapiens/JOR/A0215/2011	NA	2011-04-18	Human	Jordan	A	Human_orthopneumovirus
KX765886	RSVA/Homo_sapiens/NZL/LJRSV01/2015	NA	2015-06-18	Human	New_Zealand	A	Human_orthopneumovirus
KX765887	RSVA/Homo_sapiens/NZL/LJRSV05/2015	NA	2015-06-28	Human	New_Zealand	A	Human_orthopneumovirus
KX765894	RSVA/Homo_sapiens/NZL/LJRSV84/2011	NA	2011-09-18	Human	New_Zealand	A	Human_orthopneumovirus
KX765898	RSVA/Homo_sapiens/NZL/LJRSV12/2015	NA	2015-07-08	Human	New_Zealand	A	Human_orthopneumovirus
KX765902	RSVA/Homo_sapiens/NZL/LJRSV33/2014	NA	2014-07-30	Human	New_Zealand	A	Human_orthopneumovirus
KX765904	RSVA/Homo_sapiens/NZL/LJRSV39/2013	NA	2013-06-18	Human	New_Zealand	A	Human_orthopneumovirus
KX765911	RSVA/Homo_sapiens/NZL/LJRSV75/2011	NA	2011-07-17	Human	New_Zealand	A	Human_orthopneumovirus
KX765914	RSVA/Homo_sapiens/NZL/LJRSV03/2015	NA	2015-06-22	Human	New_Zealand	A	Human_orthopneumovirus
KX765915	RSVA/Homo_sapiens/NZL/LJRSV27/2014	NA	2014-06-11	Human	New_Zealand	A	Human_orthopneumovirus
KX765916	RSVA/Homo_sapiens/NZL/LJRSV02/2015	NA	2015-06-19	Human	New_Zealand	A	Human_orthopneumovirus
KX765917	RSVA/Homo_sapiens/NZL/LJRSV28/2014	NA	2014-06-16	Human	New_Zealand	A	Human_orthopneumovirus
KX765919	RSVA/Homo_sapiens/NZL/LJRSV37/2013	NA	2013-06-09	Human	New_Zealand	A	Human_orthopneumovirus
KY982516	RSVA/Homo_sapiens/USA/LA2_76/2013	NA	2013-01-24	Human	USA	A	Human_orthopneumovirus
KY982517	RSVA/Homo_sapiens/USA/LA2_03/2013	NA	2013-01-03	Human	USA	A	Human_orthopneumovirus
KX765925	RSVA/Homo_sapiens/NZL/LJRSV13/2015	NA	2015-07-09	Human	New_Zealand	A	Human_orthopneumovirus
KX765926	RSVA/Homo_sapiens/NZL/LJRSV59/2012	NA	2012-08-05	Human	New_Zealand	A	Human_orthopneumovirus
KX765931	RSVA/Homo_sapiens/NZL/LJRSV70/2011	NA	2011-06-23	Human	New_Zealand	A	Human_orthopneumovirus
KX765932	RSVA/Homo_sapiens/NZL/LJRSV06/2015	NA	2015-06-28	Human	New_Zealand	A	Human_orthopneumovirus
KX765936	RSVA/Homo_sapiens/NZL/LJRSV62/2012	NA	2012-08-07	Human	New_Zealand	A	Human_orthopneumovirus
KX765971	RSVA/Homo_sapiens/NZL/LJRSV45/2013	NA	2013-08-01	Human	New_Zealand	A	Human_orthopneumovirus
KX765972	RSVA/Homo_sapiens/NZL/LJRSV41/2013	NA	2013-07-01	Human	New_Zealand	A	Human_orthopneumovirus
KX765974	RSVA/Homo_sapiens/NZL/LJRSV35/2013	NA	2013-04-30	Human	New_Zealand	A	Human_orthopneumovirus
KX765977	RSVA/Homo_sapiens/NZL/LJRSV18/2014	NA	2014-02-12	Human	New_Zealand	A	Human_orthopneumovirus
KX765938	RSVA/Homo_sapiens/NZL/LJRSV74/2011	NA	2011-07-06	Human	New_Zealand	A	Human_orthopneumovirus
KX765939	RSVA/Homo_sapiens/NZL/LJRSV38/2013	NA	2013-06-11	Human	New_Zealand	A	Human_orthopneumovirus
KX765940	RSVA/Homo_sapiens/NZL/LJRSV47/2013	NA	2013-08-26	Human	New_Zealand	A	Human_orthopneumovirus
KX765941	RSVA/Homo_sapiens/NZL/LJRSV04/2015	NA	2015-06-24	Human	New_Zealand	A	Human_orthopneumovirus
KX765944	RSVA/Homo_sapiens/NZL/LJRSV08/2015	NA	2015-06-29	Human	New_Zealand	A	Human_orthopneumovirus
KX765948	RSVA/Homo_sapiens/NZL/LJRSV17/2015	NA	2015-07-10	Human	New_Zealand	A	Human_orthopneumovirus
KX765950	RSVA/Homo_sapiens/NZL/LJRSV11/2015	NA	2015-07-08	Human	New_Zealand	A	Human_orthopneumovirus
KX765951	RSVA/Homo_sapiens/NZL/LJRSV15/2015	NA	2015-07-09	Human	New_Zealand	A	Human_orthopneumovirus
KX765954	RSVA/Homo_sapiens/NZL/LJRSV36/2013	NA	2013-05-08	Human	New_Zealand	A	Human_orthopneumovirus
KX765955	RSVA/Homo_sapiens/NZL/LJRSV09/2015	NA	2015-07-07	Human	New_Zealand	A	Human_orthopneumovirus
KX765956	RSVA/Homo_sapiens/NZL/LJRSV14/2015	NA	2015-07-11	Human	New_Zealand	A	Human_orthopneumovirus
KX765960	RSVA/Homo_sapiens/NZL/LJRSV76/2011	NA	2011-07-05	Human	New_Zealand	A	Human_orthopneumovirus
KX765967	RSVA/Homo_sapiens/NZL/LJRSV64/2012	NA	2012-08-22	Human	New_Zealand	A	Human_orthopneumovirus
KX765970	RSVA/Homo_sapiens/NZL/LJRSV31/2014	NA	2014-06-27	Human	New_Zealand	A	Human_orthopneumovirus
KX894797	RSVA/Homo_sapiens/USA/TH_10305P/2013	NA	2013-03-07	Human	USA	A	Human_orthopneumovirus
KX894799	RSVA/Homo_sapiens/USA/LA2_00007P/2012	NA	2012-11-19	Human	USA	A	Human_orthopneumovirus
KX894803	RSVA/Homo_sapiens/USA/LA2_00069P/2013	NA	2013-12-02	Human	USA	A	Human_orthopneumovirus
KX894804	RSVA/Homo_sapiens/USA/TH_10255P/2013	NA	2013-02-08	Human	USA	A	Human_orthopneumovirus
KX894805	RSVA/Homo_sapiens/USA/TH_10293P/2013	NA	2013-03-04	Human	USA	A	Human_orthopneumovirus
KX894806	RSVA/Homo_sapiens/USA/LA2_00074P/2013	NA	2013-03-08	Human	USA	A	Human_orthopneumovirus
MH290724	LZ170020467/17	NA	2017-11-XX	Human	China	A	Human_orthopneumovirus
KY883566	HRSV/A/BuenosAires/ARG/001/2015	NA	2015-04-30	Human	Argentina	A	Human_orthopneumovirus
KY883567	HRSV/A/BuenosAires/ARG/001sanger/2015	NA	2015-04-30	Human	Argentina	A	Human_orthopneumovirus
MK749867	RSVA/Homo_sapiens/NIC/IIIn_16_0242_01NT/2016	NA	2016-10-04	Human	Nicaragua	A	Human_orthopneumovirus
MK749884	RSVA/Homo_sapiens/NIC/IIIn_16_0313_01NT/2016	NA	2016-11-19	Human	Nicaragua	A	Human_orthopneumovirus
MK749886	RSVA/Homo_sapiens/NIC/IIIn_16_0276_01NT/2016	NA	2016-10-31	Human	Nicaragua	A	Human_orthopneumovirus
MK749890	RSVA/Homo_sapiens/NIC/IIIn_16_0270_01NT/2016	NA	2016-11-03	Human	Nicaragua	A	Human_orthopneumovirus
MK749893	RSVA/Homo_sapiens/NIC/IIIn_16_0244_01NT/2016	NA	2016-10-03	Human	Nicaragua	A	Human_orthopneumovirus
MK749895	RSVA/Homo_sapiens/NIC/IIIn_16_0214_01NT/2016	NA	2016-10-11	Human	Nicaragua	A	Human_orthopneumovirus
MF614946	BJ/40180	NA	2012-11-XX	Human	China	A	Human_orthopneumovirus
MF614947	BJ/45117	NA	2013-05-XX	Human	China	A	Human_orthopneumovirus
MH447951	TH/CU91/2011	NA	2011-08-22	Human	Thailand	A	Human_orthopneumovirus
MH447952	TH/C3208/2012	NA	2012-09-17	Human	Thailand	A	Human_orthopneumovirus
MH447953	TH/CB124/2013	NA	2013-11-01	Human	Thailand	A	Human_orthopneumovirus
MH447954	TH/CB135/2013	NA	2013-11-01	Human	Thailand	A	Human_orthopneumovirus
MH447955	TH/B10625/2014	NA	2014-08-09	Human	Thailand	A	Human_orthopneumovirus
MH447956	TH/B10806/2014	NA	2014-08-27	Human	Thailand	A	Human_orthopneumovirus
MH447957	TH/B18177/2016	NA	2016-09-01	Human	Thailand	A	Human_orthopneumovirus
MH447958	TH/B18247/2016	NA	2016-09-04	Human	Thailand	A	Human_orthopneumovirus
MH447959	TH/B23576/2017	NA	2017-08-12	Human	Thailand	A	Human_orthopneumovirus
MH447960	TH/B23964/2017	NA	2017-08-23	Human	Thailand	A	Human_orthopneumovirus
MG793382	RSVA/Lebanon/14LJF289/2015	NA	2015-02-01	Human	Lebanon	A	Human_orthopneumovirus
MG839543	HRSV/A/BuenosAires/ARG/012/2015	NA	2015-06-10	Human	Argentina	A	Human_orthopneumovirus
LC474556	RSV/A/NIID/2347/14	NA	2014-04-03	Human	USA	A	Human_orthopneumovirus
LC474557	RSV/A/NIID/2367/14	NA	2014-04-07	Human	USA	A	Human_orthopneumovirus
LC474558	RSV/A/NIID/2370/14	NA	2014-07-08	Human	USA	A	Human_orthopneumovirus
MK749909	RSVA/Homo_sapiens/NIC/IIIn_16_0267_01NT/2016	NA	2016-11-01	Human	Nicaragua	A	Human_orthopneumovirus
MK749911	RSVA/Homo_sapiens/NIC/IIIn_16_0238_01NT/2016	NA	2016-10-21	Human	Nicaragua	A	Human_orthopneumovirus
MK749912	RSVA/Homo_sapiens/NIC/IIIn_15_0256_01NT/2015	NA	2015-11-16	Human	Nicaragua	A	Human_orthopneumovirus
MK749913	RSVA/Homo_sapiens/NIC/IIIn_16_0250_01NT/2016	NA	2016-09-30	Human	Nicaragua	A	Human_orthopneumovirus
MK749917	RSVA/Homo_sapiens/NIC/IIIn_16_0265_01NT/2016	NA	2016-11-08	Human	Nicaragua	A	Human_orthopneumovirus
MN630088	RSVA/USA/UAMS_DID_002/2016	NA	2016-02-01	Human	USA	A	Human_orthopneumovirus
MN630089	RSVA/USA/UAMS_DID_007/2016	NA	2016-01-20	Human	USA	A	Human_orthopneumovirus
MN630090	RSVA/USA/UAMS_DID_009/2016	NA	2016-01-23	Human	USA	A	Human_orthopneumovirus
MN630093	RSVA/USA/UAMS_DID_016/2016	NA	2016-01-16	Human	USA	A	Human_orthopneumovirus
MN630096	RSVA/USA/UAMS_DID_021/2016	NA	2016-01-19	Human	USA	A	Human_orthopneumovirus
MN630098	RSVA/USA/UAMS_DID_027/2016	NA	2016-01-17	Human	USA	A	Human_orthopneumovirus
MN630099	RSVA/USA/UAMS_DID_028/2016	NA	2016-01-19	Human	USA	A	Human_orthopneumovirus
MN630100	RSVA/USA/UAMS_DID_040/2016	NA	2016-02-01	Human	USA	A	Human_orthopneumovirus
MN630101	RSVA/USA/ACRI_037/2016	NA	2016-02-26	Human	USA	A	Human_orthopneumovirus
MN630102	RSVA/USA/ACRI_039/2016	NA	2016-02-29	Human	USA	A	Human_orthopneumovirus
MN630103	RSVA/USA/ACRI_046/2016	NA	2016-03-02	Human	USA	A	Human_orthopneumovirus
MN630104	RSVA/USA/ACRI_051/2016	NA	2016-03-04	Human	USA	A	Human_orthopneumovirus
MN630105	RSVA/USA/ACRI_056/2016	NA	2016-03-15	Human	USA	A	Human_orthopneumovirus
MG813977	A_TX_1043_2013_WGS	NA	2013-01-11	Human	USA	A	Human_orthopneumovirus
MG813978	A_TX_009a_2012_WGS	NA	2012-02-13	Human	USA	A	Human_orthopneumovirus
MG813979	A_TX_009b_2012_WGS	NA	2012-02-13	Human	USA	A	Human_orthopneumovirus
MG813980	A_TX_029a_2012_WGS	NA	2012-10-26	Human	USA	A	Human_orthopneumovirus
MG813981	A_TX_029b_2012_WGS	NA	2012-10-26	Human	USA	A	Human_orthopneumovirus
MG813982	A_TX_032a_2012_WGS	NA	2012-11-06	Human	USA	A	Human_orthopneumovirus
MG813983	A_TX_032b_2012_WGS	NA	2012-11-06	Human	USA	A	Human_orthopneumovirus
