strain	strain_name	date	country
KF530081	Human coronavirus OC43 OC43/human/USA/991-5/1999	1999-01-07	USA
KF530070	Human coronavirus OC43 OC43/human/USA/991-19/1999	1999-01-15	USA
KF530069	Human coronavirus OC43 OC43/human/USA/982-4/1998	1998-02-05	USA
KF530063	Human coronavirus OC43 OC43/human/USA/9612-48/1996	1996-12-30	USA
KF530099	Human coronavirus OC43 OC43/human/USA/971-5/1997	1997-01-02	USA
KF530071	Human coronavirus OC43 OC43/human/USA/925-1/1992	1992-05-04	USA
KF530088	Human coronavirus OC43 OC43/human/USA/901-54/1990	1990-01-23	USA
KF530076	Human coronavirus OC43 OC43/human/USA/911-11/1991	1991-01-03	USA
KF530091	Human coronavirus OC43 OC43/human/USA/911-58/1991	1991-01-24	USA
KF530082	Human coronavirus OC43 OC43/human/USA/912-11/1991	1991-02-07	USA
KF530094	Human coronavirus OC43 OC43/human/USA/912-36/1991	1991-02-22	USA
KF530089	Human coronavirus OC43 OC43/human/USA/911-66/1991	1991-01-29	USA
KF530079	Human coronavirus OC43 OC43/human/USA/913-29/1991	1991-03-14	USA
KF530067	Human coronavirus OC43 OC43/human/USA/912-10/1991	1991-02-07	USA
KF530095	Human coronavirus OC43 OC43/human/USA/912-6/1991	1991-02-05	USA
KF530096	Human coronavirus OC43 OC43/human/USA/911-38/1991	1991-01-15	USA
KF530084	Human coronavirus OC43 OC43/human/USA/951-18/1995	1995-01-12	USA
KF530098	Human coronavirus OC43 OC43/human/USA/965-6/1996	1996-05-10	USA
MH828490	Human coronavirus OC43 vzcorona-b1	2015-04-17	Viet Nam
OK391229	Human coronavirus OC43 OC43/China/44/2019	2019-07-30	China
KF923888	Human coronavirus OC43 2145A/2010	2010-07-XX	China
KF923887	Human coronavirus OC43 1997A/2010	2010-04-XX	China
KF923889	Human coronavirus OC43 1926/2006	2006-03-XX	China
KF923886	Human coronavirus OC43 1908A/2010	2010-03-XX	China
KF923898	Human coronavirus OC43 3184A/2012	2012-03-XX	China
MN306043	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC0841/2019	2019-XX-XX	USA
MW052042	Human coronavirus OC43 2019_0536	2019-XX-XX	USA
OK073089	Human coronavirus OC43 H49	2015-XX-XX	China
OK073091	Human coronavirus OC43 R67	2015-XX-XX	China
OK073092	Human coronavirus OC43 R125	2016-XX-XX	China
MN310476	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC9428/2018	2019-XX-XX	USA
MT118668	Human coronavirus OC43 2018_0004	2018-XX-XX	USA
OK391226	Human coronavirus OC43 OC43/China/36/2019	2019-05-04	China
OK391225	Human coronavirus OC43 OC43/China/32/2019	2019-02-24	China
OK391223	Human coronavirus OC43 OC43/China/29/2019	2019-01-23	China
OK391224	Human coronavirus OC43 OC43/China/31/2019	2019-02-20	China
OK391222	Human coronavirus OC43 OC43/China/26/2019	2019-01-10	China
OK391221	Human coronavirus OC43 OC43/China/23/2019	2018-12-15	China
OK391230	Human coronavirus OC43 OC43/China/P43/2021	2021-04-01	China
KF572819	oc43/KF572819/039A_07/2007	2007-04-XX	China
KF572820	oc43/KF572820/079A_07/2007	2007-06-XX	China
KF572821	oc43/KF572821/10108_10/2010	2010-05-XX	China
KF572822	oc43/KF572822/10285_10/2010	2010-07-XX	China
KF572823	oc43/KF572823/10290_10/2010	2010-07-XX	China
KF572824	oc43/KF572824/1034A_08/2008	2008-11-XX	China
KF572825	oc43/KF572825/10574_10/2010	2010-09-XX	China
KF572826	oc43/KF572826/1081A_08/2008	2008-11-XX	China
KF572827	oc43/KF572827/1135A_08/2008	2008-12-XX	China
KF572828	oc43/KF572828/1157A_08/2008	2008-12-XX	China
KF572830	oc43/KF572830/1216A_08/2008	2008-12-XX	China
KF572831	oc43/KF572831/12689_12/2012	2012-05-XX	China
KF572832	oc43/KF572832/12691_12/2012	2012-05-XX	China
KF572833	oc43/KF572833/12694_12/2012	2012-05-XX	China
KF572834	oc43/KF572834/1357A_09/2009	2009-02-XX	China
KF572835	oc43/KF572835/1382A_09/2009	2009-02-XX	China
KF572836	oc43/KF572836/1591A_09/2009	2009-08-XX	China
KF572837	oc43/KF572837/1593A_09/2009	2009-08-XX	China
KF572838	oc43/KF572838/2134A_10/2010	2010-07-XX	China
KF572839	oc43/KF572839/2151A_10/2010	2010-07-XX	China
KF572816	oc43/KF572816/229_05/2005	2005-06-XX	China
KF572841	oc43/KF572841/3269A_12/2012	2012-06-XX	China
KF572817	oc43/KF572817/3582_06/2006	2006-09-XX	China
KF572818	oc43/KF572818/3647_06/2006	2006-10-XX	China
KF572842	oc43/KF572842/4795_07/2007	2007-03-XX	China
KF572843	oc43/KF572843/4954_07/2007	2007-03-XX	China
KF572844	oc43/KF572844/5240_07/2007	2007-03-XX	China
KF572845	oc43/KF572845/5331_07/2007	2007-03-XX	China
KF572846	oc43/KF572846/5345_07/2007	2007-03-XX	China
KF572847	oc43/KF572847/5352_07/2007	2007-03-XX	China
KF572848	oc43/KF572848/5370_07/2007	2007-03-XX	China
KF572849	oc43/KF572849/5414_07/2007	2007-06-XX	China
KF572850	oc43/KF572850/5442_07/2007	2007-06-XX	China
KF572851	oc43/KF572851/5445_07/2007	2007-06-XX	China
KF572852	oc43/KF572852/5472_07/2007	2007-06-XX	China
KF572853	oc43/KF572853/5479_07/2007	2007-06-XX	China
KF572854	oc43/KF572854/5484_07/2007	2007-06-XX	China
KF572855	oc43/KF572855/5485_07/2007	2007-06-XX	China
KF572856	oc43/KF572856/5508_07/2007	2007-06-XX	China
KF572857	oc43/KF572857/5517_07/2007	2007-06-XX	China
KF572858	oc43/KF572858/5519_07/2007	2007-06-XX	China
KF572859	oc43/KF572859/5566_07/2007	2007-06-XX	China
KF572860	oc43/KF572860/5595_07/2007	2007-07-XX	China
KF572861	oc43/KF572861/5617_07/2007	2007-07-XX	China
KF572862	oc43/KF572862/5625_07/2007	2007-07-XX	China
KF572863	oc43/KF572863/5656_07/2007	2007-07-XX	China
KF572864	oc43/KF572864/69A_07/2007	2007-05-XX	China
KF572865	oc43/KF572865/8099_09/2009	2009-02-XX	China
KF572866	oc43/KF572866/8164_09/2009	2009-03-XX	China
KF572867	oc43/KF572867/8375_09/2009	2009-04-XX	China
KF572868	oc43/KF572868/892A_08/2008	2008-10-XX	China
KF572870	oc43/KF572870/9001_09/2009	2009-08-XX	China
KF572871	oc43/KF572871/9138_09/2009	2009-10-XX	China
KF572872	oc43/KF572872/978A_08/2008	2008-10-XX	China
KF963231	oc43/KF963231/HCoV_OC43/FRA_EPI/Caen/2001/02/2001	2001-02-07	France
KF963232	oc43/KF963232/HCoV_OC43/FRA_EPI/Caen/2002/03/2002	2002-03-12	France
KF963235	oc43/KF963235/HCoV_OC43/FRA_EPI/Caen/2004/06/2004	2004-02-20	France
KF963240	oc43/KF963240/HCoV_OC43/FRA_EPI/Caen/2009/11/2009	2009-11-02	France
KF963242	oc43/KF963242/HCoV_OC43/FRA_EPI/Caen/2011/13/2011	2011-11-20	France
KF963243	oc43/KF963243/HCoV_OC43/FRA_EPI/Caen/2012/14/2012	2012-03-30	France
KF963244	oc43/KF963244/HCoV_OC43/FRA_EPI/Caen/2013/15/2013	2013-03-18	France
LC331068	oc43/LC331068/HCoV_OC43/Yamagata.JPN/02.15_0022/2015	2015-01-XX	Japan
LC331069	oc43/LC331069/HCoV_OC43/Yamagata.JPN/02.15_0076/2015	2015-01-XX	Japan
LC331070	oc43/LC331070/HCoV_OC43/Yamagata.JPN/02.15_0083/2015	2015-01-XX	Japan
LC506845	oc43/LC506845/HCoV_OC43/Yamagata.JPN/02.2015_0077/2015	2015-01-XX	Japan
LC331071	oc43/LC331071/HCoV_OC43/Yamagata.JPN/03.15_0087/2015	2015-01-XX	Japan
LC506767	oc43/LC506767/HCoV_OC43/Yamagata.JPN/03.2010_0241/2010	2010-01-XX	Japan
LC506846	oc43/LC506846/HCoV_OC43/Yamagata.JPN/03.2015_0086/2015	2015-01-XX	Japan
LC506847	oc43/LC506847/HCoV_OC43/Yamagata.JPN/03.2015_0088/2015	2015-01-XX	Japan
LC506848	oc43/LC506848/HCoV_OC43/Yamagata.JPN/03.2015_0093/2015	2015-01-XX	Japan
LC506849	oc43/LC506849/HCoV_OC43/Yamagata.JPN/03.2015_0101/2015	2015-01-XX	Japan
LC506850	oc43/LC506850/HCoV_OC43/Yamagata.JPN/03.2015_0128/2015	2015-01-XX	Japan
LC506851	oc43/LC506851/HCoV_OC43/Yamagata.JPN/03.2015_0129/2015	2015-01-XX	Japan
LC506852	oc43/LC506852/HCoV_OC43/Yamagata.JPN/03.2015_0130/2015	2015-01-XX	Japan
LC506853	oc43/LC506853/HCoV_OC43/Yamagata.JPN/03.2015_0131/2015	2015-01-XX	Japan
LC506854	oc43/LC506854/HCoV_OC43/Yamagata.JPN/03.2015_0134/2015	2015-01-XX	Japan
LC506855	oc43/LC506855/HCoV_OC43/Yamagata.JPN/03.2015_0136/2015	2015-01-XX	Japan
LC331072	oc43/LC331072/HCoV_OC43/Yamagata.JPN/04.15_0214/2015	2015-01-XX	Japan
LC506768	oc43/LC506768/HCoV_OC43/Yamagata.JPN/04.2010_0251/2010	2010-01-XX	Japan
LC506801	oc43/LC506801/HCoV_OC43/Yamagata.JPN/04.2012_0168/2012	2012-01-XX	Japan
LC506815	oc43/LC506815/HCoV_OC43/Yamagata.JPN/04.2013_0289/2013	2013-01-XX	Japan
LC506856	oc43/LC506856/HCoV_OC43/Yamagata.JPN/04.2015_0137/2015	2015-01-XX	Japan
LC506857	oc43/LC506857/HCoV_OC43/Yamagata.JPN/04.2015_0140/2015	2015-01-XX	Japan
LC506858	oc43/LC506858/HCoV_OC43/Yamagata.JPN/04.2015_0142/2015	2015-01-XX	Japan
LC506859	oc43/LC506859/HCoV_OC43/Yamagata.JPN/04.2015_0144/2015	2015-01-XX	Japan
LC506860	oc43/LC506860/HCoV_OC43/Yamagata.JPN/04.2015_0147/2015	2015-01-XX	Japan
LC506861	oc43/LC506861/HCoV_OC43/Yamagata.JPN/04.2015_0151/2015	2015-01-XX	Japan
LC506862	oc43/LC506862/HCoV_OC43/Yamagata.JPN/04.2015_0152/2015	2015-01-XX	Japan
LC506863	oc43/LC506863/HCoV_OC43/Yamagata.JPN/04.2015_0154/2015	2015-01-XX	Japan
LC506864	oc43/LC506864/HCoV_OC43/Yamagata.JPN/04.2015_0155/2015	2015-01-XX	Japan
LC506865	oc43/LC506865/HCoV_OC43/Yamagata.JPN/04.2015_0158/2015	2015-01-XX	Japan
LC506867	oc43/LC506867/HCoV_OC43/Yamagata.JPN/04.2015_0209/2015	2015-01-XX	Japan
LC506869	oc43/LC506869/HCoV_OC43/Yamagata.JPN/04.2015_0211/2015	2015-01-XX	Japan
LC506870	oc43/LC506870/HCoV_OC43/Yamagata.JPN/04.2015_0213/2015	2015-01-XX	Japan
LC331073	oc43/LC331073/HCoV_OC43/Yamagata.JPN/05.15_0234/2015	2015-01-XX	Japan
LC331074	oc43/LC331074/HCoV_OC43/Yamagata.JPN/05.15_0248/2015	2015-01-XX	Japan
LC506802	oc43/LC506802/HCoV_OC43/Yamagata.JPN/05.2012_0279/2012	2012-02-XX	Japan
LC506803	oc43/LC506803/HCoV_OC43/Yamagata.JPN/05.2012_0283/2012	2012-02-XX	Japan
LC506816	oc43/LC506816/HCoV_OC43/Yamagata.JPN/05.2013_0300/2013	2013-01-XX	Japan
LC506871	oc43/LC506871/HCoV_OC43/Yamagata.JPN/05.2015_0215/2015	2015-01-XX	Japan
LC506873	oc43/LC506873/HCoV_OC43/Yamagata.JPN/05.2015_0218/2015	2015-01-XX	Japan
LC506874	oc43/LC506874/HCoV_OC43/Yamagata.JPN/05.2015_0220/2015	2015-01-XX	Japan
LC506875	oc43/LC506875/HCoV_OC43/Yamagata.JPN/05.2015_0223/2015	2015-01-XX	Japan
LC506876	oc43/LC506876/HCoV_OC43/Yamagata.JPN/05.2015_0224/2015	2015-01-XX	Japan
LC506877	oc43/LC506877/HCoV_OC43/Yamagata.JPN/05.2015_0225/2015	2015-01-XX	Japan
LC506878	oc43/LC506878/HCoV_OC43/Yamagata.JPN/05.2015_0228/2015	2015-01-XX	Japan
LC506879	oc43/LC506879/HCoV_OC43/Yamagata.JPN/05.2015_0229/2015	2015-01-XX	Japan
LC506880	oc43/LC506880/HCoV_OC43/Yamagata.JPN/05.2015_0230/2015	2015-01-XX	Japan
LC506881	oc43/LC506881/HCoV_OC43/Yamagata.JPN/05.2015_0232/2015	2015-01-XX	Japan
LC506882	oc43/LC506882/HCoV_OC43/Yamagata.JPN/05.2015_0233/2015	2015-01-XX	Japan
LC506883	oc43/LC506883/HCoV_OC43/Yamagata.JPN/05.2015_0235/2015	2015-01-XX	Japan
LC506884	oc43/LC506884/HCoV_OC43/Yamagata.JPN/05.2015_0236/2015	2015-01-XX	Japan
LC506885	oc43/LC506885/HCoV_OC43/Yamagata.JPN/05.2015_0275/2015	2015-01-XX	Japan
LC506886	oc43/LC506886/HCoV_OC43/Yamagata.JPN/05.2015_0279/2015	2015-01-XX	Japan
LC506887	oc43/LC506887/HCoV_OC43/Yamagata.JPN/05.2015_0282/2015	2015-01-XX	Japan
LC506888	oc43/LC506888/HCoV_OC43/Yamagata.JPN/05.2015_0284/2015	2015-01-XX	Japan
LC506950	oc43/LC506950/HCoV_OC43/Yamagata.JPN/05.2015_0285/2015	2015-01-XX	Japan
LC506889	oc43/LC506889/HCoV_OC43/Yamagata.JPN/05.2015_0287/2015	2015-01-XX	Japan
LC506890	oc43/LC506890/HCoV_OC43/Yamagata.JPN/05.2015_0288/2015	2015-01-XX	Japan
LC506917	oc43/LC506917/HCoV_OC43/Yamagata.JPN/05.2017_0193/2017	2017-01-XX	Japan
LC506918	oc43/LC506918/HCoV_OC43/Yamagata.JPN/05.2017_0247/2017	2017-02-XX	Japan
LC331075	oc43/LC331075/HCoV_OC43/Yamagata.JPN/06.15_0350/2015	2015-02-XX	Japan
LC506804	oc43/LC506804/HCoV_OC43/Yamagata.JPN/06.2012_0291/2012	2012-02-XX	Japan
LC506805	oc43/LC506805/HCoV_OC43/Yamagata.JPN/06.2012_0369/2012	2012-02-XX	Japan
LC506806	oc43/LC506806/HCoV_OC43/Yamagata.JPN/06.2012_0371/2012	2012-02-XX	Japan
LC506817	oc43/LC506817/HCoV_OC43/Yamagata.JPN/06.2013_0348/2013	2013-02-XX	Japan
LC506818	oc43/LC506818/HCoV_OC43/Yamagata.JPN/06.2013_0375/2013	2013-02-XX	Japan
LC506819	oc43/LC506819/HCoV_OC43/Yamagata.JPN/06.2013_0378/2013	2013-02-XX	Japan
LC506832	oc43/LC506832/HCoV_OC43/Yamagata.JPN/06.2014_0378/2014	2014-02-XX	Japan
LC506891	oc43/LC506891/HCoV_OC43/Yamagata.JPN/06.2015_0290/2015	2015-02-XX	Japan
LC506892	oc43/LC506892/HCoV_OC43/Yamagata.JPN/06.2015_0291/2015	2015-02-XX	Japan
LC506893	oc43/LC506893/HCoV_OC43/Yamagata.JPN/06.2015_0294/2015	2015-02-XX	Japan
LC506894	oc43/LC506894/HCoV_OC43/Yamagata.JPN/06.2015_0297/2015	2015-02-XX	Japan
LC506895	oc43/LC506895/HCoV_OC43/Yamagata.JPN/06.2015_0300/2015	2015-02-XX	Japan
LC506896	oc43/LC506896/HCoV_OC43/Yamagata.JPN/06.2015_0301/2015	2015-02-XX	Japan
LC506897	oc43/LC506897/HCoV_OC43/Yamagata.JPN/06.2015_0303/2015	2015-02-XX	Japan
LC506898	oc43/LC506898/HCoV_OC43/Yamagata.JPN/06.2015_0351/2015	2015-02-XX	Japan
LC506900	oc43/LC506900/HCoV_OC43/Yamagata.JPN/06.2015_0359/2015	2015-02-XX	Japan
LC506919	oc43/LC506919/HCoV_OC43/Yamagata.JPN/06.2017_0266/2017	2017-02-XX	Japan
LC506920	oc43/LC506920/HCoV_OC43/Yamagata.JPN/06.2017_0300/2017	2017-02-XX	Japan
LC506820	oc43/LC506820/HCoV_OC43/Yamagata.JPN/07.2013_0380/2013	2013-02-XX	Japan
LC506899	oc43/LC506899/HCoV_OC43/Yamagata.JPN/07.2015_0353/2015	2015-02-XX	Japan
LC506901	oc43/LC506901/HCoV_OC43/Yamagata.JPN/07.2015_0361/2015	2015-02-XX	Japan
LC506902	oc43/LC506902/HCoV_OC43/Yamagata.JPN/07.2015_0368/2015	2015-02-XX	Japan
LC506903	oc43/LC506903/HCoV_OC43/Yamagata.JPN/07.2015_0369/2015	2015-02-XX	Japan
LC506904	oc43/LC506904/HCoV_OC43/Yamagata.JPN/07.2015_0373/2015	2015-02-XX	Japan
LC506905	oc43/LC506905/HCoV_OC43/Yamagata.JPN/07.2015_0416/2015	2015-02-XX	Japan
LC506906	oc43/LC506906/HCoV_OC43/Yamagata.JPN/07.2015_0417/2015	2015-02-XX	Japan
LC506907	oc43/LC506907/HCoV_OC43/Yamagata.JPN/07.2015_0418/2015	2015-02-XX	Japan
LC506908	oc43/LC506908/HCoV_OC43/Yamagata.JPN/07.2015_0424/2015	2015-02-XX	Japan
LC506909	oc43/LC506909/HCoV_OC43/Yamagata.JPN/07.2015_0425/2015	2015-02-XX	Japan
LC506921	oc43/LC506921/HCoV_OC43/Yamagata.JPN/07.2017_0304/2017	2017-02-XX	Japan
LC506922	oc43/LC506922/HCoV_OC43/Yamagata.JPN/07.2017_0305/2017	2017-02-XX	Japan
LC506923	oc43/LC506923/HCoV_OC43/Yamagata.JPN/07.2017_0306/2017	2017-02-XX	Japan
LC506924	oc43/LC506924/HCoV_OC43/Yamagata.JPN/07.2017_0314/2017	2017-02-XX	Japan
LC506925	oc43/LC506925/HCoV_OC43/Yamagata.JPN/07.2017_0354/2017	2017-02-XX	Japan
LC506926	oc43/LC506926/HCoV_OC43/Yamagata.JPN/07.2017_0361/2017	2017-02-XX	Japan
LC506927	oc43/LC506927/HCoV_OC43/Yamagata.JPN/07.2017_0362/2017	2017-02-XX	Japan
LC506834	oc43/LC506834/HCoV_OC43/Yamagata.JPN/08.2014_0432/2014	2014-02-XX	Japan
LC506835	oc43/LC506835/HCoV_OC43/Yamagata.JPN/08.2014_0434/2014	2014-02-XX	Japan
