strain	strain_name	date	country
KF530081	Human coronavirus OC43 OC43/human/USA/991-5/1999	1999-01-07	USA
KF530070	Human coronavirus OC43 OC43/human/USA/991-19/1999	1999-01-15	USA
KF530069	Human coronavirus OC43 OC43/human/USA/982-4/1998	1998-02-05	USA
KF530063	Human coronavirus OC43 OC43/human/USA/9612-48/1996	1996-12-30	USA
KF530099	Human coronavirus OC43 OC43/human/USA/971-5/1997	1997-01-02	USA
KF530071	Human coronavirus OC43 OC43/human/USA/925-1/1992	1992-05-04	USA
KF530088	Human coronavirus OC43 OC43/human/USA/901-54/1990	1990-01-23	USA
KF530076	Human coronavirus OC43 OC43/human/USA/911-11/1991	1991-01-03	USA
KF530091	Human coronavirus OC43 OC43/human/USA/911-58/1991	1991-01-24	USA
KF530082	Human coronavirus OC43 OC43/human/USA/912-11/1991	1991-02-07	USA
KF530094	Human coronavirus OC43 OC43/human/USA/912-36/1991	1991-02-22	USA
KF530089	Human coronavirus OC43 OC43/human/USA/911-66/1991	1991-01-29	USA
KF530079	Human coronavirus OC43 OC43/human/USA/913-29/1991	1991-03-14	USA
KF530067	Human coronavirus OC43 OC43/human/USA/912-10/1991	1991-02-07	USA
KF530095	Human coronavirus OC43 OC43/human/USA/912-6/1991	1991-02-05	USA
KF530096	Human coronavirus OC43 OC43/human/USA/911-38/1991	1991-01-15	USA
KF530084	Human coronavirus OC43 OC43/human/USA/951-18/1995	1995-01-12	USA
KF530098	Human coronavirus OC43 OC43/human/USA/965-6/1996	1996-05-10	USA
MH828490	Human coronavirus OC43 vzcorona-b1	2015-04-17	Viet Nam
OK391229	Human coronavirus OC43 OC43/China/44/2019	2019-07-30	China
KF923888	Human coronavirus OC43 2145A/2010	2010-07-XX	China
KF923887	Human coronavirus OC43 1997A/2010	2010-04-XX	China
KF923889	Human coronavirus OC43 1926/2006	2006-03-XX	China
KF923886	Human coronavirus OC43 1908A/2010	2010-03-XX	China
KF923898	Human coronavirus OC43 3184A/2012	2012-03-XX	China
MN306043	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC0841/2019	2019-XX-XX	USA
MW052042	Human coronavirus OC43 2019_0536	2019-XX-XX	USA
OK073089	Human coronavirus OC43 H49	2015-XX-XX	China
OK073091	Human coronavirus OC43 R67	2015-XX-XX	China
OK073092	Human coronavirus OC43 R125	2016-XX-XX	China
MN310476	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC9428/2018	2019-XX-XX	USA
MT118668	Human coronavirus OC43 2018_0004	2018-XX-XX	USA
OK391226	Human coronavirus OC43 OC43/China/36/2019	2019-05-04	China
OK391225	Human coronavirus OC43 OC43/China/32/2019	2019-02-24	China
OK391223	Human coronavirus OC43 OC43/China/29/2019	2019-01-23	China
OK391224	Human coronavirus OC43 OC43/China/31/2019	2019-02-20	China
OK391222	Human coronavirus OC43 OC43/China/26/2019	2019-01-10	China
OK391221	Human coronavirus OC43 OC43/China/23/2019	2018-12-15	China
OK391230	Human coronavirus OC43 OC43/China/P43/2021	2021-04-01	China
KU131570	oc43/KU131570/HCoV_OC43/UK/London/2011/2011	2011-08-20	United_Kingdom
MF314143	oc43/MF314143/HCoV_OC43/USA/ACRI_0052/2016/2016	2016-03-07	USA
KY967360	oc43/KY967360/HCoV_OC43/Seattle/USA/SC2476/2015/2015	2015-XX-XX	USA
MN026165	oc43/MN026165/OC43_KLF_02_2017/2017	2017-11-27	Kenya
