strain	strain_name	date	country
LC331092	oc43/LC331092/HCoV_OC43/Yamagata.JPN/26.16_1046/2016	2016-06-XX	Japan
LC331088	oc43/LC331088/HCoV_OC43/Yamagata.JPN/26.16_1049/2016	2016-06-XX	Japan
LC331093	oc43/LC331093/HCoV_OC43/Yamagata.JPN/27.16_1096/2016	2016-07-XX	Japan
LC506774	oc43/LC506774/HCoV_OC43/Yamagata.JPN/43.2010_2375/2010	2010-10-XX	Japan
LC506775	oc43/LC506775/HCoV_OC43/Yamagata.JPN/43.2010_2382/2010	2010-10-XX	Japan
LC506776	oc43/LC506776/HCoV_OC43/Yamagata.JPN/43.2010_2384/2010	2010-10-XX	Japan
LC506777	oc43/LC506777/HCoV_OC43/Yamagata.JPN/43.2010_2385/2010	2010-10-XX	Japan
LC506778	oc43/LC506778/HCoV_OC43/Yamagata.JPN/43.2010_2388/2010	2010-10-XX	Japan
LC506779	oc43/LC506779/HCoV_OC43/Yamagata.JPN/43.2010_2412/2010	2010-10-XX	Japan
LC506780	oc43/LC506780/HCoV_OC43/Yamagata.JPN/45.2010_2465/2010	2010-11-XX	Japan
LC506781	oc43/LC506781/HCoV_OC43/Yamagata.JPN/46.2010_2506/2010	2010-11-XX	Japan
LC506782	oc43/LC506782/HCoV_OC43/Yamagata.JPN/46.2010_2510/2010	2010-11-XX	Japan
LC506783	oc43/LC506783/HCoV_OC43/Yamagata.JPN/46.2010_2512/2010	2010-11-XX	Japan
LC506784	oc43/LC506784/HCoV_OC43/Yamagata.JPN/46.2010_2513/2010	2010-11-XX	Japan
LC506785	oc43/LC506785/HCoV_OC43/Yamagata.JPN/46.2010_2538/2010	2010-11-XX	Japan
LC506786	oc43/LC506786/HCoV_OC43/Yamagata.JPN/47.2010_2547/2010	2010-11-XX	Japan
LC506787	oc43/LC506787/HCoV_OC43/Yamagata.JPN/48.2010_2590/2010	2010-11-XX	Japan
LC506788	oc43/LC506788/HCoV_OC43/Yamagata.JPN/48.2010_2644/2010	2010-12-XX	Japan
LC506946	oc43/LC506946/HCoV_OC43/Yamagata.JPN/48.2017_2515/2017	2017-12-XX	Japan
LC506947	oc43/LC506947/HCoV_OC43/Yamagata.JPN/50.2017_2568/2017	2017-12-XX	Japan
LC506948	oc43/LC506948/HCoV_OC43/Yamagata.JPN/51.2017_2650/2017	2017-12-XX	Japan
LC506949	oc43/LC506949/HCoV_OC43/Yamagata.JPN/51.2017_2652/2017	2017-12-XX	Japan
MN306043	oc43/MN306043/HCoV_OC43/Seattle/USA/SC0841/2019/2019	2019-XX-XX	USA
MN310476	oc43/MN310476/HCoV_OC43/Seattle/USA/SC9428/2018/2019	2019-XX-XX	USA
MF996605	oc43/MF996605/OC43/2015	2015-XX-XX	China
MF996606	oc43/MF996606/OC43/2015	2015-XX-XX	China
MF996607	oc43/MF996607/OC43/2015	2015-XX-XX	China
MF996611	oc43/MF996611/OC43/2015	2015-XX-XX	China
MF996612	oc43/MF996612/OC43/2015	2015-XX-XX	China
MF996619	oc43/MF996619/OC43/2014	2014-XX-XX	China
