strain,begin,length,end,BLAST,BLAST score,refseq,reverse complement,ORF1 type,ORF1 type support,ORF1 subtype,ORF1 subtype support,ORF2 type,ORF2 type support,ORF2 subtype,ORF2 subtype support
AB972481|HuGII.4Fukui72012JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972474|HuGII.4Miyagi32012JP|,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,98,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB972475|HuGII.4Saitama22012JP,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
KU311163|SP2|NA|2013_04|Human|,12,7535,7504,Norovirus GII,,NC_029646.1,FALSE,GII.P4,96,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB972485|HuGII.4OsakaCity22012,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972498|HuGII.4Ehime32012JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972477|HuGII.4Niigata42012JP,5,7476,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972499|HuGII.4GII4_HK012011J,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
KU311161|OU4|NA|2012_11|Human|,12,7657,7609,Norovirus GI,,NC_001959.2,FALSE,GI.P7,98,,,GI.7,100,,
AB972483|HuGII.4Ehime52012JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972467|HuGII.4Aomori22012JP|,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972478|HuGII.4Fukui32012JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
KU311162|SP1|NA|2012_12|Human|,12,7524,7494,Norovirus GII,,NC_029646.1,FALSE,GII.P4,96,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB972493|HuGII.4Shimane52012JP,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972473|HuGII.4Iwate52012JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972491|HuGII.4Sakai52012JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972484|HuGII.4OsakaCity12012,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972468|HuGII.4Aomori32012JP|,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972500|HuGII.4GII4_HK022011J,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
AB972490|HuGII.4Sakai42012JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972489|HuGII.4Sakai32012JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972466|HuGII.4Hokkaido42012J,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972492|HuGII.4Shimane32012JP,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972471|HuGII.4Akita52012JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,96,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB972504|HuGII.4GII4_NG1343201,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972501|HuGII.4GII4_HK032011J,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB972476|HuGII.4Toyama22012JP|,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,97,Den_Haag_2006b,99,GII.4,100,Den_Haag_2006b,100
AB972497|HuGII.4HiroshimaCity4,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
KT780407|HuGII.17CUHK_NS_603HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780416|HuGII.17CUHK_NS_657HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780400|HuGII.17CUHK_NS_511HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT326182|HuGII.17CUHK_NS_667HK,58,7506,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780398|HuGII.17CUHK_NS_500HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU311160|OU3|NA|2013_11|Human|,13,7508,7472,Norovirus GII,,NC_029646.1,FALSE,GII.P40 (GII.P22),100,,,GII.5,100,,
KT780396|HuGII.17CUHK_NS_492HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780413|HuGII.17CUHK_NS_653HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780406|HuGII.17CUHK_NS_600HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780401|HuGII.17CUHK_NS_517HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780394|HuGII.17CUHK_NS_469HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT326180|HuGII.17CUHK_NS_405HK,57,7507,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780412|HuGII.17CUHK_NS_647HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780411|HuGII.17CUHK_NS_643HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KP407450|HuCHN2008GI.P8_GI.8Hu,1,7740,7654,Norovirus GI,,NC_001959.2,FALSE,GI.P8,100,,,GI.8,100,,
KT780399|HuGII.17CUHK_NS_502HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780403|HuGII.17CUHK_NS_574HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780395|HuGII.17CUHK_NS_482HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780409|HuGII.17CUHK_NS_636HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780415|HuGII.17CUHK_NS_656HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780408|HuGII.17CUHK_NS_627HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780404|HuGII.17CUHK_NS_582HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780405|HuGII.17CUHK_NS_599HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780402|HuGII.17CUHK_NS_549HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780414|HuGII.17CUHK_NS_655HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780397|HuGII.17CUHK_NS_494HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT326181|HuGII.17CUHK_NS_649HK,46,7518,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KP998539|GIIHuHKG2014GII.17CUH,1,7570,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT780410|HuGII.17CUHK_NS_637HK,8,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU561251|HuGII.P17_GII.17KR201,1,7551,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU561253|HuGII.P17_GII.17KR201,1,7556,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU561254|HuGII.P17_GII.17KR201,1,7556,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU561255|HuGII.P17_GII.17KR201,1,7556,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU561256|HuGII.P17_GII.17KR201,1,7556,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU561250|HuGII.P17_GII.17KR201,1,7551,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU561252|HuGII.P17_GII.17KR201,1,7556,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU557788|HuGII.172238GD_JM2013,7,7497,7485,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU557784|HuGII.1735_0585GD_JM2,7,7555,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU557789|HuGII.171421GD_FS2013,7,6572,6554,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU557785|HuGII.171085GD_MM2014,7,7496,7478,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
HQ169542|186GII.6USA|NA|2005|H,1,7547,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P6,100,,,GII.6,100,,
KU557786|HuGII.171711GD_JM2014,7,7417,7399,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU557783|HuGII.1735_0584GD_JM2,7,7555,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU557790|HuGII.171548GD_MM2014,7,7504,7486,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KX079488|NoVKorJW|NA|2015_04_0,1,7510,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P21 (GII.Pb),100,,,GII.21,100,,
GU930737|E99_13646|NA|1997_03_,28,7519,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P7,100,,,GII.6,100,,
KU557787|HuGII.1718_1712GD_JM2,7,7417,7399,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU757054|HuGIICN2015GII.17FX15,2440,5114,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU757052|HuGIICN2014GII.17FX14,7,7556,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU757047|HuGIICN2014GII.171401,7,7550,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU757053|HuGIICN2015GII.17TF15,2440,5114,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU757046|HuGIICN2013GII.171301,7,7550,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU757051|HuGIICN2014GII.17FX14,7,7556,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU757048|HuGIICN2014GII.171402,7,7550,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU870455|NHBGR59|NA|NA|Human|C,1,7563,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P7,100,,,GII.6,100,,
KU757049|HuGIICN2014GII.171401,7,7556,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KU757050|HuGIICN2014GII.171401,7,7556,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
AB665364|HuGII.4OsakaNV2210200,19,7542,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P4,98,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KX158282|14_56|NA|2015|Human|C,15,7491,7481,Norovirus GII,,NC_029646.1,TRUE,GII.P7,100,,,GII.6,100,,
KP784698|GIIHuZAF2012GII.P4_GI,1,7570,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
KX907727|HuUSA2015GII.P16_GII.,1,7514,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P16,100,,,GII.4,100,Sydney_2012,100
KP784692|GIIHuZAF2011GII.P4_GI,1,7569,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,87,GII.4,100,Could not assign,
AB985442|HuGII2_46Tokyo1987JPN,24,7533,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Camberwell_1994,99,GII.4,100,Camberwell_1994,100
KP784696|GIIHuZAF2012GII.P4_GI,1,7570,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
KP784695|GIIHuZAF2012GII.P4_GI,1,7570,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,99,GII.4,100,New_Orleans_2009,100
KX158285|15_59|NA|2015|Human|C,284,7356,7518,Norovirus GII,,NC_029646.1,TRUE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
KX158279|13_38|NA|2015|Human|C,11,7542,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
KX158281|14_55|NA|2015|Human|C,13,7539,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P7,100,,,GII.6,100,,
KP784694|GIIHuZAF2012GII.P4_GI,1,7570,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,89,GII.4,100,Sydney_2012,95
KX907729|HuUSA2011GI.P7_GI.7CS,1,7648,7588,Norovirus GI,,NC_001959.2,FALSE,GI.P7,99,,,GI.7,100,,
KP784691|GIIHuZAF2009GII.P4_GI,1,7570,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,95,GII.4,100,Could not assign,
KX907730|HuUSA2014GI.P7_GI.7GA,2,7647,7588,Norovirus GI,,NC_001959.2,FALSE,GI.P7,100,,,GI.7,100,,
KX907728|HuUSA2016GIV.3WI7002|,1,7419,7419,Norovirus GIV,,NC_044855.1,FALSE,,,,,,,,
