strain,begin,length,end,BLAST,BLAST score,refseq,reverse complement,ORF1 type,ORF1 type support,ORF1 subtype,ORF1 subtype support,ORF2 type,ORF2 type support,ORF2 subtype,ORF2 subtype support
JX445160|HuGII.4AlbertaEI10220,36,7500,7491,Norovirus GII,,NC_029646.1,FALSE,GII.P4,98,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
JX445155|HuGII.4AlbertaEI43820,37,7484,7478,Norovirus GII,,NC_029646.1,FALSE,GII.P4,98,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
JX445167|HuGII.4AlbertaEI06520,21,7515,7491,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
JX445154|HuGII.4AlbertaEI19020,42,7495,7496,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Could not assign,,GII.4,100,Hunter_2004,100
JX445166|HuGII.4AlbertaEI20420,32,7504,7491,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
JX445158|HuGII.4AlbertaEI60320,21,7515,7491,Norovirus GII,,NC_029646.1,FALSE,GII.P4,99,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
JX445169|HuGII.4AlbertaEI00320,21,7515,7491,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
JX445164|HuGII.4AlbertaEI04520,21,7515,7491,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
JX445168|HuGII.4AlbertaEI38820,21,7515,7491,Norovirus GII,,NC_029646.1,FALSE,GII.P4,99,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
JX445156|HuGII.4AlbertaEI49820,21,7515,7491,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Yerseke_2006a,97,GII.4,100,Yerseke_2006a,100
JX445153|HuGII.4AlbertaEI14220,42,7485,7491,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Could not assign,,GII.4,100,Hunter_2004,100
JX445162|HuGII.4AlbertaEI42520,36,7500,7491,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
JX445163|HuGII.4AlbertaEI10920,37,7490,7482,Norovirus GII,,NC_029646.1,FALSE,GII.P4,98,,,,,,
JQ911594|HuGI103602010VNM|NA|2,1,7696,7607,Norovirus GI,,NC_001959.2,FALSE,GI.P13 (GI.Pd),100,,,GI.3,100,,
JX445157|HuGII.4AlbertaEI51320,21,7515,7491,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Yerseke_2006a,96,GII.4,100,Yerseke_2006a,100
JX023285|HuGI.18FIIa1968USA|NA,1,7633,7633,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
JX289821|HuGII.4MD120_121987US,1,7169,7121,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Camberwell_1994,100,GII.4,100,Camberwell_1994,98
GU017903|HuGII.148553Maizuru20,1,7529,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P7,100,,,GII.14,100,,
GU594162|HuGII.148610Saga2008J,1,7529,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P7,100,,,GII.14,100,,
KC175403|HuNorwalk201182009VNM,3,7511,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,97,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KC409268|HuGII201852009VNM|NA|,3,7511,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,99,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KC409276|HuGII202052009VNM|NA|,3,7511,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,96,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KC409271|HuGII201902009VNM|NA|,3,7511,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,96,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KC175409|HuNorwalk201402009VNM,3,7511,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,98,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KC662537|HuGIIHy_718KOR|NA|NA|,1,7492,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P12,100,,,GII.13,100,,
KC960615|HuGII.4201992009VNM|N,3,7511,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,94,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
JX459905|HuGII.4RandwickNSW938,1,7560,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P4,94,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KC631827|HuGII.4Hong_KongCUHK6,1,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
KC463910|684|NA|2012|Human|USA,1,7559,7517,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
KC810030|D|NA|2010_08_24|Human,1,7560,7517,Norovirus GII,,NC_029646.1,FALSE,GII.P4,97,Could not assign,,GII.4,100,Could not assign,
JX439815|HuGIISeoul1055KOR2010,1,7538,7494,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Apeldoorn_2007,98,GII.4,100,Apeldoorn_2007,100
KC810022|B|NA|2010_07_19|Human,1,7545,7499,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Den_Haag_2006b,97,GII.4,100,Den_Haag_2006b,100
JX439816|HuGIISeoul1072KOR2010,1,7537,7493,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Apeldoorn_2007,96,GII.4,100,Apeldoorn_2007,100
KC810029|C|NA|2010_08_27|Human,1,7557,7511,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
KC810032|E|NA|2010_06_23|Human,1,7558,7515,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Could not assign,,GII.4,100,Yerseke_2006a,100
JX439819|HuGIISeoul1488KOR2011,1,7538,7494,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
KC810031|E|NA|2010_07_23|Human,1,7560,7517,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Could not assign,,GII.4,100,Yerseke_2006a,100
KC810025|B|NA|2010_07_27|Human,1,7560,7517,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Den_Haag_2006b,98,GII.4,100,Den_Haag_2006b,100
KC810020|B|NA|2010_06_24|Human,1,7538,7496,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Den_Haag_2006b,99,GII.4,100,Den_Haag_2006b,100
KC810028|A|NA|2010_07_12|Human,1,7219,7189,Norovirus GII,,NC_029646.1,FALSE,GII.P4,99,Den_Haag_2006b,98,GII.4,100,Den_Haag_2006b,100
KC810027|A|NA|2010_07_04|Human,1,7557,7502,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Den_Haag_2006b,99,GII.4,100,Den_Haag_2006b,100
JX439818|HuGIISeoul1367KOR2010,1,7537,7493,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Apeldoorn_2007,95,GII.4,100,Apeldoorn_2007,100
KC810021|B|NA|2010_07_04|Human,1,7546,7500,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KC810026|A|NA|2010_06_28|Human,1,7557,7511,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Den_Haag_2006b,99,GII.4,100,Den_Haag_2006b,100
JX439817|HuGIISeoul1282KOR2010,1,7538,7494,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
KC894942|HuGuangzhouGZ2010_L88,3,7556,7517,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KC810024|B|NA|2010_08_23|Human,1,7558,7515,Norovirus GII,,NC_029646.1,FALSE,GII.P4,99,Den_Haag_2006b,97,GII.4,100,Den_Haag_2006b,100
KC810023|B|NA|2010_07_23|Human,1,7016,6968,Norovirus GII,,NC_029646.1,FALSE,GII.P4,99,Den_Haag_2006b,96,GII.4,100,Den_Haag_2006b,100
KC894943|HuGuangzhouGZ2010_L91,3,7556,7517,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KC631814|HuGII.4MI0012011USA|N,1,7575,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Yerseke_2006a,97,GII.4,100,Yerseke_2006a,100
KC631815|HuGII.4MI0022011USA|N,8,7507,7472,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Yerseke_2006a,99,GII.4,100,Yerseke_2006a,100
KF429770|HuGI.18McIII1973USA|N,1,7626,7626,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
KF429774|HuGI.18UIIIf1973USA|N,4,7623,7626,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
KF429773|HuGI.18CKIIIc1974USA|,1,7626,7626,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
KF429769|HuGII.2SnowMountRS197,5,6156,6139,Norovirus GII,,NC_029646.1,FALSE,GII.P30 (GII.Pc),100,,,GII.2,100,,
KF429783|HuGI.18K1979USA|NA|19,4,7617,7620,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
JX448566|HuGII.4Seoul10712010K,1,7538,7494,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,Apeldoorn_2007,100
KF429789|HuGI.18MC1978USA|NA|1,4,7623,7626,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
KF429761|HuGI.18MoIIIL1972USA|,4,7623,7626,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
KF429792|HuGII.4NIHIC1.62012US,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Apeldoorn_2007,100,GII.4,100,Apeldoorn_2007,100
KF039726|HuGI.1CHA6A003_200910,5,7600,7604,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
KF039730|HuGI.1CHA9A004_201104,5,7600,7604,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
KF712503|HuGII.4NIHIC28.32012U,6,7505,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Could not assign,,GII.4,100,Could not assign,
KF712496|HuGII.4NIHIC2.32010US,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,97,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KF712510|HuGII.4NIHIC2.22010US,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KF712506|HuGII.4NIHIC1.122012U,6,7502,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Apeldoorn_2007,100,GII.4,100,Apeldoorn_2007,89
KF429787|HuGII.4NIHIC28.52012U,5,7506,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Could not assign,,GII.4,100,Could not assign,
KC576912|HuGII.4NIHIC4.12011US,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,99,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KF712495|HuGII.4NIHIC17.32012U,6,7508,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,97,Den_Haag_2006b,99,GII.4,100,New_Orleans_2009,79
KF712509|HuGII.6NIHIC34.12013U,10,5927,5950,Norovirus GII,,NC_029646.1,FALSE,GII.P7,100,,,GII.6,100,,
KC597138|HuGII.2CHDC25961975US,1314,5173,6465,Norovirus GII,,NC_029646.1,FALSE,GII.P30 (GII.Pc),100,,,GII.2,100,,
KF039729|HuGI.1CHA6A0072010USA,5,7600,7604,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
KF712507|HuGII.4NIHIC1.112012U,8,7500,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Apeldoorn_2007,99,GII.4,100,Apeldoorn_2007,82
KF712502|HuGII.4NIHIC352013USA,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,96,Den_Haag_2006b,96,GII.4,100,New_Orleans_2009,71
KF712492|HuGII.4NIHIC1.82012US,233,7278,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Apeldoorn_2007,99,GII.4,100,Could not assign,
KF712504|HuGII.4NIHIC11.32013U,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,98
KF039727|HuGI.1CHA6A003_200910,5,7600,7604,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
KF039731|HuGI.1CH4XO5332009USA,5,7600,7604,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
KF429767|HuGII.4NIHIC28.22012U,263,6014,6273,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
KF429768|HuGII.4NIHIC1.132012U,5,7503,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Apeldoorn_2007,100,GII.4,100,Apeldoorn_2007,76
KC409317|HuGI302572009VNM|NA|2,3,7511,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,95,Den_Haag_2006b,99,GII.4,100,Den_Haag_2006b,100
KF039736|HuGI.1CHA7A0112010USA,5,7600,7604,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
KF586507|CAIQ12110628|NA|2012_,1,7706,7612,Norovirus GI,,NC_001959.2,FALSE,GI.P9,100,,,GI.9,100,,
KF712494|HuGII.4NIHIC1.72012US,520,6991,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Apeldoorn_2007,98,GII.4,100,Apeldoorn_2007,78
KF429782|HuGII.4NIHIC1.32010US,48,7466,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Apeldoorn_2007,100,GII.4,100,Apeldoorn_2007,99
KF429785|HuGII.4NIHIC17.22012U,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,95,Den_Haag_2006b,99,GII.4,100,New_Orleans_2009,84
KF429791|HuGII.4NIHIC1.52011US,67,7444,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Apeldoorn_2007,99,GII.4,100,Apeldoorn_2007,91
KF429763|HuGII.4NIHIC11.12011U,5,5885,5889,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,97
KF429777|HuGII.4NIHIC27.12012U,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,Den_Haag_2006b,100
KF039725|HuGI.1CHA7A0092010USA,5,7600,7604,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
KF039732|HuGI.1CHA5A0102009USA,5,7600,7604,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
KF429760|HuGII.4NIHIC28.42012U,5,7506,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Could not assign,,GII.4,100,Could not assign,
KF429771|HuGII.4NIHIC222012USA,47,7469,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,Could not assign,
JX846925|HuGII.2KL1091978MYS|N,1,7492,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P30 (GII.Pc),100,,,GII.2,100,,
KF039735|HuGI.1CHA3A0072008USA,5,7600,7604,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
KF429765|HuGI.18W1968USA|NA|19,5,7617,7621,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
JX846928|HuGII.4NIHIC92011USA|,37,7497,7489,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
KF429790|HuGII.4NIHIC17.52012U,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,98,Den_Haag_2006b,100,GII.4,100,New_Orleans_2009,87
KF429788|HuGII.4NIHIC202012USA,5,7503,7465,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
KF429762|HuGII.4NIHIC17.72012U,5,7481,7443,Norovirus GII,,NC_029646.1,FALSE,GII.P4,99,Den_Haag_2006b,100,GII.4,100,New_Orleans_2009,79
KC576909|HuGII.4NIHIC4.22011US,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KF712493|HuGII.4NIHIC1.102012U,6,7505,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Apeldoorn_2007,98,GII.4,100,Apeldoorn_2007,91
KF712508|HuGII.4NIHIC28.62012U,196,5179,5375,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Could not assign,,Could not assign,,,
KF712505|HuGII.4NIHIC17.42012U,8,7506,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,97,Den_Haag_2006b,98,GII.4,100,New_Orleans_2009,83
KF712501|HuGII.4NIHIC17.62012U,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,98,Den_Haag_2006b,100,GII.4,100,New_Orleans_2009,84
KF039734|HuGI.1CHA6A0142009USA,5,7600,7604,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
KF039737|HuGI.1CHA6A003_200911,5,7600,7604,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
KF712491|HuGII.4NIHIC17.82013U,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,94,Den_Haag_2006b,100,GII.4,100,New_Orleans_2009,83
KF429766|HuGII.4NIHIC132011USA,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
KF039728|HuGI.1CHA2A0142008USA,5,7600,7604,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
KF429779|HuGII.4NIHIC28.12012U,5,7506,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Could not assign,,GII.4,100,Could not assign,
KF712499|HuGII.4NIHIC1.162012U,5,7503,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Apeldoorn_2007,97,GII.4,100,Apeldoorn_2007,82
KF712497|HuGII.4NIHIC27.22012U,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,Den_Haag_2006b,100
KF429778|HuGII.4NIHIC18.12012U,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
KF429776|HuGII.4NIHIC17.12012U,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,96,Den_Haag_2006b,100,GII.4,100,New_Orleans_2009,79
KF429772|HuGII.4NIHIC27.32012U,7,7504,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Could not assign,,GII.4,100,Could not assign,
KF712500|HuGII.4NIHIC1.142012U,8,7500,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Apeldoorn_2007,100,GII.4,100,Apeldoorn_2007,90
KC597143|HuGII.4NIHIC1.22010US,652,5662,6298,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Apeldoorn_2007,100,GII.4,100,Apeldoorn_2007,100
KF712498|HuGII.4NIHIC17.92013U,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,93,Den_Haag_2006b,100,GII.4,100,New_Orleans_2009,71
KF039733|HuGI.1CHA9A004_201104,5,7600,7604,Norovirus GI,,NC_001959.2,FALSE,GI.P1,100,,,GI.1,100,,
KC577175|HuGII.4Jiangsu22012CH,1,7547,7503,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
KC464499|HuGII.12CGMH412010TW|,5,7514,7500,Norovirus GII,,NC_029646.1,FALSE,GII.P33 (GII.Pg),100,,,GII.12,100,,
KC464497|HuGII.12CGMH392010TW|,5,7505,7503,Norovirus GII,,NC_029646.1,FALSE,GII.P33 (GII.Pg),100,,,GII.12,100,,
KC464505|HuGII.2CGMH472011TW|N,98,7434,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P16,100,,,GII.2,100,,
KC464498|HuGII.12CGMH402010TW|,5,7522,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P33 (GII.Pg),100,,,GII.12,100,,
KC577174|HuGII.4Jiangsu12011CH,1,7548,7504,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
KC464500|HuGII.12CGMH422010TW|,5,7519,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P33 (GII.Pg),100,,,GII.12,100,,
KC576915|HuGII.4KL451978MYS|NA,33,7064,7051,Norovirus GII,,NC_029646.1,FALSE,GII.P39 (GII.P1),99,,,GII.4,100,Could not assign,
KF429784|HuGII.4NIHIC8.42012US,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,97,Could not assign,,GII.4,100,Could not assign,
KC576913|HuGII.4C1101978GUF|NA,2,7528,7489,Norovirus GII,,NC_029646.1,FALSE,Could not assign,,,,GII.4,100,Could not assign,
KC464496|HuGII.12CGMH382010TW|,5,7519,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P33 (GII.Pg),100,,,GII.12,100,,
KF429780|HuGII.4NIHIC8.52012US,64,7450,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,98,Could not assign,,GII.4,100,Could not assign,
JX846927|HuGII.6CHDC40731984US,1,7534,7495,Norovirus GII,,NC_029646.1,FALSE,GII.P7,100,,,GII.6,100,,
JN400611|UNKNOWN_JN400611|NA|2,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,99,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KC409289|HuGII203022009VNM|NA|,3,7511,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,95,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KC175390|HuNorwalk200142009VNM,3,7511,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,98,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
JX459901|HuGII.4CaringbahNSW40,1,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
KC409273|HuGII201962009VNM|NA|,3,7511,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,96,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KC409315|HuGII302112009VNM|NA|,3,7511,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,92,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KC409251|HuGII201462009VNM|NA|,3,7511,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
GU325839|HuGII.4HS1942009US|NA,1,7560,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P4,97,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KC175345|HuNorwalk100622009VNM,3,7511,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,98,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KC409255|HuGII201542009VNM|NA|,3,7511,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,92,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KJ541743|SGU_110421|NA|2011_04,1,7559,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P4,99,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KC175400|HuNorwalk200922009VNM,3,7511,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,97,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
JN400613|UNKNOWN_JN400613|NA|2,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,97,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
JN400622|UNKNOWN_JN400622|NA|2,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
