virus,subtype,virus_and_subtype,gene,adaptive_subs_per_codon_per_year,lower_95ci,upper_95ci,ci,len_in_codons,adaptive_muts_per_year,lower_95ci_mutspergene,upper_95ci_mutspergene,legible_name,virus_family,color,rna_dna,genome_type,enveloped,transmission,cellular_receptor,fusion_protein_class,legible_rate_per_codon,legible_rate_per_gene,standard_gene,legible_gene_name
dengue,denv2_AA,dengue_denv2_AA,Ns5,0.25619059903752633,0.05703370382932896,0.45102069364080843,"[0.05703370382932896, 0.45102069364080843]",900,0.2305715391337737,0.051330333446396065,0.4059186242767276,Dengue 2-AA,Flavivirus,#2cccf2,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,0.26×10⁻³ muts per codon per year,0.23 muts per year,polymerase,Ns5 (Polymerase)
dengue,denv3_III,dengue_denv3_III,Ns5,0.4217036615705357,0.1298102271869876,0.7724827089318471,"[0.1298102271869876, 0.7724827089318471]",900,0.3795332954134821,0.11682920446828884,0.6952344380386625,Dengue 3-III,Flavivirus,#76def7,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,0.42×10⁻³ muts per codon per year,0.38 muts per year,polymerase,Ns5 (Polymerase)
dengue,denv4_II,dengue_denv4_II,Ns5,0.02305461730046924,0.0,0.08714521841216906,"[0.0, 0.08714521841216906]",900,0.020749155570422315,0.0,0.07843069657095215,Dengue 4-II,Flavivirus,#adebfa,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,0.02×10⁻³ muts per codon per year,0.02 muts per year,polymerase,Ns5 (Polymerase)
rotavirusAg1p8,,rotavirusAg1p8,R,0.0,0.0,8.007741678932767e-05,"[0.0, 8.007741678932767e-05]",1089,0.0,0.0,8.720430688357784e-05,Rotavirus A/P[8],Reovirus,#1a3da6,RNA,"Double-stranded RNA, segmented",False,Fecal-Oral,"Sialic acid, others",N/A,0.0×10⁻³ muts per codon per year,0.0 muts per year,polymerase,R (Polymerase)
rotavirusAg1p4,,rotavirusAg1p4,R,0.0,0.0,2.0479503476246363e-05,"[0.0, 2.0479503476246363e-05]",1089,0.0,0.0,2.2302179285632287e-05,Rotavirus A/P[4],Reovirus,#1f49c8,RNA,"Double-stranded RNA, segmented",False,Fecal-Oral,"Sialic acid, others",N/A,0.0×10⁻³ muts per codon per year,0.0 muts per year,polymerase,R (Polymerase)
norovirus,,norovirus,RdRp,0.7128667342705274,0.22337346649454132,1.198086489424992,"[0.22337346649454132, 1.198086489424992]",510,0.3635620344779689,0.11392046791221606,0.6110241096067459,Norovirus GII.4,Caliciviridae,#5700bc,RNA,Positive-sense RNA,False,Fecal-oral,CD300lf (in mice),N/A,0.71×10⁻³ muts per codon per year,0.36 muts per year,polymerase,RdRp (Polymerase)
enterovirusd68,,enterovirusd68,3D,0.4285608371632306,0.01081529495816357,1.057948985886347,"[0.01081529495816357, 1.057948985886347]",457,0.1958523025835964,0.004942589795880752,0.48348268655006055,Enterovirus D68,Picornavirus,#9779bd,RNA,Positive-sense RNA,False,Respiratory,Sialic acid,N/A,0.43×10⁻³ muts per codon per year,0.2 muts per year,polymerase,3D (Polymerase)
hepatitisA_IA,,hepatitisA_IA,3D,0.0,0.0,0.0,"[0.0, 0.0]",489,0.0,0.0,0.0,Hepatitis A-IA,Picornavirus,#b76ca9,RNA,Positive-sense RNA,Quasi-enveloped,"Fecal-oral, blood",HAVCR1,N/A,0.0×10⁻³ muts per codon per year,0.0 muts per year,polymerase,3D (Polymerase)
hepatitisB,A2,hepatitisB_A2,Polymerase,-0.02097511207064753,-0.07088178614652099,0.0,"[-0.07088178614652099, 0.0]",846,-0.01774494481176781,-0.05996599107995677,0.0,Hepatitis B-A2,Hepadnavirus,#ffd8bc,DNA,"Partially-dsDNA, circular",True,Bodily fluids and blood-borne,Sodium Taurocholate Co-transporting Polypeptide (NTCP),Other,-0.02×10⁻³ muts per codon per year,-0.02 muts per year,polymerase,Polymerase (Polymerase)
hepatitisB,D3,hepatitisB_D3,Polymerase,0.14667871068021296,0.017799436687849172,0.3668828200839424,"[0.017799436687849172, 0.3668828200839424]",833,0.1221833659966174,0.014826930760978359,0.30561338912992403,Hepatitis B-D3,Hepadnavirus,#ffe9bc,DNA,"Partially-dsDNA, circular",True,Bodily fluids and blood-borne,Sodium Taurocholate Co-transporting Polypeptide (NTCP),Other,0.15×10⁻³ muts per codon per year,0.12 muts per year,polymerase,Polymerase (Polymerase)
adenovirusB7,,adenovirusB7,Pol,0.0,0.0,0.0,"[0.0, 0.0]",1194,0.0,0.0,0.0,Adenovirus B-7,Adenovirus,#ff6633,DNA,Double-stranded DNA,False,Respiratory,,N/A,0.0×10⁻³ muts per codon per year,0.0 muts per year,polymerase,Pol (Polymerase)
adenovirusB3,,adenovirusB3,Pol,0.06269307716506473,0.0,0.13343452388934318,"[0.0, 0.13343452388934318]",1194,0.07485553413508728,0.0,0.15932082152387578,Adenovirus B-3,Adenovirus,#ff926e,DNA,Double-stranded DNA,False,Respiratory,,N/A,0.06×10⁻³ muts per codon per year,0.07 muts per year,polymerase,Pol (Polymerase)
