virus,subtype,virus_and_subtype,gene,adaptive_subs_per_codon_per_year,lower_95ci,upper_95ci,ci,len_in_codons,adaptive_muts_per_year,lower_95ci_mutspergene,upper_95ci_mutspergene,legible_name,virus_family,color,rna_dna,genome_type,enveloped,transmission,cellular_receptor,fusion_protein_class,legible_rate_per_codon,legible_rate_per_gene,standard_gene,legible_gene_name
oc43,A,oc43_A,RdRp,0.04061669823866547,0.0,0.1327245440144168,"[0.0, 0.1327245440144168]",928,0.03769229596548155,0.0,0.12316837684537878,OC43-A,Coronavirus,#208288,RNA,Positive-sense RNA,True,Respiratory,Sialic acid,Class I,0.04×10⁻³ muts per codon per year,0.04 muts per year,polymerase,RdRp (Polymerase)
229e,,229e,RdRp,0.13008294924374877,0.0,0.2625167558389346,"[0.0, 0.2625167558389346]",927,0.12058689394895511,0.0,0.24335303266269237,229E,Coronavirus,#76C7BE,RNA,Positive-sense RNA,True,Respiratory,Aminopeptidase N,Class I,0.13×10⁻³ muts per codon per year,0.12 muts per year,polymerase,RdRp (Polymerase)
nl63,,nl63,RdRp,0.0,0.0,0.0,"[0.0, 0.0]",927,0.0,0.0,0.0,NL63,Coronavirus,#BBE4D1,RNA,Positive-sense RNA,True,Respiratory,ACE2,Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year,polymerase,RdRp (Polymerase)
dengue,denv1_V,dengue_denv1_V,Ns5,0.107255707257924,0.0,0.2977427200983128,"[0.0, 0.2977427200983128]",899,0.09642288082487367,0.0,0.2676707053683832,Dengue 1-V,Flavivirus,#0db0d6,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,0.11×10⁻³ muts per codon per year,0.1 muts per year,polymerase,Ns5 (Polymerase)
dengue,denv2_AA,dengue_denv2_AA,Ns5,0.25648092942206846,0.059496464835146416,0.5127407808349158,"[0.059496464835146416, 0.5127407808349158]",900,0.2308328364798616,0.053546818351631775,0.46146670275142426,Dengue 2-AA,Flavivirus,#2cccf2,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,0.26×10⁻³ muts per codon per year,0.23 muts per year,polymerase,Ns5 (Polymerase)
dengue,denv3_III,dengue_denv3_III,Ns5,0.18055260625324893,0.06779283188877855,0.36558289926836424,"[0.06779283188877855, 0.36558289926836424]",900,0.16249734562792403,0.06101354869990069,0.32902460934152783,Dengue 3-III,Flavivirus,#76def7,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,0.18×10⁻³ muts per codon per year,0.16 muts per year,polymerase,Ns5 (Polymerase)
dengue,denv4_II,dengue_denv4_II,Ns5,0.0021394750011936837,-0.018062434821976423,0.03953395624928428,"[-0.018062434821976423, 0.03953395624928428]",900,0.0019255275010743153,-0.01625619133977878,0.035580560624355856,Dengue 4-II,Flavivirus,#adebfa,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,0.0×10⁻³ muts per codon per year,0.0 muts per year,polymerase,Ns5 (Polymerase)
rotavirusAg1p8,,rotavirusAg1p8,R,0.0,0.0,7.807600850391664e-05,"[0.0, 7.807600850391664e-05]",1089,0.0,0.0,8.502477326076521e-05,Rotavirus A/P[8],Reovirus,#1a3da6,RNA,"Double-stranded RNA, segmented",False,Fecal-Oral,"Sialic acid, others",N/A,0.0×10⁻³ muts per codon per year,0.0 muts per year,polymerase,R (Polymerase)
rotavirusAg1p4,,rotavirusAg1p4,R,0.0,0.0,2.6267791992246024e-05,"[0.0, 2.6267791992246024e-05]",1089,0.0,0.0,2.860562547955592e-05,Rotavirus A/P[4],Reovirus,#1f49c8,RNA,"Double-stranded RNA, segmented",False,Fecal-Oral,"Sialic acid, others",N/A,0.0×10⁻³ muts per codon per year,0.0 muts per year,polymerase,R (Polymerase)
norovirus,,norovirus,RdRp,0.25732718479512096,0.020724375319142087,0.5687953511285609,"[0.020724375319142087, 0.5687953511285609]",510,0.13123686424551168,0.010569431412762465,0.2900856290755661,Norovirus GII.4,Caliciviridae,#5700bc,RNA,Positive-sense RNA,False,Fecal-oral,CD300lf (in mice),N/A,0.26×10⁻³ muts per codon per year,0.13 muts per year,polymerase,RdRp (Polymerase)
enterovirusd68,,enterovirusd68,3D,0.42964024073788737,0.001221911889609028,0.9608763388881293,"[0.001221911889609028, 0.9608763388881293]",457,0.19634559001721452,0.0005584137335513257,0.4391204868718751,Enterovirus D68,Picornavirus,#9779bd,RNA,Positive-sense RNA,False,Respiratory,Sialic acid,N/A,0.43×10⁻³ muts per codon per year,0.2 muts per year,polymerase,3D (Polymerase)
hepatitisA_IA,,hepatitisA_IA,3D,0.0,0.0,0.0,"[0.0, 0.0]",489,0.0,0.0,0.0,Hepatitis A-IA,Picornavirus,#b76ca9,RNA,Positive-sense RNA,Quasi-enveloped,"Fecal-oral, blood",HAVCR1,N/A,0.0×10⁻³ muts per codon per year,0.0 muts per year,polymerase,3D (Polymerase)
hepatitisB,A2,hepatitisB_A2,Polymerase,-0.02099116251921918,-0.07103369777554487,0.0,"[-0.07103369777554487, 0.0]",846,-0.017758523491259424,-0.060094508318110966,0.0,Hepatitis B-A2,Hepadnavirus,#ffd8bc,DNA,"Partially-dsDNA, circular",True,Bodily fluids and blood-borne,Sodium Taurocholate Co-transporting Polypeptide (NTCP),Other,-0.02×10⁻³ muts per codon per year,-0.02 muts per year,polymerase,Polymerase (Polymerase)
hepatitisB,D3,hepatitisB_D3,Polymerase,-0.003792719969516886,-0.11206948862650426,0.11454383287211847,"[-0.11206948862650426, 0.11454383287211847]",833,-0.003159335734607566,-0.09335388402587805,0.09541501278247469,Hepatitis B-D3,Hepadnavirus,#ffe9bc,DNA,"Partially-dsDNA, circular",True,Bodily fluids and blood-borne,Sodium Taurocholate Co-transporting Polypeptide (NTCP),Other,-0.0×10⁻³ muts per codon per year,-0.0 muts per year,polymerase,Polymerase (Polymerase)
adenovirusB7,,adenovirusB7,Pol,0.0,0.0,0.0,"[0.0, 0.0]",1194,0.0,0.0,0.0,Adenovirus B-7,Adenovirus,#ff6633,DNA,Double-stranded DNA,False,Respiratory,,N/A,0.0×10⁻³ muts per codon per year,0.0 muts per year,polymerase,Pol (Polymerase)
adenovirusB3,,adenovirusB3,Pol,0.061668180032784355,0.01136399577383454,0.1299500839722866,"[0.01136399577383454, 0.1299500839722866]",1194,0.07363180695914452,0.01356861095395844,0.1551604002629102,Adenovirus B-3,Adenovirus,#ff926e,DNA,Double-stranded DNA,False,Respiratory,,N/A,0.06×10⁻³ muts per codon per year,0.07 muts per year,polymerase,Pol (Polymerase)
