strain	strain_name	segment	date	host	country	subtype	virus
KJ939928	VN_365_6/10	NA	2010-06-17	Human	Viet_Nam	B	Human_orthopneumovirus
KJ939931	VN_740_11/09	NA	2009-11-10	Human	Viet_Nam	B	Human_orthopneumovirus
KJ939932	VN_811_8/10	NA	2010-08-11	Human	Viet_Nam	B	Human_orthopneumovirus
JX576757	05_004042	NA	2005-01-14	Human	Netherlands	B	Human_orthopneumovirus
JX576733	12_004620	NA	2012-02-05	Human	Netherlands	B	Human_orthopneumovirus
JX576744	08_046532	NA	2008-12-22	Human	Netherlands	B	Human_orthopneumovirus
JX576761	02_028215	NA	2002-10-21	Human	Netherlands	B	Human_orthopneumovirus
JX576737	10_053640	NA	2010-12-21	Human	Netherlands	B	Human_orthopneumovirus
JX576731	BE/5649/08	NA	2008-11-19	Human	Belgium	B	Human_orthopneumovirus
JX576750	07_008482	NA	2007-03-14	Human	Netherlands	B	Human_orthopneumovirus
JX576759	03_034613	NA	2003-12-05	Human	Netherlands	B	Human_orthopneumovirus
JX576735	12_002874	NA	2012-01-23	Human	Netherlands	B	Human_orthopneumovirus
JX576760	03_000005	NA	2003-01-01	Human	Netherlands	B	Human_orthopneumovirus
JX576738	10_053210	NA	2010-12-12	Human	Netherlands	B	Human_orthopneumovirus
JX576749	07_038176	NA	2007-11-23	Human	Netherlands	B	Human_orthopneumovirus
KF826859	RSVB/Homo_sapiens/ITA/131/2009	NA	2009-03-05	Human	Italy	B	Human_orthopneumovirus
KF530259	RSVB/Homo_sapiens/ZAF/319/2006-XX-XX	NA	2006-XX-XX	Human	South_Africa	B	Human_orthopneumovirus
KJ627342	RSVB/Homo_sapiens/PER/FPP01297/2012	NA	2012-02-23	Human	Peru	B	Human_orthopneumovirus
JX576740	09_053157	NA	2009-12-28	Human	Netherlands	B	Human_orthopneumovirus
JX576762	02_000467	NA	2002-01-08	Human	Netherlands	B	Human_orthopneumovirus
JX576753	06_036027	NA	2006-11-17	Human	Netherlands	B	Human_orthopneumovirus
KF826860	RSVB/Homo_sapiens/ITA/135/2009	NA	2009-04-28	Human	Italy	B	Human_orthopneumovirus
JX576758	05_001965	NA	2005-12-14	Human	Netherlands	B	Human_orthopneumovirus
JX576751	07_000431	NA	2007-01-05	Human	Netherlands	B	Human_orthopneumovirus
JX576739	09_053165	NA	2009-12-28	Human	Netherlands	B	Human_orthopneumovirus
JX576754	05_040399	NA	2005-12-31	Human	Netherlands	B	Human_orthopneumovirus
JX576743	09_052064	NA	2009-12-18	Human	Netherlands	B	Human_orthopneumovirus
JX576741	09_052617	NA	2009-12-22	Human	Netherlands	B	Human_orthopneumovirus
JX576746	08_045604	NA	2008-12-15	Human	Netherlands	B	Human_orthopneumovirus
JX576742	09_052281	NA	2009-12-20	Human	Netherlands	B	Human_orthopneumovirus
JX576730	BE/5150/08	NA	2008-10-24	Human	Belgium	B	Human_orthopneumovirus
JX576736	12_001238	NA	2012-01-07	Human	Netherlands	B	Human_orthopneumovirus
JX576748	07_038682	NA	2007-11-27	Human	Netherlands	B	Human_orthopneumovirus
JX576752	06_039982	NA	2006-12-21	Human	Netherlands	B	Human_orthopneumovirus
JX576734	12_003981	NA	2012-01-29	Human	Netherlands	B	Human_orthopneumovirus
JX576756	05_039452	NA	2005-12-20	Human	Netherlands	B	Human_orthopneumovirus
JX576745	08_045952	NA	2008-12-17	Human	Netherlands	B	Human_orthopneumovirus
JX576747	08_045420	NA	2008-12-12	Human	Netherlands	B	Human_orthopneumovirus
JX576732	BE/7004/06	NA	2006-12-05	Human	Belgium	B	Human_orthopneumovirus
JX576729	BE/5133/08	NA	2008-10-23	Human	Belgium	B	Human_orthopneumovirus
KJ627348	RSVB/Homo_sapiens/PER/FPP00589/2011	NA	2011-06-02	Human	Peru	B	Human_orthopneumovirus
JX576755	05_040058	NA	2005-12-26	Human	Netherlands	B	Human_orthopneumovirus
KF826842	RSVB/Homo_sapiens/ARG/195/2007	NA	2007-05-22	Human	Argentina	B	Human_orthopneumovirus
KF826835	RSVB/Hep2_lab/ITA/127_RSV79/2009	NA	2009-02-03	Human	Italy	B	Human_orthopneumovirus
KF826834	RSVB/Hep2_lab/ITA/126_RSV78/2009	NA	2009-02-02	Human	Italy	B	Human_orthopneumovirus
KF826820	RSVB/Homo_sapiens/ITA/134/2009	NA	2009-03-31	Human	Italy	B	Human_orthopneumovirus
KF826858	RSVB/Homo_sapiens/ITA/130/2009	NA	2009-03-04	Human	Italy	B	Human_orthopneumovirus
KF826845	RSVB/Homo_sapiens/ARG/201/2008	NA	2008-06-10	Human	Argentina	B	Human_orthopneumovirus
KJ627341	RSVB/Homo_sapiens/PER/FPP00386/2011	NA	2011-04-04	Human	Peru	B	Human_orthopneumovirus
KF826857	RSVB/Homo_sapiens/ITA/129/2009	NA	2009-02-18	Human	Italy	B	Human_orthopneumovirus
KJ627340	RSVB/Homo_sapiens/PER/FPP01318/2012	NA	2012-02-28	Human	Peru	B	Human_orthopneumovirus
KJ627330	RSVB/Homo_sapiens/PER/FLA3500/2008	NA	2008-07-15	Human	Peru	B	Human_orthopneumovirus
KJ627277	RSVB/Homo_sapiens/PER/FPP00548/2011	NA	2011-05-19	Human	Peru	B	Human_orthopneumovirus
KF826851	RSVB/Homo_sapiens/USA/629_24/2007-XX-XX	NA	2007-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ627247	RSVB/Homo_sapiens/PER/FPP00592/2011	NA	2011-06-03	Human	Peru	B	Human_orthopneumovirus
KJ627285	RSVB/Homo_sapiens/PER/FPP00604/2011	NA	2011-06-09	Human	Peru	B	Human_orthopneumovirus
KF826822	RSVB/Homo_sapiens/USA/629_5/2007-XX-XX	NA	2007-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ627332	RSVB/Homo_sapiens/PER/FPP00616/2011	NA	2011-06-13	Human	Peru	B	Human_orthopneumovirus
KJ627251	RSVB/Homo_sapiens/PER/FPP01361/2012	NA	2012-03-10	Human	Peru	B	Human_orthopneumovirus
KJ627254	RSVB/Homo_sapiens/PER/FPP00618/2011	NA	2011-06-13	Human	Peru	B	Human_orthopneumovirus
KJ627280	RSVB/Homo_sapiens/PER/FLA0166/2008	NA	2008-02-11	Human	Peru	B	Human_orthopneumovirus
KJ627299	RSVB/Homo_sapiens/PER/FLU9371/2007	NA	2007-11-24	Human	Peru	B	Human_orthopneumovirus
KJ627364	RSVB/Homo_sapiens/PER/FPP00530/2011	NA	2011-05-12	Human	Peru	B	Human_orthopneumovirus
KJ627262	RSVB/Homo_sapiens/PER/FPP01374/2012	NA	2012-03-14	Human	Peru	B	Human_orthopneumovirus
KJ627302	RSVB/Homo_sapiens/PER/FLA1266/2008	NA	2008-04-12	Human	Peru	B	Human_orthopneumovirus
KJ627278	RSVB/Homo_sapiens/PER/FLE8323/2010	NA	2010-03-10	Human	Peru	B	Human_orthopneumovirus
KJ627317	RSVB/Homo_sapiens/PER/FLU5625/2007	NA	2007-01-29	Human	Peru	B	Human_orthopneumovirus
KF826853	RSVB/Homo_sapiens/DEU/114/2008	NA	2008-02-01	Human	Germany	B	Human_orthopneumovirus
KJ627359	RSVB/Homo_sapiens/PER/FPP00418/2011	NA	2011-04-13	Human	Peru	B	Human_orthopneumovirus
KJ627310	RSVB/Homo_sapiens/PER/FLU5540/2007	NA	2007-01-31	Human	Peru	B	Human_orthopneumovirus
KJ723466	RSVB/Homo_sapiens/USA/93I_109A_01/1993-XX-XX	NA	1993-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258731	RSVB/Homo_sapiens/USA/82G_013_01/1982-XX-XX	NA	1982-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ672430	RSVB/Homo_sapiens/USA/LA2_51/2013	NA	2013-01-18	Human	USA	B	Human_orthopneumovirus
KP258713	RSVB/Homo_sapiens/USA/93P_095_01/1993-XX-XX	NA	1993-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258712	RSVB/Homo_sapiens/USA/79E_159_01/1979-XX-XX	NA	1979-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258745	RSVB/Homo_sapiens/USA/92P_337_01/1992-XX-XX	NA	1992-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258724	RSVB/Homo_sapiens/USA/97E_017_01/1997-XX-XX	NA	1997-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258698	RSVB/Homo_sapiens/USA/91P_029_01/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ723460	RSVB/Homo_sapiens/USA/91I_144A_01/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ723480	RSVB/Homo_sapiens/USA/91I_020A_01/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258705	RSVB/Homo_sapiens/USA/95I_100A_01/1995-XX-XX	NA	1995-XX-XX	Human	USA	B	Human_orthopneumovirus
KU950577	RSVB/Homo_sapiens/USA/TH_10615/2013	NA	2013-11-19	Human	USA	B	Human_orthopneumovirus
KP258721	RSVB/Homo_sapiens/USA/81E_119_01/1981-XX-XX	NA	1981-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258702	RSVB/Homo_sapiens/USA/94E_551_01/1994-XX-XX	NA	1994-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316105	RSVB/Homo_sapiens/USA/98I_040A_01_01/1998-XX-XX	NA	1998-XX-XX	Human	USA	B	Human_orthopneumovirus
KU950510	RSVB/Homo_sapiens/USA/TH_10370/2013	NA	2013-09-25	Human	USA	B	Human_orthopneumovirus
KU950619	RSVB/Homo_sapiens/USA/TH_10090/2012	NA	2012-08-27	Human	USA	B	Human_orthopneumovirus
KU950588	RSVB/Homo_sapiens/USA/TH_10502/2014	NA	2014-01-22	Human	USA	B	Human_orthopneumovirus
KU316172	RSVB/Homo_sapiens/USA/97I_076A_01_01/1997-XX-XX	NA	1997-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ723477	RSVB/Homo_sapiens/USA/91I_043A_01/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316147	RSVB/Homo_sapiens/USA/79I_058A_01_01/1979-XX-XX	NA	1979-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ672473	RSVB/Homo_sapiens/USA/LA2_24/2012	NA	2012-12-04	Human	USA	B	Human_orthopneumovirus
KJ939924	VN_174_10/09	NA	2009-10-23	Human	Viet_Nam	B	Human_orthopneumovirus
KJ672476	RSVB/Homo_sapiens/USA/LA2_42/2013	NA	2013-01-04	Human	USA	B	Human_orthopneumovirus
KJ723485	RSVB/Homo_sapiens/USA/84I_250A_01/1984-XX-XX	NA	1984-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316158	RSVB/Homo_sapiens/USA/96I_065A_01_01/1996-XX-XX	NA	1996-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ672425	RSVB/Homo_sapiens/USA/LA2_25/2013	NA	2013-01-28	Human	USA	B	Human_orthopneumovirus
KJ723482	RSVB/Homo_sapiens/USA/89I_132A_01/1989-XX-XX	NA	1989-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258708	RSVB/Homo_sapiens/USA/96E_113_01/1996-XX-XX	NA	1996-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ672481	RSVB/Homo_sapiens/USA/LA2_82/2013	NA	2013-02-26	Human	USA	B	Human_orthopneumovirus
KP258736	RSVB/Homo_sapiens/USA/82G_002_01/1982-XX-XX	NA	1982-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316129	RSVB/Homo_sapiens/USA/87I_067A_01_01/1987-XX-XX	NA	1987-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316116	RSVB/Homo_sapiens/USA/81G_027_01/1977-XX-XX	NA	1977-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316097	RSVB/Homo_sapiens/USA/78G_099_01/1978-XX-XX	NA	1978-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ723463	RSVB/Homo_sapiens/USA/87I_072A_01/1987-XX-XX	NA	1987-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ672438	RSVB/Homo_sapiens/USA/LA2_50/2013	NA	2013-01-21	Human	USA	B	Human_orthopneumovirus
KJ723476	RSVB/Homo_sapiens/USA/87I_028A_01/1987-XX-XX	NA	1987-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258735	RSVB/Homo_sapiens/USA/87E_063_01/1987-XX-XX	NA	1987-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258714	RSVB/Homo_sapiens/USA/86E_435_01/1986-XX-XX	NA	1986-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258742	RSVB/Homo_sapiens/USA/94I_104A_01/1994-XX-XX	NA	1994-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ723479	RSVB/Homo_sapiens/USA/83I_100A_01/1983-XX-XX	NA	1983-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258739	RSVB/Homo_sapiens/USA/96I_097A_01/1996-XX-XX	NA	1996-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ723469	RSVB/Homo_sapiens/USA/87I_042A_01/1987-XX-XX	NA	1987-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258738	RSVB/Homo_sapiens/USA/80E_188_01/1980-XX-XX	NA	1980-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ723470	RSVB/Homo_sapiens/USA/91I_116A_01/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258718	RSVB/Homo_sapiens/USA/83E_198_01/1983-XX-XX	NA	1983-XX-XX	Human	USA	B	Human_orthopneumovirus
KP258720	RSVB/Homo_sapiens/USA/90E_181_01/1990-XX-XX	NA	1990-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ939927	VN_342_5/10	NA	2010-05-27	Human	Viet_Nam	B	Human_orthopneumovirus
KU316181	RSVB/Homo_sapiens/USA/90E_158_01/1990-XX-XX	NA	1990-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316136	RSVB/Homo_sapiens/USA/87E_012_01/1987-XX-XX	NA	1987-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ723484	RSVB/Homo_sapiens/USA/93I_159A_01/1993-XX-XX	NA	1993-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316182	RSVB/Homo_sapiens/USA/90I_148A_01_01/1990-XX-XX	NA	1990-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ939926	VN_338_5/10	NA	2010-05-05	Human	Viet_Nam	B	Human_orthopneumovirus
KF826839	RSVB/Homo_sapiens/ARG/187/2006	NA	2006-07-25	Human	Argentina	B	Human_orthopneumovirus
KU316132	RSVB/Homo_sapiens/USA/91I_110A_01_01/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316156	RSVB/Homo_sapiens/USA/89P_004_01/1989-XX-XX	NA	1989-XX-XX	Human	USA	B	Human_orthopneumovirus
KJ723481	RSVB/Homo_sapiens/USA/85I_063A_01/1985-XX-XX	NA	1985-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316113	RSVB/Homo_sapiens/USA/89I_102A_01_01/1989-XX-XX	NA	1989-XX-XX	Human	USA	B	Human_orthopneumovirus
KM517573	B/GZ/13_730	NA	2013-07-30	Human	China	B	Human_orthopneumovirus
KU316102	RSVB/Homo_sapiens/USA/82E_087_01/1982-XX-XX	NA	1982-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316117	RSVB/Homo_sapiens/USA/95I_016A_01_01/1995-XX-XX	NA	1995-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316101	RSVB/Homo_sapiens/USA/82E_005_01/1982-XX-XX	NA	1982-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316122	RSVB/Homo_sapiens/USA/80E_025_01/1980-XX-XX	NA	1980-XX-XX	Human	USA	B	Human_orthopneumovirus
KM042393	RSVB/Homo_sapiens/USA/LA2_16/2012	NA	2012-11-26	Human	USA	B	Human_orthopneumovirus
KU950663	RSVB/Homo_sapiens/USA/TH_10619/2013	NA	2013-10-08	Human	USA	B	Human_orthopneumovirus
KU316094	RSVB/Homo_sapiens/USA/89I_051A_01_01/1989-XX-XX	NA	1989-XX-XX	Human	USA	B	Human_orthopneumovirus
KU950656	RSVB/Homo_sapiens/USA/TH_10634/2013	NA	2013-09-16	Human	USA	B	Human_orthopneumovirus
KU950488	RSVB/Homo_sapiens/USA/TH_10585/2014	NA	2014-01-25	Human	USA	B	Human_orthopneumovirus
KU316114	RSVB/Homo_sapiens/USA/93I_084A_01_01/1993-XX-XX	NA	1993-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316111	RSVB/Homo_sapiens/USA/92E_135_01/1992-XX-XX	NA	1992-XX-XX	Human	USA	B	Human_orthopneumovirus
KU950553	RSVB/Homo_sapiens/USA/TH_10471/2013	NA	2013-08-12	Human	USA	B	Human_orthopneumovirus
KU950530	RSVB/Homo_sapiens/USA/TH_10584/2014	NA	2014-01-21	Human	USA	B	Human_orthopneumovirus
KU316163	RSVB/Homo_sapiens/USA/93E_049_01/1993-XX-XX	NA	1993-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316144	RSVB/Homo_sapiens/USA/91E_086_01/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316095	RSVB/Homo_sapiens/USA/79I_010A_01_01/1979-XX-XX	NA	1979-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316130	RSVB/Homo_sapiens/USA/85I_031A_01_01/1985-XX-XX	NA	1985-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316173	RSVB/Homo_sapiens/USA/85I_013A_01_01/1984-XX-XX	NA	1984-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316115	RSVB/Homo_sapiens/USA/80I_058A_01_01/1980-XX-XX	NA	1980-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316175	RSVB/Homo_sapiens/USA/85I_049A_01_01/1985-XX-XX	NA	1985-XX-XX	Human	USA	B	Human_orthopneumovirus
KU316127	RSVB/Homo_sapiens/USA/91I_167A_01_01/1991-XX-XX	NA	1991-XX-XX	Human	USA	B	Human_orthopneumovirus
KU950688	RSVB/Homo_sapiens/USA/TH_10382/2013	NA	2013-08-28	Human	USA	B	Human_orthopneumovirus
KU950611	RSVB/Homo_sapiens/USA/TH_10400/2013	NA	2013-10-14	Human	USA	B	Human_orthopneumovirus
KU950503	RSVB/Homo_sapiens/USA/TH_10459/2013	NA	2013-11-15	Human	USA	B	Human_orthopneumovirus
KU950552	RSVB/Homo_sapiens/USA/TH_10535/2013	NA	2013-12-27	Human	USA	B	Human_orthopneumovirus
KU950681	RSVB/Homo_sapiens/USA/TH_10501/2013	NA	2013-12-05	Human	USA	B	Human_orthopneumovirus
KU950516	RSVB/Homo_sapiens/USA/TH_10304/2013	NA	2013-08-15	Human	USA	B	Human_orthopneumovirus
KU950603	RSVB/Homo_sapiens/USA/TH_10557/2013	NA	2013-09-19	Human	USA	B	Human_orthopneumovirus
KU950533	RSVB/Homo_sapiens/USA/TH_10524/2014	NA	2014-01-10	Human	USA	B	Human_orthopneumovirus
KU839632	RSVB/Homo_sapiens/USA/TH_62/2013	NA	2013-12-17	Human	USA	B	Human_orthopneumovirus
KU950659	RSVB/Homo_sapiens/USA/TH_10556/2013	NA	2013-11-20	Human	USA	B	Human_orthopneumovirus
KU950606	RSVB/Homo_sapiens/USA/TH_10490/2013	NA	2013-12-13	Human	USA	B	Human_orthopneumovirus
KU950543	RSVB/Homo_sapiens/USA/TH_10485/2013	NA	2013-10-16	Human	USA	B	Human_orthopneumovirus
KU950599	RSVB/Homo_sapiens/USA/TH_10548/2013	NA	2013-10-29	Human	USA	B	Human_orthopneumovirus
KU950665	RSVB/Homo_sapiens/USA/TH_10542/2013	NA	2013-11-22	Human	USA	B	Human_orthopneumovirus
KU950675	RSVB/Homo_sapiens/USA/TH_10417/2013	NA	2013-06-21	Human	USA	B	Human_orthopneumovirus
KU950489	RSVB/Homo_sapiens/USA/TH_10599/2013	NA	2013-06-24	Human	USA	B	Human_orthopneumovirus
KU316179	RSVB/Homo_sapiens/USA/94I_157A_01_01/1994-XX-XX	NA	1994-XX-XX	Human	USA	B	Human_orthopneumovirus
KU950584	RSVB/Homo_sapiens/USA/TH_10591/2013	NA	2013-10-31	Human	USA	B	Human_orthopneumovirus
KU950630	RSVB/Homo_sapiens/USA/TH_10528/2013	NA	2013-07-05	Human	USA	B	Human_orthopneumovirus
KU950695	RSVB/Homo_sapiens/USA/TH_10396/2013	NA	2013-07-30	Human	USA	B	Human_orthopneumovirus
KU950625	RSVB/Homo_sapiens/USA/TH_10243/2014	NA	2014-01-14	Human	USA	B	Human_orthopneumovirus
KU950467	RSVB/Homo_sapiens/USA/TH_10526/2014	NA	2014-01-15	Human	USA	B	Human_orthopneumovirus
KU950693	RSVB/Homo_sapiens/USA/TH_10290/2012	NA	2012-10-16	Human	USA	B	Human_orthopneumovirus
KU950602	RSVB/Homo_sapiens/USA/TH_10570/2013	NA	2013-11-27	Human	USA	B	Human_orthopneumovirus
KR350475	1856	NA	2014-11-21	Human	Mexico	B	Human_orthopneumovirus
KU950586	RSVB/Homo_sapiens/USA/TH_10181/2013	NA	2013-01-09	Human	USA	B	Human_orthopneumovirus
KU950476	RSVB/Homo_sapiens/USA/TH_10565/2013	NA	2013-10-08	Human	USA	B	Human_orthopneumovirus
KU950462	RSVB/Homo_sapiens/USA/TH_10520/2013	NA	2013-08-26	Human	USA	B	Human_orthopneumovirus
KU950601	RSVB/Homo_sapiens/USA/TH_10499/2013	NA	2013-10-23	Human	USA	B	Human_orthopneumovirus
KU950558	RSVB/Homo_sapiens/USA/TH_10572/2014	NA	2014-01-08	Human	USA	B	Human_orthopneumovirus
KU950525	RSVB/Homo_sapiens/USA/TH_10300/2014	NA	2014-03-20	Human	USA	B	Human_orthopneumovirus
KU950539	RSVB/Homo_sapiens/USA/TH_10576/2013	NA	2013-09-25	Human	USA	B	Human_orthopneumovirus
KU839627	RSVB/Homo_sapiens/USA/TH_33/2014	NA	2014-01-29	Human	USA	B	Human_orthopneumovirus
KU839623	RSVB/Homo_sapiens/USA/TH_23/2013	NA	2013-11-18	Human	USA	B	Human_orthopneumovirus
KU950477	RSVB/Homo_sapiens/USA/TH_10566/2014	NA	2014-01-27	Human	USA	B	Human_orthopneumovirus
KU839635	RSVB/Homo_sapiens/USA/TH_30/2013	NA	2013-12-02	Human	USA	B	Human_orthopneumovirus
KU950562	RSVB/Homo_sapiens/USA/TH_10439/2013	NA	2013-09-23	Human	USA	B	Human_orthopneumovirus
KU950535	RSVB/Homo_sapiens/USA/TH_10616/2013	NA	2013-06-25	Human	USA	B	Human_orthopneumovirus
KU950676	RSVB/Homo_sapiens/USA/TH_10553/2014	NA	2014-01-09	Human	USA	B	Human_orthopneumovirus
KU950669	RSVB/Homo_sapiens/USA/TH_10385/2013	NA	2013-07-09	Human	USA	B	Human_orthopneumovirus
KU950548	RSVB/Homo_sapiens/USA/TH_10530/2014	NA	2014-01-24	Human	USA	B	Human_orthopneumovirus
KU950621	RSVB/Homo_sapiens/USA/TH_10586/2014	NA	2014-02-05	Human	USA	B	Human_orthopneumovirus
KU950635	RSVB/Homo_sapiens/USA/TH_10662/2013	NA	2013-11-18	Human	USA	B	Human_orthopneumovirus
KU950574	RSVB/Homo_sapiens/USA/TH_10670/2005	NA	2005-12-03	Human	USA	B	Human_orthopneumovirus
KU839634	RSVB/Homo_sapiens/USA/TH_37/2013	NA	2013-11-15	Human	USA	B	Human_orthopneumovirus
KU950494	RSVB/Homo_sapiens/USA/TH_10653/2013	NA	2013-12-03	Human	USA	B	Human_orthopneumovirus
KU950461	RSVB/Homo_sapiens/USA/TH_10423/2013	NA	2013-12-17	Human	USA	B	Human_orthopneumovirus
KU316151	RSVB/Homo_sapiens/USA/86E_495_01/1986-XX-XX	NA	1986-XX-XX	Human	USA	B	Human_orthopneumovirus
