strain	strain_name	date	country	host	genotype	subgenotype
OM669619	LQ9	2017-XX-XX	China	Homo sapiens	B	None
OM669620	WH20	2015-XX-XX	China	Homo sapiens	B	None
OM669621	WH24	2015-XX-XX	China	Homo sapiens	B	None
OM669622	WH29	2015-XX-XX	China	Homo sapiens	B	None
OM669623	WH35	2015-XX-XX	China	Homo sapiens	B	None
OM669624	WH38	2015-XX-XX	China	Homo sapiens	B	None
OM669625	WH41	2015-XX-XX	China	Homo sapiens	B	None
OM669626	WH47	2015-XX-XX	China	Homo sapiens	B	None
OM669627	WH9	2015-XX-XX	China	Homo sapiens	B	None
OM669651	5	2015-XX-XX	China	Homo sapiens	B	None
OM669652	46	2015-XX-XX	China	Homo sapiens	B	None
OM669653	452f	2016-XX-XX	China	Homo sapiens	B	None
OM669654	1307	2017-XX-XX	China	Homo sapiens	B	None
OM669655	447	2016-XX-XX	China	Homo sapiens	B	None
OM669656	231	2015-XX-XX	China	Homo sapiens	B	None
OM669657	1416	2017-XX-XX	China	Homo sapiens	B	None
OM669658	359	2015-XX-XX	China	Homo sapiens	B	None
OM669659	237	2015-XX-XX	China	Homo sapiens	B	None
OM669660	1401	2017-XX-XX	China	Homo sapiens	B	None
OM669661	376	2015-XX-XX	China	Homo sapiens	B	None
OM669662	436	2016-XX-XX	China	Homo sapiens	B	None
OM669663	54	2015-XX-XX	China	Homo sapiens	B	None
OM669664	1336	2017-XX-XX	China	Homo sapiens	B	None
OM669665	992f	2016-XX-XX	China	Homo sapiens	B	None
OM669666	141	2015-XX-XX	China	Homo sapiens	B	None
OM669667	215	2015-XX-XX	China	Homo sapiens	B	None
OM669668	897	2016-XX-XX	China	Homo sapiens	B	None
OM669669	166	2015-XX-XX	China	Homo sapiens	B	None
OM669670	168	2015-XX-XX	China	Homo sapiens	B	None
OM669671	364	2015-XX-XX	China	Homo sapiens	B	None
OM669672	365	2015-XX-XX	China	Homo sapiens	B	None
OM669673	1293	2017-XX-XX	China	Homo sapiens	B	None
OM669674	1083	2016-XX-XX	China	Homo sapiens	B	None
OM669675	519	2016-XX-XX	China	Homo sapiens	B	None
OM669676	264	2015-XX-XX	China	Homo sapiens	B	None
OM669677	123	2015-XX-XX	China	Homo sapiens	B	None
OM669678	493	2016-XX-XX	China	Homo sapiens	B	None
OM669679	1198	2016-XX-XX	China	Homo sapiens	B	None
OM669680	11	2015-XX-XX	China	Homo sapiens	B	None
MK534554	None	2021-12-31	China	Homo sapiens	B	None
MK534555	None	2021-12-31	China	Homo sapiens	B	None
MK534556	None	2021-12-31	China	Homo sapiens	B	None
MK534558	None	2021-12-31	China	Homo sapiens	B	None
MK534559	None	2021-12-31	China	Homo sapiens	B	None
MK534561	None	2021-12-31	China	Homo sapiens	B	None
MK534562	None	2021-12-31	China	Homo sapiens	B	None
MK534563	None	2021-12-31	China	Homo sapiens	B	None
MK534564	None	2021-12-31	China	Homo sapiens	B	None
MK534566	None	2021-12-31	China	Homo sapiens	B	None
MK534567	None	2021-12-31	China	Homo sapiens	B	None
MK534568	None	2021-12-31	China	Homo sapiens	B	None
MK534569	None	2021-12-31	China	Homo sapiens	B	None
MK534570	None	2021-12-31	China	Homo sapiens	B	None
MK534571	None	2021-12-31	China	Homo sapiens	B	None
MK534572	None	2021-12-31	China	Homo sapiens	B	None
MK534573	None	2021-12-31	China	Homo sapiens	B	None
MK534575	None	2021-12-31	China	Homo sapiens	B	None
MK534576	None	2021-12-31	China	Homo sapiens	B	None
MK534577	None	2021-12-31	China	Homo sapiens	B	None
MK534578	None	2021-12-31	China	Homo sapiens	B	None
MK534579	None	2021-12-31	China	Homo sapiens	B	None
MK534580	None	2021-12-31	China	Homo sapiens	B	None
MK534581	None	2021-12-31	China	Homo sapiens	B	None
MK534582	None	2021-12-31	China	Homo sapiens	B	None
MK534583	None	2021-12-31	China	Homo sapiens	B	None
MK534584	None	2021-12-31	China	Homo sapiens	B	None
MK534587	None	2021-12-31	China	Homo sapiens	B	None
MK534589	None	2021-12-31	China	Homo sapiens	B	None
MK534590	None	2021-12-31	China	Homo sapiens	B	None
MK534591	None	2021-12-31	China	Homo sapiens	B	None
MK534594	None	2021-12-31	China	Homo sapiens	B	None
MK534598	None	2021-12-31	China	Homo sapiens	B	None
MK534599	None	2021-12-31	China	Homo sapiens	B	None
MK534600	None	2021-12-31	China	Homo sapiens	B	None
MK534601	None	2021-12-31	China	Homo sapiens	B	None
MK534602	None	2021-12-31	China	Homo sapiens	B	None
MK534603	None	2021-12-31	China	Homo sapiens	B	None
MK534606	None	2021-12-31	China	Homo sapiens	B	None
MK534607	None	2021-12-31	China	Homo sapiens	B	None
MK534608	None	2021-12-31	China	Homo sapiens	B	None
MK534609	None	2021-12-31	China	Homo sapiens	B	None
MK534610	None	2021-12-31	China	Homo sapiens	B	None
MK534611	None	2021-12-31	China	Homo sapiens	B	None
MK534612	None	2021-12-31	China	Homo sapiens	B	None
MK534613	None	2021-12-31	China	Homo sapiens	B	None
MK534614	None	2021-12-31	China	Homo sapiens	B	None
MK534615	None	2021-12-31	China	Homo sapiens	B	None
MK534616	None	2021-12-31	China	Homo sapiens	B	None
MK534617	None	2021-12-31	China	Homo sapiens	B	None
MK534618	None	2021-12-31	China	Homo sapiens	B	None
MK534620	None	2021-12-31	China	Homo sapiens	B	None
MK534621	None	2021-12-31	China	Homo sapiens	B	None
MK534623	None	2021-12-31	China	Homo sapiens	B	None
MK534625	None	2021-12-31	China	Homo sapiens	B	None
MK534626	None	2021-12-31	China	Homo sapiens	B	None
MK534627	None	2021-12-31	China	Homo sapiens	B	None
MK534629	None	2021-12-31	China	Homo sapiens	B	None
MK534630	None	2021-12-31	China	Homo sapiens	B	None
MK534632	None	2021-12-31	China	Homo sapiens	B	None
MK534633	None	2021-12-31	China	Homo sapiens	B	None
MK534634	None	2021-12-31	China	Homo sapiens	B	None
MK534635	None	2021-12-31	China	Homo sapiens	B	None
MK534637	None	2021-12-31	China	Homo sapiens	B	None
MK534639	None	2021-12-31	China	Homo sapiens	B	None
MK534641	None	2021-12-31	China	Homo sapiens	B	None
MK534646	None	2021-12-31	China	Homo sapiens	B	None
MK534648	None	2021-12-31	China	Homo sapiens	B	None
MK534651	None	2021-12-31	China	Homo sapiens	B	None
MK534653	None	2021-12-31	China	Homo sapiens	B	None
MK534654	None	2021-12-31	China	Homo sapiens	B	None
MK534655	None	2021-12-31	China	Homo sapiens	B	None
MK534658	None	2021-12-31	China	Homo sapiens	B	None
MK534659	None	2021-12-31	China	Homo sapiens	B	None
MK534660	None	2021-12-31	China	Homo sapiens	B	None
MK534661	None	2021-12-31	China	Homo sapiens	B	None
MK534662	None	2021-12-31	China	Homo sapiens	B	None
MK534664	None	2021-12-31	China	Homo sapiens	B	None
MK534665	None	2021-12-31	China	Homo sapiens	B	None
MK534668	None	2021-12-31	China	Homo sapiens	B	None
MK534670	None	2021-12-31	China	Homo sapiens	B	None
MK534672	None	2021-12-31	China	Homo sapiens	B	None
MK534673	None	2021-12-31	China	Homo sapiens	B	None
MK534675	None	2021-12-31	China	Homo sapiens	B	None
MK534676	None	2021-12-31	China	Homo sapiens	B	None
MK534680	None	2021-12-31	China	Homo sapiens	B	None
MK534681	None	2021-12-31	China	Homo sapiens	B	None
MK534683	None	2021-12-31	China	Homo sapiens	B	None
MK534684	None	2021-12-31	China	Homo sapiens	B	None
MK534685	None	2021-12-31	China	Homo sapiens	B	None
MK534686	None	2021-12-31	China	Homo sapiens	B	None
MK534687	None	2021-12-31	China	Homo sapiens	B	None
MK534688	None	2021-12-31	China	Homo sapiens	B	None
MK534689	None	2021-12-31	China	Homo sapiens	B	None
MK534690	None	2021-12-31	China	Homo sapiens	B	None
MK534691	None	2021-12-31	China	Homo sapiens	B	None
MK534692	None	2021-12-31	China	Homo sapiens	B	None
MK534693	None	2021-12-31	China	Homo sapiens	B	None
MK534694	None	2021-12-31	China	Homo sapiens	B	None
MK534695	None	2021-12-31	China	Homo sapiens	B	None
MK534696	None	2021-12-31	China	Homo sapiens	B	None
MK534697	None	2021-12-31	China	Homo sapiens	B	None
MK534698	None	2021-12-31	China	Homo sapiens	B	None
MK534699	None	2021-12-31	China	Homo sapiens	B	None
MK534700	None	2021-12-31	China	Homo sapiens	B	None
MK534701	None	2021-12-31	China	Homo sapiens	B	None
MK534702	None	2021-12-31	China	Homo sapiens	B	None
MK534703	None	2021-12-31	China	Homo sapiens	B	None
MK534704	None	2021-12-31	China	Homo sapiens	B	None
MK534705	None	2021-12-31	China	Homo sapiens	B	None
MK534706	None	2021-12-31	China	Homo sapiens	B	None
MK534707	None	2021-12-31	China	Homo sapiens	B	None
MK534708	None	2021-12-31	China	Homo sapiens	B	None
MK534709	None	2021-12-31	China	Homo sapiens	B	None
MK534710	None	2021-12-31	China	Homo sapiens	B	None
MK534711	None	2021-12-31	China	Homo sapiens	B	None
MK534712	None	2021-12-31	China	Homo sapiens	B	None
MK534713	None	2021-12-31	China	Homo sapiens	B	None
MK534714	None	2021-12-31	China	Homo sapiens	B	None
MK534715	None	2021-12-31	China	Homo sapiens	B	None
MK534716	None	2021-12-31	China	Homo sapiens	B	None
MK534717	None	2021-12-31	China	Homo sapiens	B	None
MK534718	None	2021-12-31	China	Homo sapiens	B	None
MK534721	None	2021-12-31	China	Homo sapiens	B	None
MK534722	None	2021-12-31	China	Homo sapiens	B	None
MK534723	None	2021-12-31	China	Homo sapiens	B	None
MK534724	None	2021-12-31	China	Homo sapiens	B	None
MK534725	None	2021-12-31	China	Homo sapiens	B	None
MK534726	None	2021-12-31	China	Homo sapiens	B	None
MK534727	None	2021-12-31	China	Homo sapiens	B	None
MK534728	None	2021-12-31	China	Homo sapiens	B	None
MK534729	None	2021-12-31	China	Homo sapiens	B	None
MK534730	None	2021-12-31	China	Homo sapiens	B	None
MK534731	None	2021-12-31	China	Homo sapiens	B	None
MK534732	None	2021-12-31	China	Homo sapiens	B	None
MK534733	None	2021-12-31	China	Homo sapiens	B	None
MK534734	None	2021-12-31	China	Homo sapiens	B	None
MK534735	None	2021-12-31	China	Homo sapiens	B	None
MK534736	None	2021-12-31	China	Homo sapiens	B	None
MZ439517	None	2007-XX-XX	China	Homo sapiens	B	B4
MZ439518	None	2007-XX-XX	China	Homo sapiens	B	B4
MZ439519	None	2007-XX-XX	China	Homo sapiens	B	B4
MZ439520	None	2007-XX-XX	China	Homo sapiens	B	B4
MZ439521	None	2007-XX-XX	China	Homo sapiens	B	B4
MZ439522	None	2013-XX-XX	China	Homo sapiens	B	B4
MZ439523	None	2013-XX-XX	China	Homo sapiens	B	B4
MZ439524	None	2013-XX-XX	China	Homo sapiens	B	B4
MZ439525	None	2013-XX-XX	China	Homo sapiens	B	B4
MZ439526	None	2013-XX-XX	China	Homo sapiens	B	B4
MZ439527	None	2013-XX-XX	China	Homo sapiens	B	B4
MZ439528	None	2013-XX-XX	China	Homo sapiens	B	B4
MZ439529	None	2013-XX-XX	China	Homo sapiens	B	B4
MZ439530	None	2013-XX-XX	China	Homo sapiens	B	B4
MZ439531	None	2013-XX-XX	China	Homo sapiens	B	B4
MZ439532	None	2013-XX-XX	China	Homo sapiens	B	B4
MZ439533	None	2013-XX-XX	China	Homo sapiens	B	B4
MZ439534	None	2013-XX-XX	China	Homo sapiens	B	B4
MZ439535	None	2013-XX-XX	China	Homo sapiens	B	B4
MZ439536	None	2013-XX-XX	China	Homo sapiens	B	B4
MZ439537	None	2013-XX-XX	China	Homo sapiens	B	B4
MZ439538	None	2019-XX-XX	China	Homo sapiens	B	B4
MZ439539	None	2019-XX-XX	China	Homo sapiens	B	B4
MZ439540	None	2019-XX-XX	China	Homo sapiens	B	B4
MZ439541	None	2019-XX-XX	China	Homo sapiens	B	B4
MZ439542	None	2019-XX-XX	China	Homo sapiens	B	B4
MZ439543	None	2019-XX-XX	China	Homo sapiens	B	B4
MZ439544	None	2019-XX-XX	China	Homo sapiens	B	B4
MZ439545	None	2019-XX-XX	China	Homo sapiens	B	B4
MZ439546	None	2019-XX-XX	China	Homo sapiens	B	B4
MZ439547	None	2019-XX-XX	China	Homo sapiens	B	B4
MZ439548	None	2019-XX-XX	China	Homo sapiens	B	B4
MZ439549	None	2019-XX-XX	China	Homo sapiens	B	B4
MZ439550	None	2019-XX-XX	China	Homo sapiens	B	B4
MZ439551	None	2019-XX-XX	China	Homo sapiens	B	B4
MT757436	None	2019-11-04	USA	Homo sapiens	B	None
MT757437	None	2019-11-04	USA	Homo sapiens	B	None
MT757438	None	2019-11-04	USA	Homo sapiens	B	None
MT757439	None	2019-11-04	USA	Homo sapiens	B	None
MT757440	None	2019-11-04	USA	Homo sapiens	B	None
MT757441	None	2019-11-04	USA	Homo sapiens	B	None
MT757442	None	2019-11-04	USA	Homo sapiens	B	None
MT757443	None	2019-11-04	USA	Homo sapiens	B	None
MT757444	None	2019-11-04	USA	Homo sapiens	B	None
MT757445	None	2019-11-04	USA	Homo sapiens	B	None
MT757446	None	2019-11-04	USA	Homo sapiens	B	None
MT757447	None	2019-11-04	USA	Homo sapiens	B	None
MT757448	None	2019-11-04	USA	Homo sapiens	B	None
MT757449	None	2019-11-04	USA	Homo sapiens	B	None
MT757450	None	2019-11-04	USA	Homo sapiens	B	None
MT757451	None	2019-11-04	USA	Homo sapiens	B	None
MT757452	None	2019-11-04	USA	Homo sapiens	B	None
MT757453	None	2019-11-04	USA	Homo sapiens	B	None
MT757454	None	2019-11-04	USA	Homo sapiens	B	None
MT757455	None	2019-11-04	USA	Homo sapiens	B	None
MT757456	None	2019-11-04	USA	Homo sapiens	B	None
MT757457	None	2019-11-04	USA	Homo sapiens	B	None
LC603637	None	2020-10-16	Japan:Gunma	Homo sapiens	B	B1
LC603638	None	2020-12-18	Japan:Gunma	Homo sapiens	B	B1
MT426859	None	2012-02-XX	USA	Homo sapiens	B	None
MT426860	None	2012-02-XX	USA	Homo sapiens	B	None
MT426861	None	2012-02-XX	USA	Homo sapiens	B	None
MT426862	None	2012-02-XX	USA	Homo sapiens	B	None
MT426863	None	2012-02-XX	USA	Homo sapiens	B	None
MT426864	None	2012-02-XX	USA	Homo sapiens	B	None
MT426865	None	2012-02-XX	USA	Homo sapiens	B	None
MT426866	None	2012-02-XX	USA	Homo sapiens	B	None
MT426867	None	2012-02-XX	USA	Homo sapiens	B	None
MT426868	None	2012-02-XX	USA	Homo sapiens	B	None
MT426869	None	2012-02-XX	USA	Homo sapiens	B	None
MT426870	None	2012-02-XX	USA	Homo sapiens	B	None
MT426871	None	2012-02-XX	USA	Homo sapiens	B	None
MT426872	None	2012-02-XX	USA	Homo sapiens	B	None
MT426873	None	2012-02-XX	USA	Homo sapiens	B	None
MT426874	None	2012-02-XX	USA	Homo sapiens	B	None
MT426875	None	2012-02-XX	USA	Homo sapiens	B	None
MT426876	None	2012-02-XX	USA	Homo sapiens	B	None
MT426877	None	2012-02-XX	USA	Homo sapiens	B	None
MT426878	None	2012-02-XX	USA	Homo sapiens	B	None
MT426879	None	2012-02-XX	USA	Homo sapiens	B	None
MT426880	None	2012-02-XX	USA	Homo sapiens	B	None
MT426881	None	2012-02-XX	USA	Homo sapiens	B	None
MT426882	None	2012-02-XX	USA	Homo sapiens	B	None
MT426883	None	2012-02-XX	USA	Homo sapiens	B	None
MT426884	None	2012-02-XX	USA	Homo sapiens	B	None
MT426885	None	2012-02-XX	USA	Homo sapiens	B	None
MT426886	None	2012-02-XX	USA	Homo sapiens	B	None
MT426887	None	2012-02-XX	USA	Homo sapiens	B	None
MT426888	None	2012-02-XX	USA	Homo sapiens	B	None
MT426889	None	2012-02-XX	USA	Homo sapiens	B	None
MT426890	None	2012-02-XX	USA	Homo sapiens	B	None
MT426891	None	2012-02-XX	USA	Homo sapiens	B	None
MT426892	None	2012-02-XX	USA	Homo sapiens	B	None
MT426893	None	2012-02-XX	USA	Homo sapiens	B	None
MT426894	None	2012-02-XX	USA	Homo sapiens	B	None
MT426895	None	2012-02-XX	USA	Homo sapiens	B	None
MT426896	None	2012-02-XX	USA	Homo sapiens	B	None
MT426897	None	2012-02-XX	USA	Homo sapiens	B	None
MT426898	None	2012-02-XX	USA	Homo sapiens	B	None
MT426899	None	2012-02-XX	USA	Homo sapiens	B	None
MT426900	None	2012-02-XX	USA	Homo sapiens	B	None
MT426901	None	2012-02-XX	USA	Homo sapiens	B	None
MT426902	None	2012-02-XX	USA	Homo sapiens	B	None
MT426903	None	2012-02-XX	USA	Homo sapiens	B	None
MT426904	None	2012-02-XX	USA	Homo sapiens	B	None
MT426905	None	2012-02-XX	USA	Homo sapiens	B	None
MT426906	None	2012-02-XX	USA	Homo sapiens	B	None
MT426907	None	2012-02-XX	USA	Homo sapiens	B	None
MT426908	None	2012-02-XX	USA	Homo sapiens	B	None
MT426909	None	2012-02-XX	USA	Homo sapiens	B	None
MT426910	None	2012-02-XX	USA	Homo sapiens	B	None
MT426911	None	2012-02-XX	USA	Homo sapiens	B	None
MT426912	None	2012-02-XX	USA	Homo sapiens	B	None
MT426913	None	2012-02-XX	USA	Homo sapiens	B	None
MT426914	None	2012-02-XX	USA	Homo sapiens	B	None
MT426915	None	2012-02-XX	USA	Homo sapiens	B	None
MT426916	None	2012-02-XX	USA	Homo sapiens	B	None
MT426917	None	2012-02-XX	USA	Homo sapiens	B	None
MT426918	None	2012-02-XX	USA	Homo sapiens	B	None
MT426919	None	2012-02-XX	USA	Homo sapiens	B	None
MT426920	None	2012-02-XX	USA	Homo sapiens	B	None
MT426921	None	2012-02-XX	USA	Homo sapiens	B	None
MT426922	None	2012-02-XX	USA	Homo sapiens	B	None
MT426923	None	2012-02-XX	USA	Homo sapiens	B	None
MT426924	None	2012-02-XX	USA	Homo sapiens	B	None
MT426925	None	2012-02-XX	USA	Homo sapiens	B	None
MT426926	None	2012-02-XX	USA	Homo sapiens	B	None
MT426927	None	2012-02-XX	USA	Homo sapiens	B	None
MT426928	None	2012-02-XX	USA	Homo sapiens	B	None
MT426929	None	2012-02-XX	USA	Homo sapiens	B	None
MT426930	None	2012-02-XX	USA	Homo sapiens	B	None
MT426931	None	2012-02-XX	USA	Homo sapiens	B	None
MT426932	None	2012-02-XX	USA	Homo sapiens	B	None
MT426933	None	2012-02-XX	USA	Homo sapiens	B	None
MT426934	None	2012-02-XX	USA	Homo sapiens	B	None
MT426935	None	2012-02-XX	USA	Homo sapiens	B	None
MT426936	None	2012-02-XX	USA	Homo sapiens	B	None
MT426937	None	2012-02-XX	USA	Homo sapiens	B	None
MT426938	None	2012-02-XX	USA	Homo sapiens	B	None
MT426939	None	2012-02-XX	USA	Homo sapiens	B	None
MT426940	None	2012-02-XX	USA	Homo sapiens	B	None
MT426941	None	2012-02-XX	USA	Homo sapiens	B	None
MT426942	None	2012-02-XX	USA	Homo sapiens	B	None
MT426943	None	2012-02-XX	USA	Homo sapiens	B	None
MT426944	None	2012-02-XX	USA	Homo sapiens	B	None
MT426945	None	2012-02-XX	USA	Homo sapiens	B	None
MT426946	None	2012-02-XX	USA	Homo sapiens	B	None
MT426947	None	2012-02-XX	USA	Homo sapiens	B	None
MT426948	None	2012-02-XX	USA	Homo sapiens	B	None
MT426949	None	2012-02-XX	USA	Homo sapiens	B	None
MT426950	None	2012-02-XX	USA	Homo sapiens	B	None
MT426951	None	2012-02-XX	USA	Homo sapiens	B	None
MT426952	None	2012-02-XX	USA	Homo sapiens	B	None
MT426953	None	2012-02-XX	USA	Homo sapiens	B	None
MT426954	None	2012-02-XX	USA	Homo sapiens	B	None
MT426955	None	2012-02-XX	USA	Homo sapiens	B	None
MT426956	None	2012-02-XX	USA	Homo sapiens	B	None
MT426957	None	2012-02-XX	USA	Homo sapiens	B	None
MT426958	None	2012-02-XX	USA	Homo sapiens	B	None
MT426959	None	2012-02-XX	USA	Homo sapiens	B	None
MT426960	None	2012-02-XX	USA	Homo sapiens	B	None
MT426961	None	2012-02-XX	USA	Homo sapiens	B	None
MT426962	None	2012-02-XX	USA	Homo sapiens	B	None
MT426963	None	2012-02-XX	USA	Homo sapiens	B	None
MT426964	None	2012-02-XX	USA	Homo sapiens	B	None
MT426965	None	2012-02-XX	USA	Homo sapiens	B	None
MT426966	None	2012-02-XX	USA	Homo sapiens	B	None
MT426967	None	2012-02-XX	USA	Homo sapiens	B	None
MT426968	None	2012-02-XX	USA	Homo sapiens	B	None
MT426969	None	2012-02-XX	USA	Homo sapiens	B	None
MT426970	None	2012-02-XX	USA	Homo sapiens	B	None
MT426971	None	2012-02-XX	USA	Homo sapiens	B	None
MT426972	None	2012-02-XX	USA	Homo sapiens	B	None
MT426973	None	2012-02-XX	USA	Homo sapiens	B	None
MT426974	None	2012-02-XX	USA	Homo sapiens	B	None
MT426975	None	2012-02-XX	USA	Homo sapiens	B	None
MT426976	None	2012-02-XX	USA	Homo sapiens	B	None
MT426977	None	2012-02-XX	USA	Homo sapiens	B	None
MT426978	None	2012-02-XX	USA	Homo sapiens	B	None
MT426979	None	2012-02-XX	USA	Homo sapiens	B	None
MT426980	None	2012-02-XX	USA	Homo sapiens	B	None
MT426981	None	2012-02-XX	USA	Homo sapiens	B	None
MT426982	None	2012-02-XX	USA	Homo sapiens	B	None
MT426983	None	2012-02-XX	USA	Homo sapiens	B	None
MT426984	None	2012-02-XX	USA	Homo sapiens	B	None
MT426985	None	2012-02-XX	USA	Homo sapiens	B	None
MT426986	None	2012-02-XX	USA	Homo sapiens	B	None
MT426987	None	2012-02-XX	USA	Homo sapiens	B	None
MT426988	None	2012-02-XX	USA	Homo sapiens	B	None
MT426989	None	2012-02-XX	USA	Homo sapiens	B	None
MT426990	None	2012-02-XX	USA	Homo sapiens	B	None
MT426991	None	2012-02-XX	USA	Homo sapiens	B	None
MT426992	None	2012-02-XX	USA	Homo sapiens	B	None
MT426993	None	2012-02-XX	USA	Homo sapiens	B	None
MT426994	None	2012-02-XX	USA	Homo sapiens	B	None
