strain	strain_name	date	country	host	genotype	subgenotype
OM669634	C688	2014-XX-XX	China	Homo sapiens	C	None
OM669635	C809	2014-XX-XX	China	Homo sapiens	C	None
OM669636	C810	2014-XX-XX	China	Homo sapiens	C	None
OM669637	C817	2014-XX-XX	China	Homo sapiens	C	None
OM669638	C825	2014-XX-XX	China	Homo sapiens	C	None
OM669639	C929	2014-XX-XX	China	Homo sapiens	C	None
OM669640	C952	2014-XX-XX	China	Homo sapiens	C	None
OM669641	WH36	2015-XX-XX	China	Homo sapiens	C	None
OM669642	Z124	2017-XX-XX	China	Homo sapiens	C	None
OM669643	Z139	2017-XX-XX	China	Homo sapiens	C	None
OM669644	Z154	2017-XX-XX	China	Homo sapiens	C	None
OM669645	Z156	2017-XX-XX	China	Homo sapiens	C	None
OM669646	C370	2014-XX-XX	China	Homo sapiens	C	None
OM669647	C1466	2014-XX-XX	China	Homo sapiens	C	None
OM669648	H9	2017-XX-XX	China	Homo sapiens	C	None
OM669649	H29	2017-XX-XX	China	Homo sapiens	C	None
OM669650	H44	2017-XX-XX	China	Homo sapiens	C	None
OM669681	21	2015-XX-XX	China	Homo sapiens	C	None
OM669682	43	2015-XX-XX	China	Homo sapiens	C	None
OM669683	113	2015-XX-XX	China	Homo sapiens	C	None
OM669684	81	2015-XX-XX	China	Homo sapiens	C	None
OM669685	61	2015-XX-XX	China	Homo sapiens	C	None
OM669686	105	2015-XX-XX	China	Homo sapiens	C	None
OM669687	218	2015-XX-XX	China	Homo sapiens	C	None
OM669688	1325	2017-XX-XX	China	Homo sapiens	C	None
OM669689	50	2015-XX-XX	China	Homo sapiens	C	None
OM669690	94	2015-XX-XX	China	Homo sapiens	C	None
OM669691	155	2015-XX-XX	China	Homo sapiens	C	None
OM669692	272	2015-XX-XX	China	Homo sapiens	C	None
OM669693	170	2015-XX-XX	China	Homo sapiens	C	None
OM669694	408	2015-XX-XX	China	Homo sapiens	C	None
OM669695	498	2016-XX-XX	China	Homo sapiens	C	None
OM669696	716	2016-XX-XX	China	Homo sapiens	C	None
OM669697	1420	2017-XX-XX	China	Homo sapiens	C	None
MK534557	None	2021-12-31	China	Homo sapiens	C	None
MK534560	None	2021-12-31	China	Homo sapiens	C	None
MK534574	None	2021-12-31	China	Homo sapiens	C	None
MK534585	None	2021-12-31	China	Homo sapiens	C	None
MK534586	None	2021-12-31	China	Homo sapiens	C	None
MK534588	None	2021-12-31	China	Homo sapiens	C	None
MK534592	None	2021-12-31	China	Homo sapiens	C	None
MK534593	None	2021-12-31	China	Homo sapiens	C	None
MK534595	None	2021-12-31	China	Homo sapiens	C	None
MK534596	None	2021-12-31	China	Homo sapiens	C	None
MK534597	None	2021-12-31	China	Homo sapiens	C	None
MK534604	None	2021-12-31	China	Homo sapiens	C	None
MK534605	None	2021-12-31	China	Homo sapiens	C	None
MK534619	None	2021-12-31	China	Homo sapiens	C	None
MK534622	None	2021-12-31	China	Homo sapiens	C	None
MK534624	None	2021-12-31	China	Homo sapiens	C	None
MK534628	None	2021-12-31	China	Homo sapiens	C	None
MK534631	None	2021-12-31	China	Homo sapiens	C	None
MK534636	None	2021-12-31	China	Homo sapiens	C	None
MK534638	None	2021-12-31	China	Homo sapiens	C	None
MK534640	None	2021-12-31	China	Homo sapiens	C	None
MK534642	None	2021-12-31	China	Homo sapiens	C	None
MK534643	None	2021-12-31	China	Homo sapiens	C	None
MK534644	None	2021-12-31	China	Homo sapiens	C	None
MK534645	None	2021-12-31	China	Homo sapiens	C	None
MK534647	None	2021-12-31	China	Homo sapiens	C	None
MK534649	None	2021-12-31	China	Homo sapiens	C	None
MK534650	None	2021-12-31	China	Homo sapiens	C	None
MK534652	None	2021-12-31	China	Homo sapiens	C	None
MK534656	None	2021-12-31	China	Homo sapiens	C	None
MK534657	None	2021-12-31	China	Homo sapiens	C	None
MK534666	None	2021-12-31	China	Homo sapiens	C	None
MK534667	None	2021-12-31	China	Homo sapiens	C	None
MK534671	None	2021-12-31	China	Homo sapiens	C	None
MK534674	None	2021-12-31	China	Homo sapiens	C	None
MK534677	None	2021-12-31	China	Homo sapiens	C	None
MK534678	None	2021-12-31	China	Homo sapiens	C	None
MK534679	None	2021-12-31	China	Homo sapiens	C	None
MK534682	None	2021-12-31	China	Homo sapiens	C	None
MK534719	None	2021-12-31	China	Homo sapiens	C	None
MK534720	None	2021-12-31	China	Homo sapiens	C	None
MZ439270	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439271	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439272	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439273	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439274	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439275	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439276	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439277	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439278	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439279	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439280	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439281	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439282	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439283	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439284	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439285	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439286	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439287	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439288	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439289	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439290	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439291	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439292	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439293	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439294	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439295	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439296	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439297	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439298	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439299	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439300	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439301	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439302	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439303	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439304	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439305	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439306	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439307	None	2004-XX-XX	China	Homo sapiens	C	C5
MZ439308	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439309	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439310	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439311	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439312	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439313	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439314	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439315	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439316	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439317	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439318	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439319	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439320	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439321	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439322	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439323	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439324	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439325	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439326	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439327	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439328	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439329	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439330	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439331	None	2013-XX-XX	China	Homo sapiens	C	C5
MZ439332	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439333	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439334	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439335	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439336	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439337	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439338	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439339	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439340	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439341	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439342	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439343	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439344	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439345	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439346	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439347	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439348	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439349	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439350	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439351	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439352	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439353	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439354	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439355	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439356	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439357	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439358	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439359	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439360	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439361	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439362	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439363	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439364	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439365	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439366	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439367	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439368	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439369	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439370	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439371	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439372	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439373	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439374	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439375	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439376	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439377	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439378	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439379	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439380	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439381	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439382	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439383	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439384	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439385	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439386	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439387	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439388	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439389	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439390	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439391	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439392	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439393	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439394	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439395	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439396	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439397	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439398	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439399	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439400	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439401	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439402	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439403	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439404	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439405	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439406	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439407	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439408	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439409	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439410	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439411	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439412	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439413	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439414	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439415	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439416	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439417	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439418	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439419	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439420	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439421	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439422	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439423	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439424	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439425	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439426	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439427	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439428	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439429	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439430	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439431	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439432	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439433	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439434	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439435	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439436	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439437	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439438	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439439	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439440	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439441	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439442	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439443	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439444	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439445	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439446	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439447	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439448	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439449	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439450	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439451	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439452	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439453	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439454	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439455	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439456	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439457	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439458	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439459	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439460	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439461	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439462	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439463	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439464	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439465	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439466	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439467	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439468	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439469	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439470	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439471	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439472	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439473	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439474	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439475	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439476	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439477	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439478	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439479	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439480	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439481	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439482	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439483	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439484	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439485	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439486	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439487	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439488	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439489	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439490	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439491	None	2013-XX-XX	China	Homo sapiens	C	C2
MZ439492	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439493	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439494	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439495	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439496	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439497	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439498	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439499	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439500	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439501	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439502	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439503	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439504	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439505	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439506	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439507	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439508	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439509	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439510	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439511	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439512	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439513	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439514	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439515	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439516	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439552	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439553	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439554	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439555	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439556	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439557	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439558	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439559	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439560	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439561	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439562	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439563	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439564	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439565	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439566	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439567	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439568	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439569	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439570	None	2004-XX-XX	China	Homo sapiens	C	C2
MZ439571	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439572	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439573	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439574	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439575	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439576	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439577	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439578	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439579	None	2007-XX-XX	China	Homo sapiens	C	C2
MZ439580	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439581	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439582	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439583	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439584	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439585	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439586	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439587	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439588	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439589	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439590	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439591	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439592	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439593	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439594	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439595	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439596	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439597	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439598	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439599	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439600	None	2019-XX-XX	China	Homo sapiens	C	C2
MZ439601	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439602	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439603	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439604	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439605	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439606	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439607	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439608	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439609	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439610	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439611	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439612	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439613	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439614	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439615	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439616	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439617	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439618	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439619	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439620	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439621	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439622	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439623	None	2007-XX-XX	China	Homo sapiens	C	C5
MZ439624	None	2019-XX-XX	China	Homo sapiens	C	C5
MZ439625	None	2019-XX-XX	China	Homo sapiens	C	C5
MZ439626	None	2019-XX-XX	China	Homo sapiens	C	C5
MZ439627	None	2019-XX-XX	China	Homo sapiens	C	C5
MZ439628	None	2019-XX-XX	China	Homo sapiens	C	C5
MZ439629	None	2019-XX-XX	China	Homo sapiens	C	C5
MZ439630	None	2019-XX-XX	China	Homo sapiens	C	C5
MZ439631	None	2019-XX-XX	China	Homo sapiens	C	C5
