Accession	Virus	Strain	Author	Publication_Title	Journal	Database
HM582106	Dengue (denv2)	D2/AS/UH85/1972	Steel et al	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	Genbank
HM582105	Dengue (denv2)	D2/AS/UH79/1972	Steel et al	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	Genbank
HM582104	Dengue (denv2)	D2/AS/UH77/1972	Steel et al	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	Genbank
AY744148	Dengue (denv2)	Tonga/74	Blaney et al	Vaccine candidates derived from a novel infectious cDNA clone of an American genotype dengue virus type 2	BMC Infect. Dis. 4, 39 (2004)	Genbank
HM582116	Dengue (denv2)	D2/TO/UH94/1974	Steel et al	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	Genbank
HM582117	Dengue (denv2)	D2/TO/UH04/1974	Steel et al	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	Genbank
HM582112	Dengue (denv2)	D2/TO/UH19/1974	Steel et al	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	Genbank
HM582111	Dengue (denv2)	D2/TO/UH16/1974	Steel et al	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	Genbank
HM582113	Dengue (denv2)	D2/TO/UH20/1974	Steel et al	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	Genbank
HM582115	Dengue (denv2)	D2/TO/UH44/1974	Steel et al	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	Genbank
HM582114	Dengue (denv2)	D2/TO/UH39/1974	Steel et al	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	Genbank
FJ882602	Dengue (denv2)	DENV_2/LK/BID_V2416/1996	Henn et al	Direct Submission	Submitted (01-APR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
MG560143	Dengue (denv2)	UoH_58620	Vaddadi et al	Molecular characterization of dengue virus strains occurring in South India	Unpublished	Genbank
MG721056	Dengue (denv2)	R1_J30_DENV2	Pattabiraman et al	Genomes of dengue viruses circulating in south India	Unpublished	Genbank
MG721054	Dengue (denv2)	R1_J17_DENV2	Pattabiraman et al	Genomes of dengue viruses circulating in south India	Unpublished	Genbank
MG592698	Dengue (denv2)	R1_J15	?			Genbank
JX475906	Dengue (denv2)	V1392	Dash et al	Complete genome sequencing and evolutionary analysis of Indian isolates of Dengue virus type 2	Biochem. Biophys. Res. Commun. 436 (3), 478-485 (2013)	Genbank
MG560144	Dengue (denv2)	UoH_583351	Vaddadi et al	Molecular characterization of dengue virus strains occurring in South India	Unpublished	Genbank
MK629885	Dengue (denv2)	V43253	Koo et al	Molecular characterization of Dengue viruses type 2 isolated in Korean travelers	Unpublished	Genbank
MK578533	Dengue (denv2)	GZ18XN20079	Su et al	An evolutionary study of DENV-II virus in Guangzhou city, 2016-2018	Unpublished	Genbank
MK564488	Dengue (denv2)	GZ18XN60367	Su et al	An evolutionary study on Dengue Virus 2 in Guangzhou city, 2016-2018	Unpublished	Genbank
MH460898	Dengue (denv2)	AO_1	Hill et al	Early Genomic Detection of Cosmopolitan Genotype of Dengue Virus Serotype 2, Angola, 2018	Emerging Infect. Dis. 25 (4), 784-787 (2019)	Genbank
KY427084	Dengue (denv2)	RGCB880/2010	?			Genbank
MH822949	Dengue (denv2)	Cosmopolitan	Kar et al	Isolation and molecular characterization of Dengue virus clinical isolates from pediatric patients in New Delhi	Int. J. Infect. Dis. (2018) In press	Genbank
MH456899	Dengue (denv2)	DENV2/KLF/008/2014	Kamau et al	Genetic diversity of Dengue virus serotype 2 circulating in Kilifi coastal Kenya	Unpublished	Genbank
MH456897	Dengue (denv2)	DENV2/KLF/002/2014	Kamau et al	Genetic diversity of Dengue virus serotype 2 circulating in Kilifi coastal Kenya	Unpublished	Genbank
MH456898	Dengue (denv2)	DENV2/KLF/003/2014	Kamau et al	Genetic diversity of Dengue virus serotype 2 circulating in Kilifi coastal Kenya	Unpublished	Genbank
MH456892	Dengue (denv2)	DENV2/KLF/001/2014	Kamau et al	Genetic diversity of Dengue virus serotype 2 circulating in Kilifi coastal Kenya	Unpublished	Genbank
MH456893	Dengue (denv2)	DENV2/KLF/004/2014	Kamau et al	Genetic diversity of Dengue virus serotype 2 circulating in Kilifi coastal Kenya	Unpublished	Genbank
MH456895	Dengue (denv2)	DENV2/KLF/005/2014	Kamau et al	Genetic diversity of Dengue virus serotype 2 circulating in Kilifi coastal Kenya	Unpublished	Genbank
MH456894	Dengue (denv2)	DENV2/KLF/006/2014	Kamau et al	Genetic diversity of Dengue virus serotype 2 circulating in Kilifi coastal Kenya	Unpublished	Genbank
MG779195	Dengue (denv2)	Mal_003	Kimita et al	Complete Coding Sequences of Dengue Virus Type 2 from Febrile Patients Seen in Malindi District Hospital, Kenya during the 2017 Dengue Fever Outbreak	Unpublished	Genbank
MG779202	Dengue (denv2)	Mal_020	Kimita et al	Complete Coding Sequences of Dengue Virus Type 2 from Febrile Patients Seen in Malindi District Hospital, Kenya during the 2017 Dengue Fever Outbreak	Unpublished	Genbank
MG779199	Dengue (denv2)	Mal_014	Kimita et al	Complete Coding Sequences of Dengue Virus Type 2 from Febrile Patients Seen in Malindi District Hospital, Kenya during the 2017 Dengue Fever Outbreak	Unpublished	Genbank
MG779196	Dengue (denv2)	Mal_007	Kimita et al	Complete Coding Sequences of Dengue Virus Type 2 from Febrile Patients Seen in Malindi District Hospital, Kenya during the 2017 Dengue Fever Outbreak	Unpublished	Genbank
MG779201	Dengue (denv2)	Mal_018	Kimita et al	Complete Coding Sequences of Dengue Virus Type 2 from Febrile Patients Seen in Malindi District Hospital, Kenya during the 2017 Dengue Fever Outbreak	Unpublished	Genbank
MG779198	Dengue (denv2)	Mal_012	Kimita et al	Complete Coding Sequences of Dengue Virus Type 2 from Febrile Patients Seen in Malindi District Hospital, Kenya during the 2017 Dengue Fever Outbreak	Unpublished	Genbank
MG779194	Dengue (denv2)	Mal_002	Kimita et al	Complete Coding Sequences of Dengue Virus Type 2 from Febrile Patients Seen in Malindi District Hospital, Kenya during the 2017 Dengue Fever Outbreak	Unpublished	Genbank
MG779200	Dengue (denv2)	Mal_016	Kimita et al	Complete Coding Sequences of Dengue Virus Type 2 from Febrile Patients Seen in Malindi District Hospital, Kenya during the 2017 Dengue Fever Outbreak	Unpublished	Genbank
MG779203	Dengue (denv2)	Mal_028	Kimita et al	Complete Coding Sequences of Dengue Virus Type 2 from Febrile Patients Seen in Malindi District Hospital, Kenya during the 2017 Dengue Fever Outbreak	Unpublished	Genbank
MG779197	Dengue (denv2)	Mal_011	Kimita et al	Complete Coding Sequences of Dengue Virus Type 2 from Febrile Patients Seen in Malindi District Hospital, Kenya during the 2017 Dengue Fever Outbreak	Unpublished	Genbank
JQ922551	Dengue (denv2)	DENV_2/IND/053598/2005	Jayashri et al	Evolutionary Dynamics of Dengue Virus in India	Unpublished	Genbank
KF041236	Dengue (denv2)	D2/Pakistan/51/2008	Koo et al	Evolution and heterogeneity of multiple serotypes of Dengue virus in Pakistan, 2006-2011	Virol. J. 10, 275 (2013)	Genbank
JQ955623	Dengue (denv2)	RR44	Dash et al	Complete genome sequencing and evolutionary analysis of Indian isolates of Dengue virus type 2	Biochem. Biophys. Res. Commun. 436 (3), 478-485 (2013)	Genbank
JQ922549	Dengue (denv2)	DENV_2/IND/969201/1996	Jayashri et al	Evolutionary Dynamics of Dengue Virus in India	Unpublished	Genbank
GQ252677	Dengue (denv2)	DENV_2/LK/BID_V2422/2004	?			Genbank
GQ252676	Dengue (denv2)	DENV_2/LK/BID_V2421/2003	?			Genbank
KF360005	Dengue (denv2)	DENV_2/PK	Akram et al	Introduction and evolution of dengue virus type 2 in Pakistan: a phylogeographic analysis	Virol. J. 12 (1), 148 (2015)	Genbank
KF041233	Dengue (denv2)	D2/Pakistan/2011_3/2011	Koo et al	Evolution and heterogeneity of multiple serotypes of Dengue virus in Pakistan, 2006-2011	Virol. J. 10, 275 (2013)	Genbank
KF041237	Dengue (denv2)	D2/Pakistan/78/2009	Koo et al	Evolution and heterogeneity of multiple serotypes of Dengue virus in Pakistan, 2006-2011	Virol. J. 10, 275 (2013)	Genbank
KJ830750	Dengue (denv2)	Jeddah_2014	Azhar et al	Complete Genome Sequencing of Dengue Virus Type 2 from Saudi Arabia	Unpublished	Genbank
KF041235	Dengue (denv2)	D2/Pakistan/209/2009	Koo et al	Evolution and heterogeneity of multiple serotypes of Dengue virus in Pakistan, 2006-2011	Virol. J. 10, 275 (2013)	Genbank
KJ010186	Dengue (denv2)	DENV_2/PK/2013	Akram et al	Introduction and evolution of dengue virus type 2 in Pakistan: a phylogeographic analysis	Virol. J. 12 (1), 148 (2015)	Genbank
KF041234	Dengue (denv2)	D2/Pakistan/2011_4/2011	Koo et al	Evolution and heterogeneity of multiple serotypes of Dengue virus in Pakistan, 2006-2011	Virol. J. 10, 275 (2013)	Genbank
KF041232	Dengue (denv2)	D2/Pakistan/2011_23/2011	Koo et al	Evolution and heterogeneity of multiple serotypes of Dengue virus in Pakistan, 2006-2011	Virol. J. 10, 275 (2013)	Genbank
KM217156	Dengue (denv2)	D2/Pk/A2/2011	Ali et al	Direct Submission	Submitted (19-JUL-2014) Department of Genetics, Hazara University, Dhodial, Mansehra, Khyber Pakhtunkhwa 092, Pakistan	Genbank
KM217157	Dengue (denv2)	D2/Pk/A1/2011	Ali et al	Direct Submission	Submitted (19-JUL-2014) Department of Genetics, Hazara University, Dhodial, Mansehra, Khyber Pakhtunkhwa 092, Pakistan	Genbank
KJ010185	Dengue (denv2)	DENV_2/PK/2011	Akram et al	Introduction and evolution of dengue virus type 2 in Pakistan: a phylogeographic analysis	Virol. J. 12 (1), 148 (2015)	Genbank
KJ701507	Dengue (denv2)	DENV_2/Pk/Swat_02	Ali et al	Complete genome sequence of dengue virus 2/Pakistan/Swat-02 isolate	Unpublished	Genbank
KM217158	Dengue (denv2)	D2/Pk/Swat_01	Ali et al	Direct Submission	Submitted (19-JUL-2014) Department of Genetics, Hazara University, Dhodial, Mansehra, Khyber Pakhtunkhwa 092, Pakistan	Genbank
FJ898454	Dengue (denv2)	DENV_2/IN/BID_V2961/2006	Henn et al	Direct Submission	Submitted (06-APR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
DQ448231	Dengue (denv2)	GWL18_INDI_01	Dash et al	Direct Submission	Submitted (14-MAR-2006) Virology Division, Defense R & D Establishment, Jhansi Road, Gwalior, MP 474 002, India	Genbank
KU509271	Dengue (denv2)	DENV2_2627	Shihada et al	Genetic Diversity and New Lineages of Dengue Virus Serotypes 3 and 4 in Returning Travelers, Germany, 2006-2015	Emerging Infect. Dis. (2017) In press	Genbank
JQ955624	Dengue (denv2)	Od2112	Dash et al	Complete genome sequencing and evolutionary analysis of Indian isolates of Dengue virus type 2	Biochem. Biophys. Res. Commun. 436 (3), 478-485 (2013)	Genbank
KY427085	Dengue (denv2)	RGCB921/2011	?			Genbank
KF479233	Dengue (denv2)	QHD13CAIQ	Ma et al	First confirmation of imported dengue virus serotype 2 complete genome in urine from a Chinese traveler returning from India	Virol. J. 11, 56 (2014)	Genbank
KX380829	Dengue (denv2)	D2/SG/CT36/2013	?			Genbank
KX380828	Dengue (denv2)	D2/SG/CT35/2013	?			Genbank
MG721057	Dengue (denv2)	R1_J36_DENV2	Pattabiraman et al	Genomes of dengue viruses circulating in south India	Unpublished	Genbank
MG721062	Dengue (denv2)	R1_J46_DENV2	Pattabiraman et al	Genomes of dengue viruses circulating in south India	Unpublished	Genbank
MN272404	Dengue (denv2)	RUJul	?			Genbank
MN272405	Dengue (denv2)	RU16417	?			Genbank
MG721055	Dengue (denv2)	R1_J22_DENV2	Pattabiraman et al	Genomes of dengue viruses circulating in south India	Unpublished	Genbank
MG721058	Dengue (denv2)	R1_J45_DENV2	Pattabiraman et al	Genomes of dengue viruses circulating in south India	Unpublished	Genbank
MK629886	Dengue (denv2)	V43254	Koo et al	Molecular characterization of Dengue viruses type 2 isolated in Korean travelers	Unpublished	Genbank
MK578531	Dengue (denv2)	GZ16XN03534	Su et al	An evolutionary study of DENV-II virus in Guangzhou city, 2016-2018	Unpublished	Genbank
MH110592	Dengue (denv2)	D2/CN/HZ_594/2017	Yu et al	Multiple lineages of Dengue virus serotype 2 cosmopolitan genotype caused a local dengue outbreak in Hangzhou, Zhejiang province, China, 2017	Unpublished	Genbank
MH110585	Dengue (denv2)	D2/CN/HZ_439/2017	Yu et al	Multiple lineages of Dengue virus serotype 2 cosmopolitan genotype caused a local dengue outbreak in Hangzhou, Zhejiang province, China, 2017	Unpublished	Genbank
MH110589	Dengue (denv2)	D2/CN/HZ_510/2017	Yu et al	Multiple lineages of Dengue virus serotype 2 cosmopolitan genotype caused a local dengue outbreak in Hangzhou, Zhejiang province, China, 2017	Unpublished	Genbank
KY672951	Dengue (denv2)	DENV_2/China/YN/JH1502_2015_	Hu et al	Molecular characteristics of the full-length genome of dengue serotype 2 virus strains isolated from dengue fever cases and their epidemiological feature in southwestern border region of Yunnan province	Unpublished	Genbank
KY672954	Dengue (denv2)	DENV_2/China/YN/JH1516_2015_	Hu et al	Molecular characteristics of the full-length genome of dengue serotype 2 virus strains isolated from dengue fever cases and their epidemiological feature in southwestern border region of Yunnan province	Unpublished	Genbank
KY672952	Dengue (denv2)	DENV_2/China/YN/JH1505_2015_	Hu et al	Molecular characteristics of the full-length genome of dengue serotype 2 virus strains isolated from dengue fever cases and their epidemiological feature in southwestern border region of Yunnan province	Unpublished	Genbank
KY672953	Dengue (denv2)	DENV_2/China/YN/JH1515_2015_	Hu et al	Molecular characteristics of the full-length genome of dengue serotype 2 virus strains isolated from dengue fever cases and their epidemiological feature in southwestern border region of Yunnan province	Unpublished	Genbank
KY937186	Dengue (denv2)	XLLM10666	Jiang et al	The phylogenetic and cross-referencing of flaviviruses in worldwide	Unpublished	Genbank
KY937185	Dengue (denv2)	XZXM10610	Jiang et al	The deletion and insertion mutation occured in genome of dengue isolated in Xishuangbanna, Yunnan, China	Unpublished	Genbank
KY937188	Dengue (denv2)	XHZF10615	Jiang et al	The deletion and insertion mutation occured in genome of dengue isolated in Xishuangbanna, Yunnan, China	Unpublished	Genbank
KY937190	Dengue (denv2)	XLXY10594	Jiang et al	The phylogenetic and cross-referencing of flaviviruses in worldwide	Unpublished	Genbank
MF156240	Dengue (denv2)	XSBN08	Zhao et al	Direct Submission	Submitted (24-MAY-2017) Yunnan Key Laboratory of Vaccine Research & Development on Severe Infectious Diseases, Institute of Medical Biology, Chinese Academy of Medical Sciences, 935 Jiao Ling Road, Kunming, Yunnan 650118, China	Genbank
MF156241	Dengue (denv2)	XSBN09	Zhao et al	Direct Submission	Submitted (24-MAY-2017) Yunnan Key Laboratory of Vaccine Research & Development on Severe Infectious Diseases, Institute of Medical Biology, Chinese Academy of Medical Sciences, 935 Jiao Ling Road, Kunming, Yunnan 650118, China	Genbank
MF156236	Dengue (denv2)	XSBN04	Zhao et al	Direct Submission	Submitted (24-MAY-2017) Yunnan Key Laboratory of Vaccine Research & Development on Severe Infectious Diseases, Institute of Medical Biology, Chinese Academy of Medical Sciences, 935 Jiao Ling Road, Kunming, Yunnan 650118, China	Genbank
MF156237	Dengue (denv2)	XSBN05	Zhao et al	Direct Submission	Submitted (24-MAY-2017) Yunnan Key Laboratory of Vaccine Research & Development on Severe Infectious Diseases, Institute of Medical Biology, Chinese Academy of Medical Sciences, 935 Jiao Ling Road, Kunming, Yunnan 650118, China	Genbank
MF156248	Dengue (denv2)	XSBN16	Zhao et al	Direct Submission	Submitted (24-MAY-2017) Yunnan Key Laboratory of Vaccine Research & Development on Severe Infectious Diseases, Institute of Medical Biology, Chinese Academy of Medical Sciences, 935 Jiao Ling Road, Kunming, Yunnan 650118, China	Genbank
MF156235	Dengue (denv2)	XSBN03	Zhao et al	Direct Submission	Submitted (24-MAY-2017) Yunnan Key Laboratory of Vaccine Research & Development on Severe Infectious Diseases, Institute of Medical Biology, Chinese Academy of Medical Sciences, 935 Jiao Ling Road, Kunming, Yunnan 650118, China	Genbank
MF156233	Dengue (denv2)	XSBN01	Zhao et al	Direct Submission	Submitted (24-MAY-2017) Yunnan Key Laboratory of Vaccine Research & Development on Severe Infectious Diseases, Institute of Medical Biology, Chinese Academy of Medical Sciences, 935 Jiao Ling Road, Kunming, Yunnan 650118, China	Genbank
MF156245	Dengue (denv2)	XSBN13	Zhao et al	Direct Submission	Submitted (24-MAY-2017) Yunnan Key Laboratory of Vaccine Research & Development on Severe Infectious Diseases, Institute of Medical Biology, Chinese Academy of Medical Sciences, 935 Jiao Ling Road, Kunming, Yunnan 650118, China	Genbank
MF156246	Dengue (denv2)	XSBN14	Zhao et al	Direct Submission	Submitted (24-MAY-2017) Yunnan Key Laboratory of Vaccine Research & Development on Severe Infectious Diseases, Institute of Medical Biology, Chinese Academy of Medical Sciences, 935 Jiao Ling Road, Kunming, Yunnan 650118, China	Genbank
MF156242	Dengue (denv2)	XSBN10	Zhao et al	Direct Submission	Submitted (24-MAY-2017) Yunnan Key Laboratory of Vaccine Research & Development on Severe Infectious Diseases, Institute of Medical Biology, Chinese Academy of Medical Sciences, 935 Jiao Ling Road, Kunming, Yunnan 650118, China	Genbank
MF156239	Dengue (denv2)	XSBN07	Zhao et al	Direct Submission	Submitted (24-MAY-2017) Yunnan Key Laboratory of Vaccine Research & Development on Severe Infectious Diseases, Institute of Medical Biology, Chinese Academy of Medical Sciences, 935 Jiao Ling Road, Kunming, Yunnan 650118, China	Genbank
MF156238	Dengue (denv2)	XSBN06	Zhao et al	Direct Submission	Submitted (24-MAY-2017) Yunnan Key Laboratory of Vaccine Research & Development on Severe Infectious Diseases, Institute of Medical Biology, Chinese Academy of Medical Sciences, 935 Jiao Ling Road, Kunming, Yunnan 650118, China	Genbank
MF156243	Dengue (denv2)	XSBN11	Zhao et al	Direct Submission	Submitted (24-MAY-2017) Yunnan Key Laboratory of Vaccine Research & Development on Severe Infectious Diseases, Institute of Medical Biology, Chinese Academy of Medical Sciences, 935 Jiao Ling Road, Kunming, Yunnan 650118, China	Genbank
GQ398259	Dengue (denv2)	DENV_2/ID/1017DN/1976	?			Genbank
GQ398258	Dengue (denv2)	DENV_2/ID/1016DN/1975	?			Genbank
GQ398262	Dengue (denv2)	DENV_2/ID/1127DN/1976	?			Genbank
GQ398260	Dengue (denv2)	DENV_2/ID/1070DN/1976	?			Genbank
GQ398261	Dengue (denv2)	DENV_2/ID/1172DN/1976	?			Genbank
EU056810	Dengue (denv2)	V1349	Vasilakis et al	Genetic and phenotypic characterization of sylvatic dengue virus type 2 strains	Virology 377 (2), 296-307 (2008)	Genbank
GU131843	Dengue (denv2)	DENV_2/BF/BID_V3502/1986	Henn et al	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
KY627763	Dengue (denv2)	7754691/BF/2016	Baronti et al	Complete coding sequences of two dengue virus type 2 isolates from an outbreak in Burkina Faso, 2016	Genome Announc (2017) In press	Genbank
KY627762	Dengue (denv2)	7869191/BF/2016	Baronti et al	Complete coding sequences of two dengue virus type 2 isolates from an outbreak in Burkina Faso, 2016	Genome Announc (2017) In press	Genbank
GQ398263	Dengue (denv2)	DENV_2/ID/1023DN/1975	?			Genbank
GQ398264	Dengue (denv2)	DENV_2/ID/1046DN/1976	?			Genbank
KU666945	Dengue (denv2)	TM78	Dhanoa et al	Impact of dengue virus (DENV) co-infection on clinical manifestations, disease severity and laboratory parameters	BMC Infect. Dis. 16 (1), 406 (2016)	Genbank
JN851131	Dengue (denv2)	SGEHI_D2_0762Y05	Lee et al	Dengue virus surveillance in Singapore reveals high viral diversity through multiple introductions and in situ evolution	Unpublished	Genbank
FJ196852	Dengue (denv2)	GD01/01	Wu et al	Molecular epidemiology of dengue viruses in southern China from 1978 to 2006	Virol. J. 8 (1), 322 (2011)	Genbank
KC964093	Dengue (denv2)	GD19/2001	Bai et al	Dengue virus 2 polyprotein gene	Unpublished	Genbank
KF744397	Dengue (denv2)	01_St_206	Kawashima et al	Phylogenomic Analysis of Dengue 2 Viruses from 1995 to 2010 in the Philippines	Unpublished	Genbank
KU509269	Dengue (denv2)	DENV2_973	Shihada et al	Genetic Diversity and New Lineages of Dengue Virus Serotypes 3 and 4 in Returning Travelers, Germany, 2006-2015	Emerging Infect. Dis. (2017) In press	Genbank
KU509274	Dengue (denv2)	DENV2_3519	?			Genbank
KU509277	Dengue (denv2)	DENV2_14706	?			Genbank
KU509275	Dengue (denv2)	DENV2_3849	?			Genbank
KU509276	Dengue (denv2)	DENV2_3850	?			Genbank
MH827542	Dengue (denv2)	D2/China/GDst/GD16047/2016	De et al	Dengue fever in Guangdong	Unpublished	Genbank
MH827545	Dengue (denv2)	D2/China/GDzs/GD16168/2016_Philippines_	De et al	Dengue fever in Guangdong	Unpublished	Genbank
MH985859	Dengue (denv2)	Van_2017	Pyke et al	First complete genome sequences of dengue virus serotype 2 strains from Vanuatu and the Solomon Islands	Microbiol Resour Announc (2018) In press	Genbank
KF744398	Dengue (denv2)	05_Sa_018	Kawashima et al	Phylogenomic Analysis of Dengue 2 Viruses from 1995 to 2010 in the Philippines	Unpublished	Genbank
DQ645542	Dengue (denv2)	950_DF_11/12/2001	Chen et al	Evolution of dengue virus type 2 during two consecutive outbreaks in Taiwan in 2001-2	Unpublished	Genbank
DQ645540	Dengue (denv2)	904_DHF_10/31/2001	Chen et al	Evolution of dengue virus type 2 during two consecutive outbreaks in Taiwan in 2001-2	Unpublished	Genbank
DQ645543	Dengue (denv2)	1018_DF_12/03/2001	Chen et al	Evolution of dengue virus type 2 during two consecutive outbreaks in Taiwan in 2001-2	Unpublished	Genbank
DQ645544	Dengue (denv2)	1024_DHF_12/07/2001	Chen et al	Evolution of dengue virus type 2 during two consecutive outbreaks in Taiwan in 2001-2	Unpublished	Genbank
DQ645541	Dengue (denv2)	915_DF_11/03/2001	Chen et al	Evolution of dengue virus type 2 during two consecutive outbreaks in Taiwan in 2001-2	Unpublished	Genbank
DQ645555	Dengue (denv2)	2659_DHF_11/01/2002	Chen et al	Evolution of dengue virus type 2 during two consecutive outbreaks in Taiwan in 2001-2	Unpublished	Genbank
DQ645551	Dengue (denv2)	2191_DF_09/12/2002	Chen et al	Evolution of dengue virus type 2 during two consecutive outbreaks in Taiwan in 2001-2	Unpublished	Genbank
DQ645553	Dengue (denv2)	2559_DHF_10/23/2002	Chen et al	Evolution of dengue virus type 2 during two consecutive outbreaks in Taiwan in 2001-2	Unpublished	Genbank
