strain	strain_name	segment	date	host	country	subtype	virus
MG642034	RSVA/Homo_sapiens/USA/MCRSV_244/1985-XX-XX	NA	1985-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316092	RSVA/Homo_sapiens/USA/91E_610_01/1991-XX-XX	NA	1991-XX-XX	Human	USA	NA	Human_orthopneumovirus
MG642030	RSVA/Homo_sapiens/USA/MCRSV_256/1988-XX-XX	NA	1988-XX-XX	Human	USA	NA	Human_orthopneumovirus
MG642063	RSVA/Homo_sapiens/USA/MCRSV_226/1982-XX-XX	NA	1982-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ723464	RSVA/Homo_sapiens/USA/89I_150A_01/1989-XX-XX	NA	1989-XX-XX	Human	USA	NA	Human_orthopneumovirus
KP258734	RSVA/Homo_sapiens/USA/89E_024_01/1989-XX-XX	NA	1989-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ723492	RSVA/Homo_sapiens/USA/90I_226A_01/1990-XX-XX	NA	1990-XX-XX	Human	USA	NA	Human_orthopneumovirus
KP258723	RSVA/Homo_sapiens/USA/86E_007_01/1986-XX-XX	NA	1986-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ723483	RSVA/Homo_sapiens/USA/84I_215A_01/1984-XX-XX	NA	1984-XX-XX	Human	USA	NA	Human_orthopneumovirus
KP258733	RSVA/Homo_sapiens/USA/84E_004_01/1984-XX-XX	NA	1984-XX-XX	Human	USA	NA	Human_orthopneumovirus
MG642071	RSVA/Homo_sapiens/USA/MCRSV_238/1984-XX-XX	NA	1984-XX-XX	Human	USA	NA	Human_orthopneumovirus
MG642035	RSVA/Homo_sapiens/USA/MCRSV_240/1984-XX-XX	NA	1984-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316098	RSVA/Homo_sapiens/USA/84E_035_01/1984-XX-XX	NA	1984-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316125	RSVA/Homo_sapiens/USA/84I_266A_01_01/1984-XX-XX	NA	1984-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316138	RSVA/Homo_sapiens/USA/87E_083_01/1987-XX-XX	NA	1987-XX-XX	Human	USA	NA	Human_orthopneumovirus
MG642077	RSVA/Homo_sapiens/USA/MCRSV_250/1987-XX-XX	NA	1987-XX-XX	Human	USA	NA	Human_orthopneumovirus
MG642070	RSVA/Homo_sapiens/USA/MCRSV_247/1986-XX-XX	NA	1986-XX-XX	Human	USA	NA	Human_orthopneumovirus
OK649669	HRSV/A/Missouri.USA/MO02/1994-XX-XX	NA	1994-XX-XX	Human	USA	NA	Human_orthopneumovirus
OK649672	HRSV/A/NewYork.USA/CH45II/1995-XX-XX	NA	1995-XX-XX	Human	USA	NA	Human_orthopneumovirus
KP856967	RSVA/Homo_sapiens/USA/81E_025_01/1981-XX-XX	NA	1981-XX-XX	Human	USA	NA	Human_orthopneumovirus
KP258709	RSVA/Homo_sapiens/USA/81E_020_01/1981-XX-XX	NA	1981-XX-XX	Human	USA	NA	Human_orthopneumovirus
MG642032	RSVA/Homo_sapiens/USA/MCRSV_221/1980-XX-XX	NA	1980-XX-XX	Human	USA	NA	Human_orthopneumovirus
MG642040	RSVA/Homo_sapiens/USA/MCRSV_214/1980-XX-XX	NA	1980-XX-XX	Human	USA	NA	Human_orthopneumovirus
MG642058	RSVA/Homo_sapiens/USA/MCRSV_218/1980-XX-XX	NA	1980-XX-XX	Human	USA	NA	Human_orthopneumovirus
MG642028	RSVA/Homo_sapiens/USA/MCRSV_220/1980-XX-XX	NA	1980-XX-XX	Human	USA	NA	Human_orthopneumovirus
MG642024	RSVA/Homo_sapiens/USA/MCRSV_223/1981-XX-XX	NA	1981-XX-XX	Human	USA	NA	Human_orthopneumovirus
KP258725	RSVA/Homo_sapiens/USA/80G_664_01/1980-XX-XX	NA	1980-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316090	RSVA/Homo_sapiens/USA/81I_184A_01_01/1981-XX-XX	NA	1981-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316135	RSVA/Homo_sapiens/USA/81I_090A_01_01/1981-XX-XX	NA	1981-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ723488	RSVA/Homo_sapiens/USA/81I_123A_01/1981-XX-XX	NA	1981-XX-XX	Human	USA	NA	Human_orthopneumovirus
KP856969	RSVA/Homo_sapiens/USA/79E_495_01/1979-XX-XX	NA	1979-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316157	RSVA/Homo_sapiens/USA/79I_050A_01_01/1979-XX-XX	NA	1979-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316137	RSVA/Homo_sapiens/USA/79E_040_01/1979-XX-XX	NA	1979-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316178	RSVA/Homo_sapiens/USA/79E_191_01/1979-XX-XX	NA	1979-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316149	RSVA/Homo_sapiens/USA/81E_078_01/1977-XX-XX	NA	1977-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316150	RSVA/Homo_sapiens/USA/78G_168_01/1978-XX-XX	NA	1978-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316143	RSVA/Homo_sapiens/USA/82G_164_01/1982-XX-XX	NA	1982-XX-XX	Human	USA	NA	Human_orthopneumovirus
MG642074	RSVA/Homo_sapiens/USA/MCRSV_209/1980-XX-XX	NA	1980-XX-XX	Human	USA	NA	Human_orthopneumovirus
KP258696	RSVA/Homo_sapiens/USA/86E_155_01/1986-XX-XX	NA	1986-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316093	RSVA/Homo_sapiens/USA/88P_171_01/1988-XX-XX	NA	1988-XX-XX	Human	USA	NA	Human_orthopneumovirus
KP258715	RSVA/Homo_sapiens/USA/88E_009_01/1988-XX-XX	NA	1988-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ723468	RSVA/Homo_sapiens/USA/88I_217A_01/1988-XX-XX	NA	1988-XX-XX	Human	USA	NA	Human_orthopneumovirus
KP258699	RSVA/Homo_sapiens/USA/85E_170_01/1985-XX-XX	NA	1985-XX-XX	Human	USA	NA	Human_orthopneumovirus
MG642031	RSVA/Homo_sapiens/USA/MCRSV_236/1982-XX-XX	NA	1982-XX-XX	Human	USA	NA	Human_orthopneumovirus
MG642079	RSVA/Homo_sapiens/USA/MCRSV_237/1982-XX-XX	NA	1982-XX-XX	Human	USA	NA	Human_orthopneumovirus
MG642083	RSVA/Homo_sapiens/USA/MCRSV_253/1987-XX-XX	NA	1987-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316133	RSVA/Homo_sapiens/USA/90E_035_01/1990-XX-XX	NA	1990-XX-XX	Human	USA	NA	Human_orthopneumovirus
JX069803	RSVA/human/USA/A2000-03-04/2000	NA	2000-03-04	Human	USA	NA	Human_orthopneumovirus
JX069802	RSVA/human/USA/A1998_12_21/1998	NA	1998-12-12	Human	USA	NA	Human_orthopneumovirus
KJ643477	RSV_A/US/BID_V9389/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643463	RSV_A/US/BID_V9374/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643471	RSV_A/US/BID_V9383/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643534	RSV_A/US/BID_V9471/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643525	RSV_A/US/BID_V9456/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643568	RSV_A/US/BID_V9521/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643507	RSV_A/US/BID_V9430/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643505	RSV_A/US/BID_V9428/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643571	RSV_A/US/BID_V9524/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643466	RSV_A/US/BID_V9377/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643484	RSV_A/US/BID_V9396/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643464	RSV_A/US/BID_V9375/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643556	RSV_A/US/BID_V9501/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643512	RSV_A/US/BID_V9435/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643572	RSV_A/US/BID_V9526/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643531	RSV_A/US/BID_V9465/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643581	RSV_A/US/BID_V9539/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643495	RSV_A/US/BID_V9415/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643462	RSV_A/US/BID_V9372/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643465	RSV_A/US/BID_V9376/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643497	RSV_A/US/BID_V9418/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643480	RSV_A/US/BID_V9392/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643467	RSV_A/US/BID_V9378/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643475	RSV_A/US/BID_V9387/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643514	RSV_A/US/BID_V9438/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643524	RSV_A/US/BID_V9454/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643550	RSV_A/US/BID_V9492/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643494	RSV_A/US/BID_V9413/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643483	RSV_A/US/BID_V9395/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643530	RSV_A/US/BID_V9464/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643510	RSV_A/US/BID_V9433/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643551	RSV_A/US/BID_V9494/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643570	RSV_A/US/BID_V9523/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643520	RSV_A/US/BID_V9448/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643474	RSV_A/US/BID_V9386/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643522	RSV_A/US/BID_V9450/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643546	RSV_A/US/BID_V9486/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643519	RSV_A/US/BID_V9445/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643506	RSV_A/US/BID_V9429/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643566	RSV_A/US/BID_V9519/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643564	RSV_A/US/BID_V9514/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643562	RSV_A/US/BID_V9512/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643560	RSV_A/US/BID_V9507/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643526	RSV_A/US/BID_V9457/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643567	RSV_A/US/BID_V9520/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643476	RSV_A/US/BID_V9388/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643485	RSV_A/US/BID_V9397/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643518	RSV_A/US/BID_V9444/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643482	RSV_A/US/BID_V9394/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643488	RSV_A/US/BID_V9400/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643503	RSV_A/US/BID_V9426/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643481	RSV_A/US/BID_V9393/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643549	RSV_A/US/BID_V9491/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643583	RSV_A/US/BID_V9549/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643501	RSV_A/US/BID_V9424/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643552	RSV_A/US/BID_V9496/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643511	RSV_A/US/BID_V9434/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643529	RSV_A/US/BID_V9463/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643586	RSV_A/US/BID_V9554/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643473	RSV_A/US/BID_V9385/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643491	RSV_A/US/BID_V9410/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643493	RSV_A/US/BID_V9412/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643563	RSV_A/US/BID_V9513/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643498	RSV_A/US/BID_V9419/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643589	RSV_A/US/BID_V9508/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643502	RSV_A/US/BID_V9425/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643528	RSV_A/US/BID_V9461/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643486	RSV_A/US/BID_V9398/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643555	RSV_A/US/BID_V9500/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643553	RSV_A/US/BID_V9498/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643585	RSV_A/US/BID_V9553/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643584	RSV_A/US/BID_V9552/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643499	RSV_A/US/BID_V9420/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643561	RSV_A/US/BID_V9510/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643517	RSV_A/US/BID_V9443/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643469	RSV_A/US/BID_V9381/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643478	RSV_A/US/BID_V9390/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643513	RSV_A/US/BID_V9437/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643545	RSV_A/US/BID_V9485/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643470	RSV_A/US/BID_V9382/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643559	RSV_A/US/BID_V9506/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643504	RSV_A/US/BID_V9427/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643579	RSV_A/US/BID_V9537/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643523	RSV_A/US/BID_V9452/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643573	RSV_A/US/BID_V9529/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643569	RSV_A/US/BID_V9522/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643574	RSV_A/US/BID_V9531/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643537	RSV_A/US/BID_V9477/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643543	RSV_A/US/BID_V9483/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643554	RSV_A/US/BID_V9499/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643535	RSV_A/US/BID_V9475/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643468	RSV_A/US/BID_V9379/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643575	RSV_A/US/BID_V9532/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643540	RSV_A/US/BID_V9480/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643576	RSV_A/US/BID_V9533/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643542	RSV_A/US/BID_V9482/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627679	RSV_A/US/BID_V8423/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627678	RSV_A/US/BID_V8422/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643508	RSV_A/US/BID_V9431/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643527	RSV_A/US/BID_V9459/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643544	RSV_A/US/BID_V9484/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643565	RSV_A/US/BID_V9517/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ643536	RSV_A/US/BID_V9476/2013-XX-XX	NA	2013-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627687	RSV_A/US/BID_V8437/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627685	RSV_A/US/BID_V8435/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627686	RSV_A/US/BID_V8436/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627683	RSV_A/US/BID_V8433/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627682	RSV_A/US/BID_V8432/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627684	RSV_A/US/BID_V8434/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627703	RSV_A/US/BID_V8482/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627707	RSV_A/US/BID_V8486/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627706	RSV_A/US/BID_V8485/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627705	RSV_A/US/BID_V8484/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627704	RSV_A/US/BID_V8483/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627702	RSV_A/US/BID_V8481/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627693	RSV_A/US/BID_V8466/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627672	RSV_A/US/BID_V8411/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627674	RSV_A/US/BID_V8414/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627675	RSV_A/US/BID_V8415/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627710	RSV_A/US/BID_V8493/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627688	RSV_A/US/BID_V8453/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627690	RSV_A/US/BID_V8456/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627731	RSV_A/US/BID_V8540/2003-XX-XX	NA	2003-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627727	RSV_A/US/BID_V8535/2003-XX-XX	NA	2003-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627728	RSV_A/US/BID_V8536/2003-XX-XX	NA	2003-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627733	RSV_A/US/BID_V8547/2003-XX-XX	NA	2003-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627652	RSV_A/US/BID_V8320/2002-XX-XX	NA	2002-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627670	RSV_A/US/BID_V8397/2003-XX-XX	NA	2003-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627671	RSV_A/US/BID_V8405/2003-XX-XX	NA	2003-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627725	RSV_A/US/BID_V8526/2004-XX-XX	NA	2004-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627723	RSV_A/US/BID_V8524/2004-XX-XX	NA	2004-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627724	RSV_A/US/BID_V8525/2004-XX-XX	NA	2004-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627657	RSV_A/US/BID_V8354/2003-XX-XX	NA	2003-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627659	RSV_A/US/BID_V8356/2003-XX-XX	NA	2003-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627664	RSV_A/US/BID_V8376/2003-XX-XX	NA	2003-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627663	RSV_A/US/BID_V8375/2003-XX-XX	NA	2003-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627676	RSV_A/US/BID_V8419/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627709	RSV_A/US/BID_V8491/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ627708	RSV_A/US/BID_V8490/2001-XX-XX	NA	2001-XX-XX	Human	USA	NA	Human_orthopneumovirus
KF826824	RSVA/Homo_sapiens/USA/629_4392/1998	NA	1998-10-28	Human	USA	NA	Human_orthopneumovirus
KF826823	RSVA/Homo_sapiens/USA/629_4360/1998	NA	1998-10-17	Human	USA	NA	Human_orthopneumovirus
KU316180	RSVA/Homo_sapiens/USA/98E_415_01/1998-XX-XX	NA	1998-XX-XX	Human	USA	NA	Human_orthopneumovirus
KP258727	RSVA/Homo_sapiens/USA/97E_101_01/1997-XX-XX	NA	1997-XX-XX	Human	USA	NA	Human_orthopneumovirus
KP258711	RSVA/Homo_sapiens/USA/92E_119_01/1992-XX-XX	NA	1992-XX-XX	Human	USA	NA	Human_orthopneumovirus
KJ723465	RSVA/Homo_sapiens/USA/92I_094A_01/1992-XX-XX	NA	1992-XX-XX	Human	USA	NA	Human_orthopneumovirus
KP258740	RSVA/Homo_sapiens/USA/93E_065_01/1993-XX-XX	NA	1993-XX-XX	Human	USA	NA	Human_orthopneumovirus
