virus,subtype,virus_and_subtype,gene,adaptive_subs_per_codon_per_year,lower_95ci,upper_95ci,ci,len_in_codons,adaptive_muts_per_year,lower_95ci_mutspergene,upper_95ci_mutspergene,legible_name,virus_family,color,rna_dna,genome_type,enveloped,transmission,cellular_receptor,fusion_protein_class,index,legible_gene_name
229e,,229e,polymerase,0.1300829492437487,0.0,0.2625167558389346,"[0.0, 0.2625167558389346]",927,0.1205868939489551,0.0,0.2433530326626923,229E,Coronavirus,#76C7BE,RNA,Positive-sense RNA,True,Respiratory,Aminopeptidase N,Class I,66,RdRp (Polymerase)
nl63,,nl63,polymerase,0.0,0.0,0.0,"[0.0, 0.0]",927,0.0,0.0,0.0,NL63,Coronavirus,#BBE4D1,RNA,Positive-sense RNA,True,Respiratory,ACE2,Class I,12,RdRp (Polymerase)
rsv,A,rsv_A,polymerase,0.1715636617570932,0.0811033300360507,0.2637468737040845,"[0.08110333003605077, 0.26374687370408456]",2166,0.3716068913658639,0.1756698128580859,0.5712757284430471,RSV-A,"Paramyxovirus, pneumovirus",#0B194C,RNA,Negative-sense RNA,True,Respiratory,"Heparan Sulfate, others",Class I,21,L (Polymerase)
rsv,B,rsv_B,polymerase,0.2427462136412257,0.1300778583944329,0.3737477298254206,"[0.13007785839443292, 0.37374772982542065]",2167,0.5260310449605363,0.2818787191407361,0.8099113305316865,RSV-B,"Paramyxovirus, pneumovirus",#6C7593,RNA,Negative-sense RNA,True,Respiratory,"Heparan Sulfate, others",Class I,21,L (Polymerase)
dengue,denv1_V,dengue_denv1_V,polymerase,0.107255707257924,0.0,0.2977427200983128,"[0.0, 0.2977427200983128]",899,0.0964228808248736,0.0,0.2676707053683832,Dengue 1-V,Flavivirus,#0db0d6,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,36,NS5 (Polymerase)
dengue,denv2_AA,dengue_denv2_AA,polymerase,0.2564809294220684,0.0594964648351464,0.5127407808349158,"[0.059496464835146416, 0.5127407808349158]",900,0.2308328364798616,0.0535468183516317,0.4614667027514242,Dengue 2-AA,Flavivirus,#2cccf2,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,36,NS5 (Polymerase)
dengue,denv3_III,dengue_denv3_III,polymerase,0.1805526062532489,0.0677928318887785,0.3655828992683642,"[0.06779283188877855, 0.36558289926836424]",900,0.162497345627924,0.0610135486999006,0.3290246093415278,Dengue 3-III,Flavivirus,#76def7,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,36,NS5 (Polymerase)
dengue,denv4_II,dengue_denv4_II,polymerase,0.0021394750011936,-0.0180624348219764,0.0395339562492842,"[-0.018062434821976423, 0.03953395624928428]",900,0.0019255275010743,-0.0162561913397787,0.0355805606243558,Dengue 4-II,Flavivirus,#adebfa,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,36,NS5 (Polymerase)
rotavirusAg1p8,,rotavirusAg1p8,polymerase,0.0,0.0,7.807600850391664e-05,"[0.0, 7.807600850391664e-05]",1089,0.0,0.0,8.502477326076521e-05,Rotavirus A/P[8],Reovirus,#1a3da6,RNA,"Double-stranded RNA, segmented",False,Fecal-Oral,"Sialic acid, others",,45,VP1 (Polymerase)
rotavirusAg1p4,,rotavirusAg1p4,polymerase,0.0,0.0,2.6267791992246024e-05,"[0.0, 2.6267791992246024e-05]",1089,0.0,0.0,2.860562547955592e-05,Rotavirus A/P[4],Reovirus,#1f49c8,RNA,"Double-stranded RNA, segmented",False,Fecal-Oral,"Sialic acid, others",,30,VP1 (Polymerase)
enterovirusd68,,enterovirusd68,polymerase,0.4296402407378873,0.001221911889609,0.9608763388881292,"[0.001221911889609028, 0.9608763388881293]",457,0.1963455900172145,0.0005584137335513,0.439120486871875,Enterovirus D68,Picornavirus,#9779bd,RNA,Positive-sense RNA,False,Fecal-oral,Sialic acid,,15,3D (Polymerase)
hepatitisA_IA,,hepatitisA_IA,polymerase,0.0,0.0,0.0,"[0.0, 0.0]",489,0.0,0.0,0.0,Hepatitis A-IA,Picornavirus,#b76ca9,RNA,Positive-sense RNA,Quasi-enveloped,"Fecal-oral, blood",HAVCR1,,27,3D (Polymerase)
norovirus,,norovirus,polymerase,0.2573271847951209,0.020724375319142,0.5687953511285609,"[0.020724375319142087, 0.5687953511285609]",510,0.1312368642455117,0.0105694314127624,0.290085629075566,Norovirus GII.4,Caliciviridae,#5700bc,RNA,Positive-sense RNA,False,Fecal-oral,CD300lf (in mice),,24,RdRp (Polymerase)
adenovirusB7,,adenovirusB7,polymerase,0.0,0.0,0.0,"[0.0, 0.0]",1194,0.0,0.0,0.0,Adenovirus B-7,Adenovirus,#ff6633,DNA,Double-stranded DNA,False,Respiratory,,,6,Pol (Polymerase)
adenovirusB3,,adenovirusB3,polymerase,0.0616681800327843,0.0113639957738345,0.1299500839722866,"[0.01136399577383454, 0.1299500839722866]",1194,0.0736318069591445,0.0135686109539584,0.1551604002629102,Adenovirus B-3,Adenovirus,#ff926e,DNA,Double-stranded DNA,False,Respiratory,,,9,Pol (Polymerase)
hepatitisB,A2,hepatitisB_A2,polymerase,-0.0209911625192191,-0.0710336977755448,0.0,"[-0.07103369777554487, 0.0]",846,-0.0177585234912594,-0.0600945083181109,0.0,Hepatitis B-A2,Hepadnavirus,#ffd8bc,DNA,"Partially-dsDNA, circular",True,Bodily fluids and blood-borne,Sodium Taurocholate Co-transporting Polypeptide (NTCP),Other,57,Polymerase (Polymerase)
hepatitisB,D3,hepatitisB_D3,polymerase,-0.0037927199695168,-0.1120694886265042,0.1145438328721184,"[-0.11206948862650426, 0.11454383287211847]",833,-0.0031593357346075,-0.093353884025878,0.0954150127824746,Hepatitis B-D3,Hepadnavirus,#ffe9bc,DNA,"Partially-dsDNA, circular",True,Bodily fluids and blood-borne,Sodium Taurocholate Co-transporting Polypeptide (NTCP),Other,57,Polymerase (Polymerase)
