virus,subtype,virus_and_subtype,gene,adaptive_subs_per_codon_per_year,lower_95ci,upper_95ci,ci,len_in_codons,adaptive_muts_per_year,lower_95ci_mutspergene,upper_95ci_mutspergene,legible_name,virus_family,color,rna_dna,genome_type,enveloped,transmission,cellular_receptor,fusion_protein_class,index,legible_gene_name
yam,,yam,receptor_binding,1.5005224136436983,0.5579713024604996,2.221057553942913,"[0.5579713024604996, 2.221057553942913]",346,0.5191807551207196,0.19305807065133287,0.7684859136642479,Influenza B/Yam,Orthomyxovirus,#ED9AB0,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,41,HA1 (Receptor Binding)
influenzaC,Mississippi,influenzaC_Mississippi,polymerase,0.008451390505888758,0.0,0.025354171517666266,"[0.0, 0.025354171517666266]",755,0.0063807998319460124,0.0,0.01914239949583803,Influenza C/Mississippi,Orthomyxovirus,#c40062,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,33,PB1 (Polymerase)
influenzaC,Yamagata,influenzaC_Yamagata,polymerase,0.1035257988101069,0.001587710729170107,0.23788600138637206,"[0.001587710729170107, 0.23788600138637206]",755,0.07816197810163071,0.001198721600523431,0.1796039310467109,Influenza C/Yamagata,Orthomyxovirus,#eb0076,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,33,PB1 (Polymerase)
influenzaC,Mississippi,influenzaC_Mississippi,membrane_fusion,0.3147363349622996,0.0,0.7494476990393796,"[0.0, 0.7494476990393796]",209,0.06577989400712062,0.0,0.15663456909923032,Influenza C/Mississippi,Orthomyxovirus,#c40062,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,34,HEF2 (Membrane Fusion)
influenzaC,Yamagata,influenzaC_Yamagata,membrane_fusion,0.3325514776473431,0.0,0.7659409321624935,"[0.0, 0.7659409321624935]",209,0.06950325882829471,0.0,0.16008165482196113,Influenza C/Yamagata,Orthomyxovirus,#eb0076,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,34,HEF2 (Membrane Fusion)
influenzaC,Mississippi,influenzaC_Mississippi,receptor_binding,0.0,0.0,0.0,"[0.0, 0.0]",432,0.0,0.0,0.0,Influenza C/Mississippi,Orthomyxovirus,#c40062,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,35,HEF1 (Receptor Binding)
influenzaC,Yamagata,influenzaC_Yamagata,receptor_binding,0.4212584098117445,0.21933647878673398,0.6671577228933111,"[0.21933647878673398, 0.6671577228933111]",432,0.18198363303867363,0.09475335883586908,0.2882121362899104,Influenza C/Yamagata,Orthomyxovirus,#eb0076,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,35,HEF1 (Receptor Binding)
oc43,A,oc43_A,polymerase,0.04348360015346514,0.0,0.14869271461344202,"[0.0, 0.14869271461344202]",928,0.04035278094241565,0.0,0.1379868391612742,OC43-A,Coronavirus,#208288,RNA,Positive-sense RNA,True,Respiratory,Sialic acid,Class I,18,RdRp (Polymerase)
oc43,B,oc43_B,polymerase,0.09136815087601831,0.0,0.22667671018859503,"[0.0, 0.22667671018859503]",928,0.08478964401294499,0.0,0.21035598705501618,OC43-B,Coronavirus,#3FA8A6,RNA,Positive-sense RNA,True,Respiratory,Sialic acid,Class I,18,RdRp (Polymerase)
oc43,A,oc43_A,membrane_fusion,0.028594091749463875,0.0,0.15901821409108333,"[0.0, 0.15901821409108333]",596,0.01704207868268047,0.0,0.09477485559828566,OC43-A,Coronavirus,#208288,RNA,Positive-sense RNA,True,Respiratory,Sialic acid,Class I,19,S2 (Membrane Fusion)
oc43,B,oc43_B,membrane_fusion,0.09575254107844455,-0.009412378586087672,0.2399234391468457,"[-0.009412378586087672, 0.2399234391468457]",596,0.05706851448275295,-0.005609777637308253,0.14299436973152005,OC43-B,Coronavirus,#3FA8A6,RNA,Positive-sense RNA,True,Respiratory,Sialic acid,Class I,19,S2 (Membrane Fusion)
oc43,A,oc43_A,receptor_binding,1.6119526392438501,0.9977507297631633,2.4672831789426946,"[0.9977507297631633, 2.4672831789426946]",753,1.2138003373506192,0.751306299511662,1.857864233743849,OC43-A,Coronavirus,#208288,RNA,Positive-sense RNA,True,Respiratory,Sialic acid,Class I,20,S1 (Receptor Binding)
oc43,B,oc43_B,receptor_binding,2.1046864042881235,1.4034062877818732,2.759791435862166,"[1.4034062877818732, 2.759791435862166]",753,1.5848288624289568,1.0567649346997505,2.078122951204211,OC43-B,Coronavirus,#3FA8A6,RNA,Positive-sense RNA,True,Respiratory,Sialic acid,Class I,20,S1 (Receptor Binding)
229e,,229e,polymerase,-0.05057888474372693,-0.1353369250509752,0.04085325435634124,"[-0.1353369250509752, 0.04085325435634124]",927,-0.04688662615743487,-0.125457329522254,0.03787096678832833,229E,Coronavirus,#76C7BE,RNA,Positive-sense RNA,True,Respiratory,Aminopeptidase N,Class I,3,RdRp (Polymerase)
229e,,229e,membrane_fusion,0.06969406066316401,0.005597519114431262,0.15889460299596772,"[0.005597519114431262, 0.15889460299596772]",614,0.042792153247182704,0.0034368767362607947,0.09756128623952418,229E,Coronavirus,#76C7BE,RNA,Positive-sense RNA,True,Respiratory,Aminopeptidase N,Class I,4,S2 (Membrane Fusion)
229e,,229e,receptor_binding,1.2973987165891783,0.8855597037233771,1.7138347836374075,"[0.8855597037233771, 1.7138347836374075]",545,0.7070823005411022,0.4826300385292405,0.9340399570823871,229E,Coronavirus,#76C7BE,RNA,Positive-sense RNA,True,Respiratory,Aminopeptidase N,Class I,5,S1 (Receptor Binding)
nl63,,nl63,polymerase,0.0,0.0,0.0,"[0.0, 0.0]",927,0.0,0.0,0.0,NL63,Coronavirus,#BBE4D1,RNA,Positive-sense RNA,True,Respiratory,ACE2,Class I,9,RdRp (Polymerase)
nl63,,nl63,membrane_fusion,0.05412963743827128,0.0,0.20738791014015467,"[0.0, 0.20738791014015467]",608,0.03291081956246894,0.0,0.12609184936521406,NL63,Coronavirus,#BBE4D1,RNA,Positive-sense RNA,True,Respiratory,ACE2,Class I,10,S2 (Membrane Fusion)
nl63,,nl63,receptor_binding,0.23659963757873317,0.07069141606441501,0.4288421780713537,"[0.07069141606441501, 0.4288421780713537]",734,0.17366413398279015,0.051887499391280616,0.31477015870437364,NL63,Coronavirus,#BBE4D1,RNA,Positive-sense RNA,True,Respiratory,ACE2,Class I,11,S1 (Receptor Binding)
rsv,A,rsv_A,polymerase,0.17915260817039166,0.07347149099627973,0.27867271603345534,"[0.07347149099627973, 0.27867271603345534]",2166,0.38804454929706833,0.15913924949794186,0.6036051029284643,RSV-A,"Paramyxovirus, pneumovirus",#0B194C,RNA,Negative-sense RNA,True,Respiratory,"Heparan Sulfate, others",Class I,42,L (Polymerase)
rsv,B,rsv_B,polymerase,0.227456322682962,0.09992310817178313,0.32514318803621606,"[0.09992310817178313, 0.32514318803621606]",2166,0.4926703949312957,0.21643345230008226,0.704260145286444,RSV-B,"Paramyxovirus, pneumovirus",#6C7593,RNA,Negative-sense RNA,True,Respiratory,"Heparan Sulfate, others",Class I,42,L (Polymerase)
rsv,A,rsv_A,membrane_fusion,0.12585411484910825,0.026910001369494816,0.3095588478919959,"[0.026910001369494816, 0.3095588478919959]",575,0.07236611603823724,0.01547325078745952,0.17799633753789762,RSV-A,"Paramyxovirus, pneumovirus",#0B194C,RNA,Negative-sense RNA,True,Respiratory,"Heparan Sulfate, others",Class I,43,F (Membrane Fusion)
rsv,B,rsv_B,membrane_fusion,0.11223025222973686,0.007410043452558189,0.30375829647123653,"[0.007410043452558189, 0.30375829647123653]",575,0.06453239503209869,0.004260774985220959,0.174661020470961,RSV-B,"Paramyxovirus, pneumovirus",#6C7593,RNA,Negative-sense RNA,True,Respiratory,"Heparan Sulfate, others",Class I,43,F (Membrane Fusion)
rsv,A,rsv_A,receptor_binding,1.9300665866808226,1.1735832138549698,2.878035332770765,"[1.1735832138549698, 2.878035332770765]",298,0.5751598428308852,0.349727797728781,0.8576545291656879,RSV-A,"Paramyxovirus, pneumovirus",#0B194C,RNA,Negative-sense RNA,True,Respiratory,"Heparan Sulfate, others",Class I,44,G (Receptor Binding)
rsv,B,rsv_B,receptor_binding,2.1439093828606683,1.2801227304766734,3.3767220257559565,"[1.2801227304766734, 3.3767220257559565]",300,0.6431728148582004,0.384036819143002,1.0130166077267868,RSV-B,"Paramyxovirus, pneumovirus",#6C7593,RNA,Negative-sense RNA,True,Respiratory,"Heparan Sulfate, others",Class I,44,G (Receptor Binding)
dengue,denv1_I,dengue_denv1_I,polymerase,0.2548158661827924,0.03597246611390916,0.5927314906874545,"[0.03597246611390916, 0.5927314906874545]",899,0.22907946369833035,0.03233924703640434,0.5328656101280216,Dengue 1-I,Flavivirus,#0db0d6,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,21,NS5 (Polymerase)
dengue,denv1_III,dengue_denv1_III,polymerase,0.055709938238051177,0.0,0.16509028147826446,"[0.0, 0.16509028147826446]",899,0.05008323447600801,0.0,0.14841616304895977,Dengue 1-III,Flavivirus,#0db0d6,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,21,NS5 (Polymerase)
dengue,denv1_IV,dengue_denv1_IV,polymerase,0.1536898027582185,0.009338895103329251,0.3542488014812919,"[0.009338895103329251, 0.3542488014812919]",899,0.13816713267963843,0.008395666697892996,0.3184696725316814,Dengue 1-IV,Flavivirus,#0db0d6,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,21,NS5 (Polymerase)
dengue,denv1_V,dengue_denv1_V,polymerase,0.12071764238914616,0.0,0.2506198310284858,"[0.0, 0.2506198310284858]",899,0.1085251605078424,0.0,0.2253072280946087,Dengue 1-V,Flavivirus,#0db0d6,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,21,NS5 (Polymerase)
dengue,denv2_AA,dengue_denv2_AA,polymerase,0.2300077187985516,0.08207933172862468,0.41167350287773247,"[0.08207933172862468, 0.41167350287773247]",900,0.20700694691869645,0.07387139855576222,0.3705061525899592,Dengue 2-AA,Flavivirus,#2cccf2,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,21,NS5 (Polymerase)
dengue,denv2_AI,dengue_denv2_AI,polymerase,0.1557132167090561,0.010760107015614785,0.35354552389722077,"[0.010760107015614785, 0.35354552389722077]",900,0.1401418950381505,0.009684096314053306,0.3181909715074987,Dengue 2-AI,Flavivirus,#2cccf2,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,21,NS5 (Polymerase)
dengue,denv2_C,dengue_denv2_C,polymerase,-0.06179162849552312,-0.1282134695879142,-0.012674176945091181,"[-0.1282134695879142, -0.012674176945091181]",900,-0.055612465645970804,-0.11539212262912277,-0.011406759250582063,Dengue 2-C,Flavivirus,#2cccf2,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,21,NS5 (Polymerase)
dengue,denv3_II,dengue_denv3_II,polymerase,0.1270526611523327,0.04566784502943106,0.20466990964479406,"[0.04566784502943106, 0.20466990964479406]",900,0.11434739503709944,0.04110106052648796,0.18420291868031466,Dengue 3-II,Flavivirus,#76def7,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,21,NS5 (Polymerase)
dengue,denv3_III,dengue_denv3_III,polymerase,0.11791263655219478,0.02041335780397588,0.24894614891293806,"[0.02041335780397588, 0.24894614891293806]",900,0.1061213728969753,0.018372022023578294,0.22405153402164424,Dengue 3-III,Flavivirus,#76def7,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,21,NS5 (Polymerase)
dengue,denv4_I,dengue_denv4_I,polymerase,0.21049875512332888,0.08899631518068213,0.3305517123186876,"[0.08899631518068213, 0.3305517123186876]",900,0.189448879610996,0.08009668366261391,0.29749654108681883,Dengue 4-I,Flavivirus,#adebfa,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,21,NS5 (Polymerase)
dengue,denv4_II,dengue_denv4_II,polymerase,0.07234891591604156,0.028621562587845113,0.1252053439161044,"[0.028621562587845113, 0.1252053439161044]",900,0.06511402432443741,0.025759406329060604,0.11268480952449397,Dengue 4-II,Flavivirus,#adebfa,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,21,NS5 (Polymerase)
dengue,denv1_I,dengue_denv1_I,membrane_fusion,-0.1417589671477053,-0.42527690144311586,0.0,"[-0.42527690144311586, 0.0]",166,-0.02353198854651908,-0.07059596563955724,0.0,Dengue 1-I,Flavivirus,#0db0d6,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,22,E2 (Membrane Fusion)
dengue,denv1_III,dengue_denv1_III,membrane_fusion,0.20865781951973014,0.0,0.6259734585591902,"[0.0, 0.6259734585591902]",166,0.0346371980402752,0.0,0.10391159412082557,Dengue 1-III,Flavivirus,#0db0d6,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,22,E2 (Membrane Fusion)
dengue,denv1_IV,dengue_denv1_IV,membrane_fusion,0.017857645535412685,0.0,0.06333746199752281,"[0.0, 0.06333746199752281]",166,0.0029643691588785055,0.0,0.010514018691588786,Dengue 1-IV,Flavivirus,#0db0d6,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,22,E2 (Membrane Fusion)
dengue,denv1_V,dengue_denv1_V,membrane_fusion,0.0,0.0,0.0,"[0.0, 0.0]",166,0.0,0.0,0.0,Dengue 1-V,Flavivirus,#0db0d6,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,22,E2 (Membrane Fusion)
dengue,denv2_AA,dengue_denv2_AA,membrane_fusion,0.23981071804869192,0.0,0.972343157455865,"[0.0, 0.972343157455865]",166,0.03980857919608286,0.0,0.16140896413767358,Dengue 2-AA,Flavivirus,#2cccf2,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,22,E2 (Membrane Fusion)
dengue,denv2_AI,dengue_denv2_AI,membrane_fusion,0.5292471040002822,0.003830417221417719,1.1107675856200083,"[0.003830417221417719, 1.1107675856200083]",166,0.08785501926404685,0.0006358492587553413,0.18438741921292137,Dengue 2-AI,Flavivirus,#2cccf2,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,22,E2 (Membrane Fusion)
dengue,denv2_C,dengue_denv2_C,membrane_fusion,-0.0020350055525125204,-0.18758932024830188,0.16969760315750904,"[-0.18758932024830188, 0.16969760315750904]",166,-0.0003378109217170784,-0.03113982716121811,0.0281698021241465,Dengue 2-C,Flavivirus,#2cccf2,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,22,E2 (Membrane Fusion)
dengue,denv3_II,dengue_denv3_II,membrane_fusion,0.1418328697542081,0.0,0.34439587901257307,"[0.0, 0.34439587901257307]",166,0.023544256379198547,0.0,0.057169715916087126,Dengue 3-II,Flavivirus,#76def7,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,22,E2 (Membrane Fusion)
dengue,denv3_III,dengue_denv3_III,membrane_fusion,0.1332812004952676,0.0,0.41603422715306615,"[0.0, 0.41603422715306615]",166,0.02212467928221442,0.0,0.06906168170740898,Dengue 3-III,Flavivirus,#76def7,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,22,E2 (Membrane Fusion)
dengue,denv4_I,dengue_denv4_I,membrane_fusion,0.5053883410664394,0.0535766169835966,1.0685129600136487,"[0.0535766169835966, 1.0685129600136487]",167,0.08439985295809538,0.008947295036260633,0.17844166432227934,Dengue 4-I,Flavivirus,#adebfa,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,22,E2 (Membrane Fusion)
dengue,denv4_II,dengue_denv4_II,membrane_fusion,0.1651269358973628,0.0,0.43372802091250334,"[0.0, 0.43372802091250334]",167,0.027576198294859588,0.0,0.07243257949238806,Dengue 4-II,Flavivirus,#adebfa,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,22,E2 (Membrane Fusion)
dengue,denv1_I,dengue_denv1_I,receptor_binding,0.27722470142166594,0.04800798288903498,0.6077131469207415,"[0.04800798288903498, 0.6077131469207415]",495,0.13722622720372465,0.023763951530072314,0.30081800772576706,Dengue 1-I,Flavivirus,#0db0d6,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,23,E (Receptor Binding)
dengue,denv1_III,dengue_denv1_III,receptor_binding,0.08405281384764979,0.0,0.2912781302534159,"[0.0, 0.2912781302534159]",495,0.04160614285458664,0.0,0.14418267447544086,Dengue 1-III,Flavivirus,#0db0d6,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,23,E (Receptor Binding)
dengue,denv1_IV,dengue_denv1_IV,receptor_binding,0.32756701616821127,0.12604940309675014,0.6447779427586959,"[0.12604940309675014, 0.6447779427586959]",495,0.1621456730032646,0.062394454532891316,0.3191650816655545,Dengue 1-IV,Flavivirus,#0db0d6,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,23,E (Receptor Binding)
dengue,denv1_V,dengue_denv1_V,receptor_binding,-0.00951110204732425,-0.03049448489670842,0.0,"[-0.03049448489670842, 0.0]",495,-0.004707995513425504,-0.01509477002387067,0.0,Dengue 1-V,Flavivirus,#0db0d6,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,23,E (Receptor Binding)
dengue,denv2_AA,dengue_denv2_AA,receptor_binding,0.3356339849242723,0.03424448788708317,0.8756110481375577,"[0.03424448788708317, 0.8756110481375577]",495,0.1661388225375148,0.01695102150410617,0.4334274688280911,Dengue 2-AA,Flavivirus,#2cccf2,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,23,E (Receptor Binding)
dengue,denv2_AI,dengue_denv2_AI,receptor_binding,0.23138006182441306,0.023191229253062343,0.466973072382025,"[0.023191229253062343, 0.466973072382025]",495,0.11453313060308447,0.01147965848026586,0.23115167082910237,Dengue 2-AI,Flavivirus,#2cccf2,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,23,E (Receptor Binding)
dengue,denv2_C,dengue_denv2_C,receptor_binding,-0.0643750628828253,-0.17359954170572234,0.08157895844646901,"[-0.17359954170572234, 0.08157895844646901]",495,-0.03186565612699852,-0.08593177314433255,0.04038158443100216,Dengue 2-C,Flavivirus,#2cccf2,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,23,E (Receptor Binding)
dengue,denv3_II,dengue_denv3_II,receptor_binding,0.1910357962579551,0.08272096098426143,0.38868534937228316,"[0.08272096098426143, 0.38868534937228316]",493,0.09418064755517187,0.04078143376524088,0.19162187724053562,Dengue 3-II,Flavivirus,#76def7,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,23,E (Receptor Binding)
