Accession	Virus	Strain	Author	Publication_Title	Journal	Database
KY672960	Dengue (denv4)	DENV_4/China/YN/15DGR394_2015_	Hu et al	Molecular characteristics of the full-length genome of dengue serotype 4 virus strains isolated from dengue fever cases and their epidemiological feature in southwestern border region of Yunnan province	Unpublished	Genbank
KY672958	Dengue (denv4)	DENV_4/China/YN/15DGR35_2015_	Hu et al	Molecular characteristics of the full-length genome of dengue serotype 4 virus strains isolated from dengue fever cases and their epidemiological feature in southwestern border region of Yunnan province	Unpublished	Genbank
KY672956	Dengue (denv4)	DENV_4/China/YN/15DGR9_2015_	Hu et al	Molecular characteristics of the full-length genome of dengue serotype 4 virus strains isolated from dengue fever cases and their epidemiological feature in southwestern border region of Yunnan province	Unpublished	Genbank
LC410198	Dengue (denv4)	Th16_010DV4	Phadungsombat et al	Emergence of genotype Cosmopolitan of dengue virus type 2 and genotype III of dengue virus type 3 in Thailand	PLoS ONE (2018) In press	Genbank
KY672957	Dengue (denv4)	DENV_4/China/YN/15DGR32_2015_	Hu et al	Molecular characteristics of the full-length genome of dengue serotype 4 virus strains isolated from dengue fever cases and their epidemiological feature in southwestern border region of Yunnan province	Unpublished	Genbank
KY672959	Dengue (denv4)	DENV_4/China/YN/15DGR50_2015_	Hu et al	Molecular characteristics of the full-length genome of dengue serotype 4 virus strains isolated from dengue fever cases and their epidemiological feature in southwestern border region of Yunnan province	Unpublished	Genbank
MK614088	Dengue (denv4)	GZ19XN01404	Su et al	Molecular characterization and phylogenetic analysis of dengue virus serotype 4 in Guangzhou City, 2018	Unpublished	Genbank
KX224312	Dengue (denv4)	SG_EHI_D4/02990Y14	?			Genbank
LC410200	Dengue (denv4)	Th16_037DV4	Phadungsombat et al	Emergence of genotype Cosmopolitan of dengue virus type 2 and genotype III of dengue virus type 3 in Thailand	PLoS ONE (2018) In press	Genbank
LC410199	Dengue (denv4)	Th16_020DV4	Phadungsombat et al	Emergence of genotype Cosmopolitan of dengue virus type 2 and genotype III of dengue virus type 3 in Thailand	PLoS ONE (2018) In press	Genbank
LC410201	Dengue (denv4)	Th16_046DV4	Phadungsombat et al	Emergence of genotype Cosmopolitan of dengue virus type 2 and genotype III of dengue virus type 3 in Thailand	PLoS ONE (2018) In press	Genbank
MG601754	Dengue (denv4)	2013JH285	Mo et al	complete genome sequence and evolutionary analysis of an import dengue virus serotype 4 from Thailand	Unpublished	Genbank
LC410203	Dengue (denv4)	Th17_098DV4	Phadungsombat et al	Emergence of genotype Cosmopolitan of dengue virus type 2 and genotype III of dengue virus type 3 in Thailand	PLoS ONE (2018) In press	Genbank
LC410202	Dengue (denv4)	Th17_091DV4	Phadungsombat et al	Emergence of genotype Cosmopolitan of dengue virus type 2 and genotype III of dengue virus type 3 in Thailand	PLoS ONE (2018) In press	Genbank
AY618992	Dengue (denv4)	ThD4_0485_01	Klungthong et al	The molecular epidemiology of dengue virus serotype 4 in Bangkok, Thailand	Virology 329 (1), 168-179 (2004)	Genbank
KR922405	Dengue (denv4)	11/1666	Nitatpattana et al	Quasispecies of dengue virus serotype 4 in infected patients of the 2011 dengue outbreak in Thailand	Unpublished	Genbank
KF955534	Dengue (denv4)	DENV_4/TH/BID_V4335/2007	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF955522	Dengue (denv4)	DENV_4/TH/BID_V4331/2006	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF955519	Dengue (denv4)	DENV_4/TH/BID_V4328/2005	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF955518	Dengue (denv4)	DENV_4/TH/BID_V4327/2005	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF955517	Dengue (denv4)	DENV_4/TH/BID_V4326/2005	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF955531	Dengue (denv4)	DENV_4/TH/BID_V4332/2006	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KY849762	Dengue (denv4)	SV296	Castonguay-Vanier et al	Molecular epidemiology of dengue viruses in three provinces of Lao PDR, 2006-2010	PLoS Negl Trop Dis 12 (1), e0006203 (2018)	Genbank
KF955529	Dengue (denv4)	DENV_4/KH/BID_V4317/2007	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF955533	Dengue (denv4)	DENV_4/TH/BID_V4334/2006	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF955520	Dengue (denv4)	DENV_4/TH/BID_V4329/2005	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
JN638570	Dengue (denv4)	DF_patient	Tuiskunen et al	Phenotypic and genotypic characterization of patient Dengue virus isolates of serotype 2, 3, and 4	Unpublished	Genbank
KF955513	Dengue (denv4)	DENV_4/KH/BID_V2058/2008	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF955512	Dengue (denv4)	DENV_4/KH/BID_V2057/2007	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
JN638571	Dengue (denv4)	DHF_patient	Tuiskunen et al	Phenotypic and genotypic characterization of patient Dengue virus isolates of serotype 2, 3, and 4	Unpublished	Genbank
KF955528	Dengue (denv4)	DENV_4/KH/BID_V3836/2007	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
JN638572	Dengue (denv4)	DSS_patient	Tuiskunen et al	Phenotypic and genotypic characterization of patient Dengue virus isolates of serotype 2, 3, and 4	Unpublished	Genbank
KF955514	Dengue (denv4)	DENV_4/KH/BID_V3814/2001	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
FJ196849	Dengue (denv4)	GD07/78	Wu et al	Molecular epidemiology of dengue viruses in southern China from 1978 to 2006	Virol. J. 8 (1), 322 (2011)	Genbank
GQ398256	Dengue (denv4)	DENV_4/SG/06K2270DK1/2005	?			Genbank
KU523871	Dengue (denv4)	PH_CN08_14	Wang et al	Complete Genome Sequencing of Dengue Virus Type 4	Unpublished	Genbank
KC333651	Dengue (denv4)	GZ/9809/2012	Bai et al	Complete genome sequence of dengue virus serotype 4 from guangzhou, china	Genome Announc 1 (3), E00299-13 (2013)	Genbank
MK640208	Dengue (denv4)	2018XN20946a	Su et al	Molecular characterization and phylogenetic analysis of dengue virus serotype 4 in Guangzhou City, 2018	Unpublished	Genbank
MK614089	Dengue (denv4)	GZ18XN20946	Su et al	Molecular characterization and phylogenetic analysis of dengue virus serotype 4 in Guangzhou City, 2018	Unpublished	Genbank
MH823210	Dengue (denv4)	JMB_006	Yohan et al	Whole genome sequencing of Indonesian dengue virus isolates using next-generation sequencing	Indones J Biotechnol 23 (2), 74-83 (2018)	Genbank
JQ915090	Dengue (denv4)	WF09/010409_0001	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
JQ915088	Dengue (denv4)	NC09/020409_9266	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
JQ915084	Dengue (denv4)	PF10/150610_28	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
JQ915086	Dengue (denv4)	NC09/050209_1413	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
JQ915089	Dengue (denv4)	NC09/230909_14518	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
JQ915087	Dengue (denv4)	NC09/170309_6652	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
JQ915083	Dengue (denv4)	PF09/080409_93	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
JQ915082	Dengue (denv4)	PF09/230309_126	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
JQ915081	Dengue (denv4)	PF09/290109_69	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
AY618993	Dengue (denv4)	ThD4_0734_00	Klungthong et al	The molecular epidemiology of dengue virus serotype 4 in Bangkok, Thailand	Virology 329 (1), 168-179 (2004)	Genbank
AY776330	Dengue (denv4)	Taiwan_2K0713	Su et al	Genome analysis of dengue virus strains isolated in Taiwan- Identification of recombination in the non-structural gene region in type-2 dengue viruses	Unpublished	Genbank
KC762697	Dengue (denv4)	MKS_0706	Sasmono et al	Genomic analysis and growth characteristic of dengue viruses from Makassar, Indonesia	Infect. Genet. Evol. 32, 165-177 (2015)	Genbank
KC762695	Dengue (denv4)	MKS_0070	Sasmono et al	Genomic analysis and growth characteristic of dengue viruses from Makassar, Indonesia	Infect. Genet. Evol. 32, 165-177 (2015)	Genbank
JX024758	Dengue (denv4)	EHI310A129SY10	Hapuarachchi et al	Clinico-genetic characterisation of an encephalitic Dengue virus 4 associated with multi-organ involvement	J. Clin. Virol. 57 (1), 91-94 (2013)	Genbank
JX024757	Dengue (denv4)	EHI310A129CY10	Hapuarachchi et al	Clinico-genetic characterisation of an encephalitic Dengue virus 4 associated with multi-organ involvement	J. Clin. Virol. 57 (1), 91-94 (2013)	Genbank
LC069810	Dengue (denv4)	D4/Hu/India/NIID48/2009	Kato et al	analysis of Dengue virus serotype 4 infection in bonnet monkey	Unpublished	Genbank
MH888334	Dengue (denv4)	CNR_16861	Touret et al	Extended dengue virus panel for antiviral coumpound studies	Unpublished	Genbank
JQ915085	Dengue (denv4)	NC08/200208_409	Aubry et al	Epidemiology and genetic evolution of Dengue viruses in the South Pacific island countries	Unpublished	Genbank
HQ875339	Dengue (denv4)	SG_EHI_D4/2641Y08	Lo et al	Complete genomic sequences of Dengue viruses in Singapore	Unpublished	Genbank
KU509288	Dengue (denv4)	DENV4_61120	?			Genbank
KY921910	Dengue (denv4)	SG_EHI_D4/04645Y16	Hapuarachchi et al	Dengue virus diversity in Singapore	Unpublished	Genbank
KY921909	Dengue (denv4)	SG_EHI_D4/09291Y16	Hapuarachchi et al	Dengue virus diversity in Singapore	Unpublished	Genbank
MH382789	Dengue (denv4)	PNG_2016a	Pyke et al	First Reported Complete Genome Sequence of a Dengue Virus Serotype 4 Strain from Papua New Guinea	Microbiol Resour Announc 7 (12), e01082-18 (2018)	Genbank
KU523872	Dengue (denv4)	ID_CN27_15	Wang et al	Complete Genome Sequencing of Dengue Virus Type 4	Unpublished	Genbank
KC762698	Dengue (denv4)	MKS_2007	Sasmono et al	Genomic analysis and growth characteristic of dengue viruses from Makassar, Indonesia	Infect. Genet. Evol. 32, 165-177 (2015)	Genbank
KC762696	Dengue (denv4)	MKS_0252	Sasmono et al	Genomic analysis and growth characteristic of dengue viruses from Makassar, Indonesia	Infect. Genet. Evol. 32, 165-177 (2015)	Genbank
KC762699	Dengue (denv4)	MKS_2139	Sasmono et al	Genomic analysis and growth characteristic of dengue viruses from Makassar, Indonesia	Infect. Genet. Evol. 32, 165-177 (2015)	Genbank
KC762694	Dengue (denv4)	MKS_0033	Sasmono et al	Genomic analysis and growth characteristic of dengue viruses from Makassar, Indonesia	Infect. Genet. Evol. 32, 165-177 (2015)	Genbank
KP723482	Dengue (denv4)	DENV4/CN/GZ29/2010	Zhao et al	Direct Submission	Submitted (29-JAN-2015) Department of Virology, Beijing Institute of Microbiology and Epidemiology, No. 20 Dongda Street, Fengtai District, Beijing 100071, China	Genbank
JQ822247	Dengue (denv4)	GZ30	Zhao et al	Complete genome sequence of a Dengue virus serotype 4 strain isolated in Guangdong, China	J. Virol. 86 (12), 7021-7022 (2012)	Genbank
JF741967	Dengue (denv4)	GZ1D4	Zhang et al	Complete genome of Dengue virus type 4	Unpublished	Genbank
JN559740	Dengue (denv4)	H402276	Nunes et al	Multiple dengue 4 introductions in Brazil: evolutionary aspects and implications for virus dispersion	Unpublished	Genbank
JF262781	Dengue (denv4)	INH6412	Rossi et al	Genetic and phenotypic characterization of sylvatic dengue virus type 4 strains	Virology (2011) In press	Genbank
FJ024476	Dengue (denv4)	DENV_4/CO/BID_V1600/1997	Henn et al	Direct Submission	Submitted (08-AUG-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GU289913	Dengue (denv4)	V341750	Kelly et al	Identification of mutations in a candidate dengue 4 vaccine strain 341750 PDK20 and construction of a full-length cDNA clone of the PDK20 vaccine candidate	Vaccine 28 (17), 3030-3037 (2010)	Genbank
FJ226067	Dengue (denv4)	DENV_4/US/BID_V860/1994	Henn et al	Direct Submission	Submitted (17-SEP-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GQ252675	Dengue (denv4)	DENV_4/US/BID_V2432/1995	?			Genbank
FJ850057	Dengue (denv4)	DENV_4/US/BID_V2434/1995	Henn et al	Direct Submission	Submitted (19-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GQ199879	Dengue (denv4)	DENV_4/US/BID_V2430/1994	?			Genbank
FJ810417	Dengue (denv4)	DENV_4/US/BID_V2433/1995	Henn et al	Direct Submission	Submitted (09-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GQ199880	Dengue (denv4)	DENV_4/US/BID_V2431/1995	?			Genbank
JF262782	Dengue (denv4)	Haiti73	Rossi et al	Genetic and phenotypic characterization of sylvatic dengue virus type 4 strains	Virology (2011) In press	Genbank
FJ850059	Dengue (denv4)	DENV_4/US/BID_V2443/1998	Henn et al	Direct Submission	Submitted (19-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU854296	Dengue (denv4)	DENV_4/US/BID_V1093/1998	Henn et al	Direct Submission	Submitted (25-JUN-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
KT276273	Dengue (denv4)	Haiti/0324/2014	Lednicky et al	Dengue 4 virus from a Haitian child in 2014	Unpublished	Genbank
KP140942	Dengue (denv4)	MRS_6169642904/2014	Baronti et al	Direct Submission	Submitted (13-NOV-2014) UMR190-Unite des Virus Emergents, IRD, 27 Bd Jean Moulin, Marseille, Bouches du Rhone 13005, France	Genbank
GQ199881	Dengue (denv4)	DENV_4/US/BID_V2435/1996	?			Genbank
FJ882601	Dengue (denv4)	DENV_4/US/BID_V2448/1999	Henn et al	Direct Submission	Submitted (01-APR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GQ199883	Dengue (denv4)	DENV_4/US/BID_V2437/1996	?			Genbank
GQ199884	Dengue (denv4)	DENV_4/US/BID_V2438/1996	?			Genbank
JQ513334	Dengue (denv4)	H775222	Nunes et al	Phylogeography of dengue virus serotype 4, Brazil, 2010-2011	Emerging Infect. Dis. 18 (11), 1858-1864 (2012)	Genbank
JQ513335	Dengue (denv4)	H778494	Nunes et al	Phylogeography of dengue virus serotype 4, Brazil, 2010-2011	Emerging Infect. Dis. 18 (11), 1858-1864 (2012)	Genbank
JQ513337	Dengue (denv4)	H778887	Nunes et al	Phylogeography of dengue virus serotype 4, Brazil, 2010-2011	Emerging Infect. Dis. 18 (11), 1858-1864 (2012)	Genbank
JQ513336	Dengue (denv4)	H778504	Nunes et al	Phylogeography of dengue virus serotype 4, Brazil, 2010-2011	Emerging Infect. Dis. 18 (11), 1858-1864 (2012)	Genbank
GQ199878	Dengue (denv4)	DENV_4/US/BID_V2429/1994	?			Genbank
FJ882595	Dengue (denv4)	DENV_4/US/BID_V2441/1998	Henn et al	Direct Submission	Submitted (01-APR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ882596	Dengue (denv4)	DENV_4/US/BID_V2442/1998	Henn et al	Direct Submission	Submitted (01-APR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GQ199882	Dengue (denv4)	DENV_4/US/BID_V2436/1996	?			Genbank
FJ882598	Dengue (denv4)	DENV_4/US/BID_V2445/1998	Henn et al	Direct Submission	Submitted (01-APR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GQ199885	Dengue (denv4)	DENV_4/US/BID_V2439/1996	?			Genbank
FJ850058	Dengue (denv4)	DENV_4/US/BID_V2440/1996	Henn et al	Direct Submission	Submitted (19-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ882599	Dengue (denv4)	DENV_4/US/BID_V2446/1999	Henn et al	Direct Submission	Submitted (01-APR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ024424	Dengue (denv4)	DENV_4/US/BID_V1082/1998	Henn et al	Direct Submission	Submitted (08-AUG-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ882597	Dengue (denv4)	DENV_4/US/BID_V2444/1998	Henn et al	Direct Submission	Submitted (01-APR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU854297	Dengue (denv4)	DENV_4/US/BID_V1094/1998	Henn et al	Direct Submission	Submitted (25-JUN-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ882600	Dengue (denv4)	DENV_4/US/BID_V2447/1999	Henn et al	Direct Submission	Submitted (01-APR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU854295	Dengue (denv4)	DENV_4/US/BID_V1083/1986	Henn et al	Direct Submission	Submitted (25-JUN-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ639737	Dengue (denv4)	DENV_4/VE/BID_V2164/1998	Henn et al	Direct Submission	Submitted (15-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GQ868579	Dengue (denv4)	DENV_4/CO/BID_V3406/2001	?			Genbank
GQ868580	Dengue (denv4)	DENV_4/CO/BID_V3407/2001	?			Genbank
GQ868581	Dengue (denv4)	DENV_4/CO/BID_V3408/2001	?			Genbank
GQ868582	Dengue (denv4)	DENV_4/CO/BID_V3409/2001	?			Genbank
FJ639736	Dengue (denv4)	DENV_4/VE/BID_V2163/1998	Henn et al	Direct Submission	Submitted (15-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ639744	Dengue (denv4)	DENV_4/VE/BID_V2172/1999	Henn et al	Direct Submission	Submitted (15-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ639742	Dengue (denv4)	DENV_4/VE/BID_V2170/1999	Henn et al	Direct Submission	Submitted (15-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ639739	Dengue (denv4)	DENV_4/VE/BID_V2166/1998	Henn et al	Direct Submission	Submitted (15-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ639745	Dengue (denv4)	DENV_4/VE/BID_V2173/1999	Henn et al	Direct Submission	Submitted (15-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ639748	Dengue (denv4)	DENV_4/VE/BID_V2177/2000	Henn et al	Direct Submission	Submitted (15-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
JN819409	Dengue (denv4)	DENV_4/VE/BID_V2167/1998	Henn et al	Direct Submission	Submitted (05-OCT-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ639738	Dengue (denv4)	DENV_4/VE/BID_V2165/1998	Henn et al	Direct Submission	Submitted (15-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ639764	Dengue (denv4)	DENV_4/VE/BID_V2194/2001	Henn et al	Direct Submission	Submitted (15-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ850095	Dengue (denv4)	DENV_4/VE/BID_V2176/2000	Henn et al	Direct Submission	Submitted (19-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GQ868583	Dengue (denv4)	DENV_4/CO/BID_V3410/2004	?			Genbank
GQ868584	Dengue (denv4)	DENV_4/CO/BID_V3411/2004	?			Genbank
FJ639773	Dengue (denv4)	DENV_4/VE/BID_V2206/2001	Henn et al	Direct Submission	Submitted (15-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
KY474335	Dengue (denv4)	00151_P	Stewart-Ibarra et al	The high burden of dengue and chikungunya in southern coastal Ecuador: Epidemiology, clinical presentation, and phylogenetics from a prospective study in Machala in 2014-2015	Unpublished	Genbank
