strain	strain_name	date	country	host	genotype	subgenotype
EU859953	None	1998-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859937	None	2009-09-11	Belgium: Limburg	Homo sapiens	A	None
EU594394	4512-97	2008-08-05	Russia: Yakutsk	None	A	None
EU594395	4509-97	2008-08-05	Russia: Yakutsk	None	A	None
EU859942	None	2000-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU086721	None	2007-09-01	Germany	None	A	A2
EU594390	4625-97	2008-08-05	Russia: Yakutsk	None	A	None
EU594392	4600-97	2008-08-05	Russia: Yakutsk	None	A	None
EU594391	4620-97	2008-08-05	Russia: Yakutsk	None	A	None
FJ349224	None	2000-03-XX	Belgium	Homo sapiens	A	None
GU563546	None	2001-XX-XX	Belgium	Homo sapiens	A	None
EU594388	3782-91	2008-08-05	Latvia	None	A	None
KT749840	None	2009-XX-XX	Belgium	Homo sapiens	A	None
GU563562	None	2008-XX-XX	Belgium	Homo sapiens	A	None
EU594383	2000-00	2008-08-05	Estonia	None	A	None
EU594393	4590-97	2008-08-05	Russia: Yakutsk	None	A	None
EU859935	None	2009-09-11	Belgium: Limburg	Homo sapiens	A	None
EU859936	None	2009-09-11	Belgium: Limburg	Homo sapiens	A	None
AF043580	None	2010-01-04	Argentina	None	A	None
KT749830	None	2001-XX-XX	Belgium	Homo sapiens	A	None
EU859914	None	2005-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859918	None	2005-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859929	None	2009-09-11	Belgium: Limburg	Homo sapiens	A	None
EU859904	None	2009-09-11	Belgium: Limburg	Homo sapiens	A	None
EU859915	None	2005-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859912	None	2006-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859919	None	2005-XX-XX	Belgium: Limburg	Homo sapiens	A	None
KT749837	None	2006-XX-XX	Belgium	Homo sapiens	A	None
EU859899	None	2009-09-11	Belgium: Limburg	Homo sapiens	A	None
EU859905	None	2009-09-11	Belgium: Limburg	Homo sapiens	A	None
EU859908	None	2007-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859909	None	2009-09-11	Belgium: Limburg	Homo sapiens	A	None
EU859922	None	2005-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859926	None	2005-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859928	None	2005-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859902	None	2009-09-11	Belgium: Limburg	Homo sapiens	A	None
EU859910	None	2007-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859916	None	2005-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859921	None	2005-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859925	None	2006-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859923	None	2009-09-11	Belgium: Limburg	Homo sapiens	A	None
EU859898	None	2009-09-11	Belgium: Limburg	Homo sapiens	A	None
EU859924	None	2005-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859903	None	2009-09-11	Belgium: Limburg	Homo sapiens	A	None
EU859906	None	2007-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859913	None	2006-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859917	None	2005-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859920	None	2006-XX-XX	Belgium: Limburg	Homo sapiens	A	None
KT749843	None	2002-XX-XX	Belgium	Homo sapiens	A	None
EU859907	None	2007-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859927	None	2005-XX-XX	Belgium: Limburg	Homo sapiens	A	None
KP274928	None	2006-XX-XX	Belgium	Homo sapiens	A	None
EU859911	None	2007-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU594389	4435-97	2008-08-05	Russia: Volga Region	None	A	None
EU859945	None	2000-XX-XX	Belgium: Limburg	Homo sapiens	A	None
KM606749	None	2015-03-15	Cuba	Homo sapiens	A	A2
EU594385	1898-98	2008-08-05	Estonia	None	A	None
JQ687529	None	2007-12-11	Serbia	Homo sapiens	A	None
AM410963	None	2008-09-02	None	None	A	None
AM295795	None	2007-03-21	None	None	A	None
AM295797	None	2008-09-02	None	None	A	None
AM295800	None	2008-09-02	None	None	A	None
AM295796	None	2008-09-02	None	None	A	None
GQ477467	None	2006-XX-XX	Poland	Homo sapiens	A	None
GU563558	None	2005-XX-XX	Belgium	Homo sapiens	A	None
KT749850	None	2018-07-17	Belgium	Homo sapiens	A	None
KP274925	None	2001-XX-XX	Belgium	Homo sapiens	A	None
KJ843166	None	2013-04-15	Argentina	Homo sapiens	A	None
KJ843215	None	2004-05-18	Argentina	Homo sapiens	A	None
KJ843192	None	2010-02-02	Argentina	Homo sapiens	A	None
KJ843214	None	2001-01-19	Argentina	Homo sapiens	A	None
KJ843216	None	2003-05-09	Argentina	Homo sapiens	A	None
KU605532	None	2007-XX-XX	South Africa	Homo sapiens	A	A2
GU563553	None	2001-XX-XX	Belgium	Homo sapiens	A	None
GQ477503	None	2006-02-14	Poland	Homo sapiens	A	None
KT749836	None	2006-XX-XX	Belgium	Homo sapiens	A	None
KM606742	None	2015-03-15	Cuba	Homo sapiens	A	A2
KM606746	None	2015-03-15	Cuba	Homo sapiens	A	A2
KJ854708	None	2007-01-01	Brazil	Homo sapiens	A	A2
KJ854709	None	2007-01-01	Brazil	Homo sapiens	A	A2
JX507080	None	1997-XX-XX	South Africa	Papio ursinus orientalis	A	None
EU859955	None	1998-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859956	None	1998-XX-XX	Belgium: Limburg	Homo sapiens	A	None
GQ477496	None	2006-03-28	Poland	Homo sapiens	A	None
EU594387	3784-91	2008-08-05	Latvia	None	A	None
EU594384	1906-99	2008-08-05	Estonia	None	A	None
EU594386	644-00	2008-08-05	Estonia	None	A	None
KJ843173	None	2013-02-08	Argentina	Homo sapiens	A	None
KJ843182	None	2012-01-16	Argentina	Homo sapiens	A	None
KJ843218	None	2013-12-20	Argentina	Homo sapiens	A	None
KJ843186	None	2013-02-13	Argentina	Homo sapiens	A	None
KJ843217	None	2013-12-14	Argentina	Homo sapiens	A	None
GU563557	None	2000-XX-XX	Belgium	Homo sapiens	A	None
AY862867	None	2006-01-01	China	None	A	None
KX827293	None	2010-02-01	USA	Homo sapiens	A	None
KT749831	None	1999-XX-XX	Belgium	Homo sapiens	A	None
KT749825	None	2001-XX-XX	Belgium	Homo sapiens	A	None
KT749826	None	2001-XX-XX	Belgium	Homo sapiens	A	None
KT749842	None	2002-XX-XX	Belgium	Homo sapiens	A	None
KT749834	None	2004-XX-XX	Belgium	Homo sapiens	A	None
KT749846	None	2006-XX-XX	Belgium	Homo sapiens	A	None
KT749847	None	2004-XX-XX	Belgium	Homo sapiens	A	None
KT749849	None	2007-XX-XX	Belgium	Homo sapiens	A	None
KT749839	None	2002-XX-XX	Belgium	Homo sapiens	A	None
KJ854710	None	2007-01-01	Brazil	Homo sapiens	A	A2
HE576988	None	2007-06-09	France	None	A	A2
HE576989	None	2007-06-09	France	None	A	A2
KY382410	None	2017-05-14	Argentina	Homo sapiens	A	A2
KX827298	None	2010-02-01	USA	Homo sapiens	A	None
EU859950	None	1999-XX-XX	Belgium: Limburg	Homo sapiens	A	None
JQ687533	None	2008-03-13	Serbia	Homo sapiens	A	None
KT749833	None	2001-XX-XX	Belgium	Homo sapiens	A	None
KT749848	None	1995-XX-XX	Belgium	Homo sapiens	A	None
GQ184323	None	2009-08-01	South Africa	Homo sapiens	A	None
GQ184324	None	2009-08-01	South Africa	Homo sapiens	A	None
EU859900	None	2009-09-11	Belgium: Limburg	Homo sapiens	A	None
EU859901	None	2006-XX-XX	Belgium: Limburg	Homo sapiens	A	None
KJ843188	None	2012-08-31	Argentina	Homo sapiens	A	None
AY233280	None	2004-04-23	South Africa	None	A	None
EF208113	None	2008-02-26	Germany	None	A	None
EF208114	None	2008-02-26	Germany	None	A	None
EF208115	None	2008-02-26	Germany	None	A	None
LC488828	AON	2003-08-23	Japan:Tokyo	Homo sapiens	A	None
AY128092	None	2011-03-09	None	None	A	None
GU563550	None	2004-XX-XX	Belgium	Homo sapiens	A	None
AB014370	None	2006-11-02	None	None	A	None
EU747320	None	2008-06-09	Australia	Homo sapiens	A	None
GQ477468	None	2006-XX-XX	Poland	Homo sapiens	A	None
EU859934	None	2009-09-11	Belgium: Limburg	Homo sapiens	A	None
EU859944	None	2000-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859939	None	1999-XX-XX	Belgium: Limburg	Homo sapiens	A	None
AM282986	None	2010-04-27	None	None	A	None
DQ788725	None	2006-10-20	Germany	None	A	None
GQ477482	None	2006-03-06	Poland	Homo sapiens	A	None
GQ477484	None	2006-03-15	Poland	Homo sapiens	A	None
KJ843172	None	2010-04-28	Argentina	Homo sapiens	A	None
AY738139	None	2010-01-29	Germany	Homo sapiens	A	None
AY738143	None	2010-01-29	Germany	Homo sapiens	A	None
AY738140	None	2010-01-29	Germany	Homo sapiens	A	None
AY738141	None	2010-01-29	Germany	Homo sapiens	A	None
AY738142	None	2010-01-29	Germany	Homo sapiens	A	None
AB222707	UZTBV102	2008-05-03	Uzbekistan:Tashkent	None	A	None
GQ477492	None	2006-06-16	Poland	Homo sapiens	A	None
GQ477460	None	2006-03-29	Poland	Homo sapiens	A	None
AB126580	None	2010-02-09	Russia	None	A	None
AB453984	None	2017-09-12	Japan	None	A	None
KX827297	None	2010-02-01	USA	Homo sapiens	A	None
GQ477498	None	2006-05-09	Poland	Homo sapiens	A	None
GQ477465	None	2006-XX-XX	Poland	Homo sapiens	A	None
KX827294	None	2010-02-01	USA	Homo sapiens	A	None
KX827296	None	2010-02-01	USA	Homo sapiens	A	None
KX827295	None	2010-02-01	USA	Homo sapiens	A	None
AY902775	None	2016-07-26	USA: Montana	None	A	None
KT749832	None	2000-XX-XX	Belgium	Homo sapiens	A	None
EU859938	None	1999-XX-XX	Belgium: Limburg	Homo sapiens	A	None
AB453983	None	2017-09-12	Japan	None	A	None
GQ477470	None	2006-XX-XX	Poland	Homo sapiens	A	None
GQ477472	None	2006-XX-XX	Poland	Homo sapiens	A	None
GQ477490	None	2006-XX-XX	Poland	Homo sapiens	A	None
GQ477479	None	2006-02-27	Poland	Homo sapiens	A	None
AF297624	None	2001-10-24	None	None	A	None
KJ586809	P18	2013-06-06	Uruguay	Homo sapiens	A	A2
AY233286	None	2004-04-23	South Africa	None	A	None
KC836877	None	1993-XX-XX	Japan	Homo sapiens	A	None
KC836878	None	1994-XX-XX	Japan	Homo sapiens	A	None
KC836881	None	1996-XX-XX	Japan	Homo sapiens	A	None
GQ477466	None	2006-XX-XX	Poland	Homo sapiens	A	None
GQ477483	None	2006-XX-XX	Poland	Homo sapiens	A	None
GQ477491	None	2006-XX-XX	Poland	Homo sapiens	A	None
GQ477475	None	2006-XX-XX	Poland	Homo sapiens	A	None
GQ477486	None	2006-02-27	Poland	Homo sapiens	A	None
GQ477495	None	2006-04-10	Poland	Homo sapiens	A	None
GQ477494	None	2006-02-14	Poland	Homo sapiens	A	None
GU563551	None	2003-XX-XX	Belgium	Homo sapiens	A	None
GQ477497	None	2006-08-11	Poland	Homo sapiens	A	None
AB453982	None	2017-09-12	Japan	None	A	None
GQ477488	None	2006-XX-XX	Poland	Homo sapiens	A	None
KJ843184	None	2013-04-17	Argentina	Homo sapiens	A	None
GQ477489	None	2006-XX-XX	Poland	Homo sapiens	A	None
KP995108	None	2016-03-31	Venezuela	Homo sapiens	A	A2
GQ477485	None	2006-02-14	Poland	Homo sapiens	A	None
GQ477478	None	2006-03-24	Poland	Homo sapiens	A	None
GQ477504	None	2006-02-07	Poland	Homo sapiens	A	None
OK143492	None	2008-XX-XX	Russia: Moscow	Homo sapiens	A	A2
OK143495	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	A	A2
EU185786	None	2011-05-20	Argentina	None	A	None
EU185787	None	2011-05-20	Argentina	None	A	None
EU185789	None	2011-05-20	Argentina	None	A	None
GQ477500	None	2006-XX-XX	Poland	Homo sapiens	A	None
GQ477499	None	2006-03-31	Poland	Homo sapiens	A	None
OK143498	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	A	A2
AB697487	None	2003-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.1	A	A2
AB697498	None	2006-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.15	A	A2
GQ477471	None	2006-XX-XX	Poland	Homo sapiens	A	None
GQ477501	None	2006-01-24	Poland	Homo sapiens	A	None
AB330371	None	2006-XX-XX	Tajikistan:Dushanbe	None	A	None
AB330372	None	2006-XX-XX	Tajikistan:Dushanbe	None	A	None
AB330373	None	2006-XX-XX	Tajikistan:Dushanbe	None	A	None
GQ477480	None	2006-03-08	Poland	Homo sapiens	A	None
GQ477487	None	2006-XX-XX	Poland	Homo sapiens	A	None
AJ627228	None	2006-02-09	Spain	None	A	None
AB453985	None	2017-09-12	Japan	None	A	None
GQ477476	None	2006-XX-XX	Poland	Homo sapiens	A	None
AJ627226	None	2006-02-09	Spain	None	A	None
GQ477463	None	2006-03-16	Poland	Homo sapiens	A	None
GQ477469	None	2006-XX-XX	Poland	Homo sapiens	A	None
DQ788726	None	2006-10-20	Germany	None	A	None
DQ788728	None	2006-10-20	Germany	None	A	None
DQ788727	None	2006-10-20	Germany	None	A	None
DQ788729	None	2006-10-20	Germany	None	A	None
OK143481	None	2008-XX-XX	Russia: Moscow	Homo sapiens	A	A2
MF925386	None	2015-07-19	Bangladesh	Homo sapiens; sex: male	A	None
KC875260	None	2014-10-23	India	Homo sapiens	A	None
OK143478	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	A	A2
GQ477477	None	2006-XX-XX	Poland	Homo sapiens	A	None
GQ477493	None	2006-04-18	Poland	Homo sapiens	A	None
GQ477502	None	2006-02-06	Poland	Homo sapiens	A	None
AB270536	None	2005-XX-XX	Mongolia:Ulaanbaatar	None	A	None
GQ477462	None	2006-02-23	Poland	Homo sapiens	A	None
KT749822	None	2003-XX-XX	Belgium	Homo sapiens	A	None
AJ627227	None	2006-02-09	Spain	None	A	None
GQ477481	None	2006-05-18	Poland	Homo sapiens	A	None
GQ477474	None	2006-XX-XX	Poland	Homo sapiens	A	None
MF772344	None	2014-XX-XX	Cape Verde	Homo sapiens	A	A2
MF772350	None	2015-XX-XX	Cape Verde	Homo sapiens	A	A2
MF772346	None	2016-XX-XX	Cape Verde	Homo sapiens	A	A2
MF772347	None	2015-XX-XX	Cape Verde	Homo sapiens	A	A2
GQ477464	None	2006-04-19	Poland	Homo sapiens	A	None
MF772345	None	2016-XX-XX	Cape Verde	Homo sapiens	A	A2
AB937797	None	2012-07-09	Japan:Mito	Homo sapiens	A	A2
GQ477473	None	2006-XX-XX	Poland	Homo sapiens	A	None
KC836880	None	1996-XX-XX	Japan	Homo sapiens	A	None
FJ349222	None	1998-09-XX	Belgium	Homo sapiens	A	None
FJ349223	None	1998-11-XX	Belgium	Homo sapiens	A	None
AF297622	None	2001-10-24	None	None	A	None
FJ904411	None	2006-02-03	Tunisia	Homo sapiens	A	None
FJ904434	None	2009-07-08	Tunisia	Homo sapiens	A	None
AB222708	UZBV74	2008-05-03	Uzbekistan:Navoi	None	A	None
MZ043025	None	2022-10-29	Brazil	Homo sapiens	A	None
MZ043026	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043040	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043083	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043084	None	2022-10-29	Germany	Homo sapiens	A	None
MZ043061	None	2022-10-29	Germany	Homo sapiens	A	None
JX310722	None	2008-XX-XX	Netherlands	Homo sapiens	A	A2
JX310723	None	2007-XX-XX	Netherlands	Homo sapiens	A	A2
KF779227	None	2003-XX-XX	USA	None	A	None
KF779266	None	2000-XX-XX	USA	None	A	A2
KF779350	None	2003-XX-XX	USA	None	A	None
KF779317	None	2000-XX-XX	USA	None	A	A2
KF779338	None	2002-XX-XX	USA	None	A	A2
KF779339	None	2002-XX-XX	USA	None	A	A2
KF779355	None	2003-XX-XX	USA	None	A	None
KF779275	None	2003-XX-XX	USA	None	A	None
KF779344	None	2003-XX-XX	USA	None	A	None
KF779363	None	2004-XX-XX	USA	None	A	None
KF779345	None	2003-XX-XX	USA	None	A	None
KF779362	None	2004-XX-XX	USA	None	A	None
KF779364	None	2004-XX-XX	USA	None	A	None
KF779378	None	2001-XX-XX	USA	None	A	A2
KF779336	None	2002-XX-XX	USA	None	A	A2
KF779279	None	2005-XX-XX	USA	None	A	None
KF779346	None	2003-XX-XX	USA	None	A	None
KF779347	None	2003-XX-XX	USA	None	A	None
KF779367	None	2004-XX-XX	USA	None	A	None
KF779326	None	2001-XX-XX	USA	None	A	A2
KF779348	None	2003-XX-XX	USA	None	A	None
KF779352	None	2003-XX-XX	USA	None	A	None
KF779368	None	2004-XX-XX	USA	None	A	None
KF779369	None	2005-XX-XX	USA	None	A	None
KF779373	None	2005-XX-XX	USA	None	A	None
KF779329	None	2001-XX-XX	USA	None	A	A2
KF779371	None	2005-XX-XX	USA	None	A	None
KF779243	None	2004-XX-XX	USA	None	A	None
KF779251	None	1998-XX-XX	USA	None	A	A2
KF779262	None	1999-XX-XX	USA	None	A	A2
KF779310	None	2005-XX-XX	USA	None	A	None
KF779314	None	1998-XX-XX	USA	None	A	A2
KF779313	None	1998-XX-XX	USA	None	A	A2
KF779258	None	1999-XX-XX	USA	None	A	A2
KF779253	None	1998-XX-XX	USA	None	A	A2
KF779255	None	1998-XX-XX	USA	None	A	A2
KF779259	None	1999-XX-XX	USA	None	A	A2
KF779244	None	2004-XX-XX	USA	None	A	None
KF779366	None	2004-XX-XX	USA	None	A	None
KF779246	None	2004-XX-XX	USA	None	A	None
KF779247	None	2005-XX-XX	USA	None	A	None
KF779248	None	2005-XX-XX	USA	None	A	None
KF779245	None	2004-XX-XX	USA	None	A	None
KF779286	None	1999-XX-XX	USA	None	A	A2
KF779287	None	1999-XX-XX	USA	None	A	A2
KF779290	None	2000-XX-XX	USA	None	A	A2
KF779294	None	2001-XX-XX	USA	None	A	A2
KF779291	None	2000-XX-XX	USA	None	A	A2
KF779298	None	2001-XX-XX	USA	None	A	A2
KF779232	None	2003-XX-XX	USA	None	A	None
KF779231	None	2003-XX-XX	USA	None	A	None
KF779319	None	2000-XX-XX	USA	None	A	A2
KF779304	None	2002-XX-XX	USA	None	A	A2
KF779322	None	2001-XX-XX	USA	None	A	A2
KF779323	None	2001-XX-XX	USA	None	A	A2
KF779325	None	2001-XX-XX	USA	None	A	A2
KF779324	None	2001-XX-XX	USA	None	A	A2
KF779386	None	2001-XX-XX	USA	None	A	A2
KF779305	None	2003-XX-XX	USA	None	A	None
KF779238	None	2004-XX-XX	USA	None	A	None
KF779278	None	2005-XX-XX	USA	None	A	None
KF779370	None	2005-XX-XX	USA	None	A	None
KF779240	None	2004-XX-XX	USA	None	A	None
KF779385	None	2000-XX-XX	USA	None	A	A2
KF779316	None	1999-XX-XX	USA	None	A	A2
KF779337	None	2002-XX-XX	USA	None	A	A2
KF779252	None	1998-XX-XX	USA	None	A	A2
KF779239	None	2004-XX-XX	USA	None	A	None
KF779312	None	1998-XX-XX	USA	None	A	A2
KF779342	None	2002-XX-XX	USA	None	A	A2
KF779331	None	2001-XX-XX	USA	None	A	A2
KF779328	None	2001-XX-XX	USA	None	A	A2
KF779359	None	2004-XX-XX	USA	None	A	None
KF779358	None	2004-XX-XX	USA	None	A	None
KF779354	None	2003-XX-XX	USA	None	A	None
KF779330	None	2001-XX-XX	USA	None	A	A2
KF779249	None	2005-XX-XX	USA	None	A	None
KF779309	None	2005-XX-XX	USA	None	A	None
KF779308	None	2004-XX-XX	USA	None	A	None
KF779372	None	2005-XX-XX	USA	None	A	None
KF779280	None	2005-XX-XX	USA	None	A	None
KF779283	None	2005-XX-XX	USA	None	A	None
KF779281	None	2005-XX-XX	USA	None	A	None
KF779270	None	2003-XX-XX	USA	None	A	None
KF779306	None	2003-XX-XX	USA	None	A	None
KF779383	None	2005-XX-XX	USA	None	A	None
KF779274	None	2003-XX-XX	USA	None	A	None
KF779282	None	2005-XX-XX	USA	None	A	None
KF779269	None	2003-XX-XX	USA	None	A	None
KF779349	None	2003-XX-XX	USA	None	A	None
KF779356	None	2004-XX-XX	USA	None	A	None
KF779374	None	2006-XX-XX	USA	None	A	None
KF779276	None	2004-XX-XX	USA	None	A	None
KF779375	None	2006-XX-XX	USA	None	A	None
KF779277	None	2004-XX-XX	USA	None	A	None
KF779261	None	1999-XX-XX	USA	None	A	A2
KF779264	None	2000-XX-XX	USA	None	A	A2
KF779360	None	2004-XX-XX	USA	None	A	None
KF779263	None	1999-XX-XX	USA	None	A	A2
KF779320	None	2000-XX-XX	USA	None	A	A2
KF779321	None	2000-XX-XX	USA	None	A	A2
KF779257	None	1999-XX-XX	USA	None	A	A2
KF779365	None	2004-XX-XX	USA	None	A	None
KF779297	None	2001-XX-XX	USA	None	A	A2
KF779334	None	2002-XX-XX	USA	None	A	A2
KF779268	None	2000-XX-XX	USA	None	A	A2
KF779284	None	1999-XX-XX	USA	None	A	A2
KF779361	None	2004-XX-XX	USA	None	A	None
KF779311	None	1998-XX-XX	USA	None	A	A2
KF779295	None	2001-XX-XX	USA	None	A	A2
KF779254	None	1998-XX-XX	USA	None	A	A2
KF779333	None	2002-XX-XX	USA	None	A	A2
MZ043078	None	2022-10-29	Germany	Homo sapiens	A	None
JQ707532	None	1998-09-28	USA	Homo sapiens	A	None
JQ707533	None	1998-09-28	USA	Homo sapiens	A	None
JQ707535	None	1998-09-28	USA	Homo sapiens	A	None
JQ707539	None	1998-09-28	USA	Homo sapiens	A	None
JQ707542	None	1998-09-28	USA	Homo sapiens	A	None
JQ707554	None	1998-09-28	USA	Homo sapiens	A	None
JQ707545	None	1998-09-28	USA	Homo sapiens	A	None
JQ707538	None	1998-09-28	USA	Homo sapiens	A	None
JQ707541	None	1998-09-28	USA	Homo sapiens	A	None
JQ707543	None	1998-09-28	USA	Homo sapiens	A	None
JQ707546	None	1998-09-28	USA	Homo sapiens	A	None
JQ707549	None	1998-09-28	USA	Homo sapiens	A	None
